Dbxref=GeneID:114879606,Genbank:XP_029050539.1
Dbxref=GeneID:114882918,Genbank:XP_029055992.1
Dbxref=GeneID:114882918,Genbank:XP_029056034.1
Dbxref=GeneID:114882918,Genbank:XP_029055955.1
Dbxref=GeneID:114882918,Genbank:XP_029055972.1
Dbxref=GeneID:114882918,Genbank:XP_029056053.1
Dbxref=GeneID:114882918,Genbank:XP_029056044.1
Dbxref=GeneID:114882918,Genbank:XP_029056013.1
Dbxref=GeneID:114882918,Genbank:XP_029056003.1
Dbxref=GeneID:114882918,Genbank:XP_029055963.1
Dbxref=GeneID:114882918,Genbank:XP_029056023.1
Dbxref=GeneID:114882918,Genbank:XP_029055984.1
Dbxref=GeneID:114882918,Genbank:XP_029055981.1
Dbxref=GeneID:114882918,Genbank:XP_029055946.1
Dbxref=GeneID:114882918,Genbank:XP_029055983.1
Dbxref=GeneID:114876641,Genbank:XP_029044244.1
Dbxref=GeneID:114876009,Genbank:XP_029042843.1
Dbxref=GeneID:114875907,Genbank:XP_029042620.1
Dbxref=GeneID:114875907,Genbank:XP_029042711.1
Dbxref=GeneID:114876062,Genbank:XP_029043044.1
Dbxref=GeneID:114876062,Genbank:XP_029042960.1
Dbxref=GeneID:114881256,Genbank:XP_029053852.1
Dbxref=GeneID:114881256,Genbank:XP_029053901.1
Dbxref=GeneID:114881256,Genbank:XP_029054021.1
Dbxref=GeneID:114881256,Genbank:XP_029053963.1
Dbxref=GeneID:114881443,Genbank:XP_029054154.1
Dbxref=GeneID:114881443,Genbank:XP_029054104.1
Dbxref=GeneID:114881550,Genbank:XP_029054223.1
Dbxref=GeneID:114881550,Genbank:XP_029054319.1
Dbxref=GeneID:114881550,Genbank:XP_029054273.1
Dbxref=GeneID:114880711,Genbank:XP_029052880.1
Dbxref=GeneID:114880711,Genbank:XP_029053579.1
Dbxref=GeneID:114880711,Genbank:XP_029053650.1
Dbxref=GeneID:114880711,Genbank:XP_029052970.1
Dbxref=GeneID:114880711,Genbank:XP_029053204.1
Dbxref=GeneID:114880711,Genbank:XP_029053043.1
Dbxref=GeneID:114880711,Genbank:XP_029053361.1
Dbxref=GeneID:114880711,Genbank:XP_029053508.1
Dbxref=GeneID:114880711,Genbank:XP_029053761.1
Dbxref=GeneID:114880711,Genbank:XP_029053124.1
Dbxref=GeneID:114880711,Genbank:XP_029053283.1
Dbxref=GeneID:114880711,Genbank:XP_029053441.1
Dbxref=GeneID:114880711,Genbank:XP_029053713.1
Dbxref=GeneID:114874913,Genbank:XP_029040525.1
Dbxref=GeneID:114874849,Genbank:XP_029040399.1
Dbxref=GeneID:114877458,Genbank:XP_029046300.1
Dbxref=GeneID:114877458,Genbank:XP_029046032.1
Dbxref=GeneID:114877458,Genbank:XP_029046212.1
Dbxref=GeneID:114877458,Genbank:XP_029045949.1
Dbxref=GeneID:114877458,Genbank:XP_029046384.1
Dbxref=GeneID:114877458,Genbank:XP_029046120.1
Dbxref=GeneID:114872837,Genbank:XP_029036540.1
Dbxref=GeneID:114872837,Genbank:XP_029036385.1
Dbxref=GeneID:114872837,Genbank:XP_029036465.1
Dbxref=GeneID:114872649,Genbank:XP_029036163.1
Dbxref=GeneID:114872649,Genbank:XP_029036244.1
Dbxref=GeneID:114872649,Genbank:XP_029035938.1
Dbxref=GeneID:114872649,Genbank:XP_029036073.1
