	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	8897.0	8405.0	8603.0	8719.0	8768.0	8683.0	8212.0	8701.0	8499.0	8777.0
Bombus_terrestris	8897.0	0.0	8424.0	8707.0	8800.0	8836.0	8795.0	8261.0	8743.0	8510.0	8789.0
Ceratina_calcarata	8405.0	8424.0	0.0	8236.0	8258.0	8337.0	8337.0	7867.0	8297.0	8144.0	8389.0
Dufourea_novaeangliae	8603.0	8707.0	8236.0	0.0	8562.0	8682.0	8677.0	8188.0	8731.0	8360.0	8615.0
Eufriesea_mexicana	8719.0	8800.0	8258.0	8562.0	0.0	8801.0	8595.0	8072.0	8581.0	8364.0	8613.0
Habropoda_laboriosa	8768.0	8836.0	8337.0	8682.0	8801.0	0.0	8712.0	8184.0	8694.0	8433.0	8710.0
Megachile_rotundata	8683.0	8795.0	8337.0	8677.0	8595.0	8712.0	0.0	8204.0	8674.0	8661.0	8909.0
Megalopta_genalis	8212.0	8261.0	7867.0	8188.0	8072.0	8184.0	8204.0	0.0	8342.0	7989.0	8269.0
Nomia_melanderi	8701.0	8743.0	8297.0	8731.0	8581.0	8694.0	8674.0	8342.0	0.0	8454.0	8714.0
Osmia_bicornis	8499.0	8510.0	8144.0	8360.0	8364.0	8433.0	8661.0	7989.0	8454.0	0.0	9066.0
Osmia_lignaria	8777.0	8789.0	8389.0	8615.0	8613.0	8710.0	8909.0	8269.0	8714.0	9066.0	0.0
