	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	11222.0	10949.0	10674.0	11091.0	10882.0	10875.0	10552.0	10783.0	10950.0	10861.0
Bombus_terrestris	11707.0	0.0	11776.0	11652.0	11975.0	11841.0	11851.0	11407.0	11666.0	11806.0	11751.0
Ceratina_calcarata	11542.0	11832.0	0.0	11492.0	11726.0	11720.0	11668.0	11265.0	11511.0	11810.0	11670.0
Dufourea_novaeangliae	9376.0	9716.0	9520.0	0.0	9676.0	9765.0	9670.0	9335.0	9598.0	9652.0	9550.0
Eufriesea_mexicana	10276.0	10588.0	10314.0	10275.0	0.0	10543.0	10385.0	9949.0	10218.0	10403.0	10293.0
Habropoda_laboriosa	9568.0	9877.0	9691.0	9711.0	9921.0	0.0	9740.0	9351.0	9631.0	9780.0	9652.0
Megachile_rotundata	11489.0	11895.0	11677.0	11656.0	11768.0	11816.0	0.0	11316.0	11547.0	12042.0	11899.0
Megalopta_genalis	11286.0	11632.0	11431.0	11392.0	11445.0	11481.0	11441.0	0.0	11539.0	11516.0	11458.0
Nomia_melanderi	12119.0	12469.0	12283.0	12311.0	12381.0	12397.0	12281.0	12159.0	0.0	12394.0	12266.0
Osmia_bicornis	11786.0	12145.0	12113.0	11966.0	12082.0	12100.0	12347.0	11700.0	11860.0	0.0	12785.0
Osmia_lignaria	11502.0	11860.0	11742.0	11557.0	11711.0	11733.0	11930.0	11445.0	11587.0	12486.0	0.0
