	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	1332.0	1233.0	410.0	745.0	455.0	1083.0	1191.0	1200.0	1265.0	1177.0
Bombus_terrestris	1451.0	0.0	1528.0	539.0	979.0	542.0	1454.0	1467.0	1497.0	1639.0	1568.0
Ceratina_calcarata	1325.0	1519.0	0.0	574.0	995.0	517.0	1409.0	1440.0	1437.0	1675.0	1608.0
Dufourea_novaeangliae	394.0	424.0	466.0	0.0	362.0	282.0	427.0	457.0	478.0	465.0	431.0
Eufriesea_mexicana	790.0	869.0	878.0	383.0	0.0	458.0	795.0	774.0	778.0	915.0	839.0
Habropoda_laboriosa	442.0	489.0	462.0	303.0	446.0	0.0	491.0	476.0	452.0	530.0	498.0
Megachile_rotundata	1264.0	1474.0	1446.0	526.0	900.0	552.0	0.0	1338.0	1406.0	1668.0	1530.0
Megalopta_genalis	1329.0	1424.0	1433.0	585.0	894.0	565.0	1330.0	0.0	1525.0	1500.0	1520.0
Nomia_melanderi	1533.0	1718.0	1662.0	692.0	1055.0	632.0	1601.0	1863.0	0.0	1888.0	1799.0
Osmia_bicornis	1396.0	1645.0	1722.0	619.0	1057.0	603.0	1623.0	1575.0	1599.0	0.0	2085.0
Osmia_lignaria	1349.0	1566.0	1607.0	527.0	909.0	550.0	1481.0	1565.0	1507.0	2065.0	0.0
