	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	8432	6759	6573	6847	6913	6900	6881	6608	6865	6872	6867	6864	6702	6742	6847	6934	6883	6853	7031	7025	6822
Aedes_aegypti	6759	9215	8436	7305	7372	7487	7303	7732	7308	7330	7327	7294	7118	7149	7303	7343	7297	7289	7408	7595	7284
Anopheles_gambiae	6573	8436	8786	7110	7168	7233	7092	7522	7097	7129	7121	7084	6925	6945	7096	7120	7075	7089	7187	7338	7071
Apis_mellifera	6847	7305	7110	8974	8774	7487	8635	7177	8476	8667	8615	8595	8394	8000	8572	8685	8650	8353	8495	7678	8422
Bombus_terrestris	6913	7372	7168	8774	9151	7568	8731	7227	8600	8771	8719	8726	8498	8091	8673	8781	8764	8462	8616	7740	8510
Bombyx_mori	6900	7487	7233	7487	7568	8725	7494	7276	7481	7507	7507	7494	7308	7299	7471	7550	7512	7489	7622	7729	7473
Ceratina_calcarata	6881	7303	7092	8635	8731	7494	9077	7161	8486	8612	8579	8597	8394	8012	8546	8709	8662	8366	8544	7684	8397
Drosophila_melanogaster	6608	7732	7522	7177	7227	7276	7161	8488	7173	7205	7188	7151	6982	6976	7155	7194	7151	7161	7253	7403	7138
Dufourea_novaeangliae	6865	7308	7097	8476	8600	7481	8486	7173	8850	8550	8557	8513	8302	7955	8505	8567	8521	8334	8445	7660	8329
Eufriesea_mexicana	6872	7330	7129	8667	8771	7507	8612	7205	8550	9018	8708	8616	8375	8012	8577	8681	8640	8391	8504	7693	8425
Habropoda_laboriosa	6867	7327	7121	8615	8719	7507	8579	7188	8557	8708	8970	8588	8362	7992	8560	8648	8600	8377	8484	7693	8407
Megachile_rotundata	6864	7294	7084	8595	8726	7494	8597	7151	8513	8616	8588	9071	8374	8010	8542	8783	8737	8382	8543	7661	8385
Megalopta_genalis	6702	7118	6925	8394	8498	7308	8394	6982	8302	8375	8362	8374	8801	7807	8407	8463	8440	8156	8303	7462	8199
Nasonia_vitripennis	6742	7149	6945	8000	8091	7299	8012	6976	7955	8012	7992	8010	7807	8916	7971	8094	8040	7952	8158	7463	7958
Nomia_melanderi	6847	7303	7096	8572	8673	7471	8546	7155	8505	8577	8560	8542	8407	7971	8891	8633	8594	8353	8466	7649	8394
Osmia_bicornis	6934	7343	7120	8685	8781	7550	8709	7194	8567	8681	8648	8783	8463	8094	8633	9219	8963	8431	8627	7725	8464
Osmia_lignaria	6883	7297	7075	8650	8764	7512	8662	7151	8521	8640	8600	8737	8440	8040	8594	8963	9165	8381	8574	7687	8432
Polistes_dominula	6853	7289	7089	8353	8462	7489	8366	7161	8334	8391	8377	8382	8156	7952	8353	8431	8381	8865	8442	7659	8561
Solenopsis_invicta	7031	7408	7187	8495	8616	7622	8544	7253	8445	8504	8484	8543	8303	8158	8466	8627	8574	8442	9433	7797	8440
Tribolium_castaneum	7025	7595	7338	7678	7740	7729	7684	7403	7660	7693	7693	7661	7462	7463	7649	7725	7687	7659	7797	8843	7638
Vespa_mandarinia	6822	7284	7071	8422	8510	7473	8397	7138	8329	8425	8407	8385	8199	7958	8394	8464	8432	8561	8440	7638	8888
