	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	2725.0	2567.0	2804.0	2894.0	2920.0	2745.0	2442.0	3022.0	2798.0	2994.0	2899.0	2888.0	2755.0	2818.0	2992.0	3073.0	3038.0	3004.0	3055.0	2810.0
Aedes_aegypti	1824.0	0.0	2658.0	2231.0	2148.0	2339.0	2046.0	1944.0	2283.0	2118.0	2214.0	2215.0	2074.0	1961.0	2198.0	2159.0	2192.0	2139.0	2055.0	2279.0	2252.0
Anopheles_gambiae	1320.0	1238.0	0.0	1574.0	1539.0	1526.0	1433.0	1249.0	1584.0	1540.0	1587.0	1566.0	1442.0	1339.0	1543.0	1575.0	1605.0	1507.0	1424.0	1488.0	1564.0
Apis_mellifera	354.0	287.0	277.0	0.0	180.0	353.0	204.0	282.0	167.0	224.0	188.0	171.0	200.0	294.0	158.0	172.0	195.0	262.0	167.0	328.0	302.0
Bombus_terrestris	623.0	529.0	530.0	419.0	0.0	607.0	433.0	486.0	427.0	428.0	428.0	379.0	435.0	575.0	428.0	417.0	412.0	479.0	422.0	570.0	538.0
Bombyx_mori	1284.0	1074.0	986.0	1304.0	1291.0	0.0	1322.0	910.0	1364.0	1277.0	1374.0	1396.0	1341.0	1125.0	1365.0	1378.0	1410.0	1240.0	1284.0	1230.0	1288.0
Ceratina_calcarata	1166.0	1089.0	1054.0	1086.0	983.0	1217.0	0.0	1059.0	1024.0	991.0	1046.0	1018.0	971.0	1146.0	1052.0	1047.0	1058.0	1141.0	1059.0	1166.0	1156.0
Drosophila_melanogaster	1388.0	1454.0	1477.0	1760.0	1698.0	1570.0	1616.0	0.0	1797.0	1719.0	1766.0	1727.0	1609.0	1507.0	1737.0	1657.0	1707.0	1657.0	1666.0	1588.0	1738.0
Dufourea_novaeangliae	485.0	383.0	393.0	194.0	205.0	437.0	202.0	356.0	0.0	218.0	270.0	208.0	231.0	323.0	225.0	267.0	243.0	275.0	249.0	387.0	296.0
Eufriesea_mexicana	732.0	608.0	640.0	446.0	442.0	700.0	438.0	624.0	465.0	0.0	443.0	469.0	459.0	608.0	471.0	454.0	455.0	586.0	538.0	653.0	608.0
Habropoda_laboriosa	507.0	445.0	418.0	209.0	231.0	484.0	225.0	393.0	221.0	222.0	0.0	236.0	253.0	346.0	253.0	273.0	249.0	373.0	323.0	436.0	360.0
Megachile_rotundata	667.0	496.0	513.0	342.0	341.0	575.0	360.0	438.0	374.0	320.0	396.0	0.0	374.0	492.0	405.0	432.0	377.0	478.0	443.0	519.0	511.0
Megalopta_genalis	886.0	862.0	872.0	883.0	823.0	962.0	841.0	832.0	851.0	858.0	899.0	863.0	0.0	897.0	887.0	863.0	884.0	849.0	872.0	935.0	879.0
Nasonia_vitripennis	979.0	884.0	836.0	1187.0	1098.0	994.0	1062.0	754.0	1233.0	1136.0	1175.0	1148.0	1049.0	0.0	1153.0	1198.0	1195.0	1166.0	1080.0	962.0	1130.0
Nomia_melanderi	497.0	398.0	387.0	183.0	162.0	468.0	175.0	402.0	182.0	230.0	208.0	204.0	176.0	357.0	0.0	210.0	219.0	299.0	288.0	411.0	320.0
Osmia_bicornis	962.0	802.0	821.0	853.0	886.0	986.0	844.0	784.0	869.0	841.0	953.0	954.0	853.0	885.0	882.0	0.0	1017.0	980.0	876.0	888.0	920.0
Osmia_lignaria	414.0	309.0	334.0	236.0	249.0	396.0	239.0	326.0	257.0	221.0	308.0	285.0	266.0	303.0	248.0	314.0	0.0	292.0	239.0	353.0	294.0
Polistes_dominula	564.0	439.0	431.0	357.0	382.0	566.0	345.0	406.0	394.0	382.0	416.0	377.0	402.0	451.0	430.0	401.0	445.0	0.0	367.0	491.0	330.0
Solenopsis_invicta	1269.0	993.0	929.0	1236.0	1218.0	1055.0	1263.0	895.0	1409.0	1420.0	1530.0	1426.0	1412.0	1393.0	1293.0	1495.0	1426.0	1250.0	0.0	1217.0	1255.0
Tribolium_castaneum	1173.0	1039.0	1104.0	1326.0	1307.0	1189.0	1188.0	880.0	1375.0	1283.0	1321.0	1300.0	1274.0	955.0	1309.0	1324.0	1359.0	1227.0	1179.0	0.0	1257.0
Vespa_mandarinia	441.0	421.0	396.0	382.0	385.0	485.0	360.0	385.0	421.0	413.0	429.0	409.0	404.0	327.0	380.0	420.0	432.0	366.0	312.0	454.0	0.0
