	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	711.0	539.0	153.0	268.0	467.0	492.0	547.0	209.0	330.0	226.0	277.0	363.0	337.0	218.0	393.0	167.0	234.0	359.0	405.0	187.0
Aedes_aegypti	878.0	0.0	517.0	131.0	239.0	389.0	472.0	554.0	171.0	288.0	199.0	221.0	362.0	320.0	183.0	379.0	138.0	197.0	314.0	389.0	181.0
Anopheles_gambiae	883.0	983.0	0.0	126.0	236.0	384.0	462.0	570.0	175.0	298.0	189.0	212.0	357.0	328.0	179.0	374.0	141.0	195.0	284.0	395.0	173.0
Apis_mellifera	1019.0	868.0	641.0	0.0	166.0	485.0	453.0	679.0	89.0	207.0	94.0	137.0	350.0	382.0	76.0	392.0	85.0	139.0	299.0	481.0	128.0
Bombus_terrestris	1024.0	858.0	633.0	66.0	0.0	477.0	431.0	670.0	89.0	204.0	86.0	135.0	338.0	365.0	72.0	404.0	88.0	148.0	308.0	475.0	126.0
Bombyx_mori	983.0	829.0	585.0	163.0	274.0	0.0	531.0	614.0	207.0	330.0	225.0	256.0	413.0	354.0	213.0	438.0	169.0	237.0	355.0	442.0	203.0
Ceratina_calcarata	970.0	811.0	593.0	71.0	172.0	467.0	0.0	631.0	89.0	204.0	99.0	154.0	334.0	357.0	76.0	397.0	87.0	143.0	330.0	435.0	124.0
Drosophila_melanogaster	868.0	792.0	517.0	120.0	221.0	345.0	460.0	0.0	164.0	284.0	182.0	197.0	351.0	299.0	181.0	357.0	130.0	187.0	297.0	344.0	173.0
Dufourea_novaeangliae	1053.0	866.0	648.0	62.0	161.0	496.0	453.0	687.0	0.0	212.0	104.0	145.0	338.0	376.0	73.0	398.0	87.0	148.0	336.0	479.0	128.0
Eufriesea_mexicana	1015.0	841.0	629.0	78.0	165.0	478.0	433.0	674.0	93.0	0.0	93.0	130.0	351.0	367.0	90.0	395.0	84.0	147.0	321.0	470.0	128.0
Habropoda_laboriosa	1039.0	865.0	640.0	72.0	157.0	491.0	439.0	683.0	110.0	205.0	0.0	158.0	358.0	378.0	84.0	413.0	101.0	160.0	343.0	476.0	138.0
Megachile_rotundata	1030.0	853.0	629.0	62.0	152.0	488.0	439.0	667.0	91.0	216.0	101.0	0.0	350.0	373.0	85.0	429.0	101.0	152.0	345.0	465.0	132.0
Megalopta_genalis	982.0	800.0	589.0	72.0	167.0	470.0	430.0	631.0	94.0	218.0	114.0	157.0	0.0	360.0	75.0	387.0	94.0	156.0	324.0	455.0	127.0
Nasonia_vitripennis	984.0	796.0	578.0	103.0	223.0	426.0	503.0	607.0	146.0	272.0	155.0	203.0	370.0	0.0	157.0	398.0	107.0	183.0	376.0	393.0	140.0
Nomia_melanderi	1020.0	862.0	632.0	64.0	169.0	479.0	453.0	677.0	96.0	221.0	116.0	159.0	357.0	374.0	0.0	399.0	86.0	155.0	322.0	461.0	128.0
Osmia_bicornis	1038.0	851.0	633.0	67.0	173.0	495.0	447.0	657.0	109.0	212.0	116.0	167.0	352.0	388.0	84.0	0.0	103.0	160.0	363.0	474.0	130.0
Osmia_lignaria	1062.0	865.0	645.0	73.0	172.0	513.0	454.0	678.0	109.0	214.0	113.0	166.0	365.0	388.0	90.0	456.0	0.0	174.0	356.0	482.0	138.0
Polistes_dominula	1037.0	837.0	617.0	92.0	192.0	472.0	494.0	661.0	119.0	262.0	154.0	189.0	364.0	378.0	125.0	413.0	100.0	0.0	325.0	442.0	124.0
Solenopsis_invicta	1030.0	827.0	584.0	72.0	183.0	457.0	482.0	654.0	110.0	249.0	142.0	176.0	360.0	358.0	123.0	408.0	89.0	146.0	0.0	427.0	117.0
Tribolium_castaneum	1016.0	876.0	603.0	145.0	253.0	455.0	510.0	617.0	176.0	303.0	198.0	234.0	398.0	340.0	192.0	410.0	148.0	213.0	340.0	0.0	183.0
Vespa_mandarinia	1010.0	856.0	630.0	107.0	204.0	485.0	504.0	680.0	127.0	266.0	150.0	196.0	374.0	363.0	130.0	414.0	99.0	140.0	322.0	454.0	0.0
