	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	5133.0	5154.0	5722.0	5660.0	5513.0	5404.0	5179.0	5668.0	5562.0	5661.0	5617.0	5359.0	5425.0	5642.0	5523.0	5698.0	5627.0	5655.0	5670.0	5646.0
Aedes_aegypti	5133.0	0.0	7757.0	6334.0	6309.0	6360.0	6005.0	6560.0	6310.0	6213.0	6300.0	6256.0	5945.0	6011.0	6286.0	6110.0	6304.0	6285.0	6252.0	6423.0	6271.0
Anopheles_gambiae	5154.0	7757.0	0.0	6359.0	6327.0	6376.0	6024.0	6624.0	6313.0	6216.0	6320.0	6282.0	5971.0	6032.0	6302.0	6116.0	6306.0	6306.0	6291.0	6435.0	6279.0
Apis_mellifera	5722.0	6334.0	6359.0	0.0	8961.0	6886.0	8479.0	6385.0	8670.0	8795.0	8840.0	8752.0	8309.0	7729.0	8771.0	8567.0	8830.0	8405.0	8402.0	7130.0	8475.0
Bombus_terrestris	5660.0	6309.0	6327.0	8961.0	0.0	6869.0	8524.0	6356.0	8771.0	8869.0	8926.0	8874.0	8356.0	7717.0	8817.0	8563.0	8853.0	8440.0	8437.0	7101.0	8480.0
Bombyx_mori	5513.0	6360.0	6376.0	6886.0	6869.0	0.0	6525.0	6395.0	6856.0	6744.0	6848.0	6816.0	6464.0	6533.0	6828.0	6645.0	6878.0	6833.0	6834.0	6959.0	6830.0
Ceratina_calcarata	5404.0	6005.0	6024.0	8479.0	8524.0	6525.0	0.0	6045.0	8306.0	8363.0	8441.0	8388.0	7960.0	7335.0	8393.0	8207.0	8453.0	8015.0	8001.0	6769.0	8049.0
Drosophila_melanogaster	5179.0	6560.0	6624.0	6385.0	6356.0	6395.0	6045.0	0.0	6357.0	6247.0	6339.0	6321.0	5985.0	6051.0	6306.0	6149.0	6339.0	6337.0	6300.0	6499.0	6302.0
Dufourea_novaeangliae	5668.0	6310.0	6313.0	8670.0	8771.0	6856.0	8306.0	6357.0	0.0	8642.0	8760.0	8721.0	8256.0	7647.0	8762.0	8400.0	8651.0	8370.0	8316.0	7090.0	8366.0
Eufriesea_mexicana	5562.0	6213.0	6216.0	8795.0	8869.0	6744.0	8363.0	6247.0	8642.0	0.0	8886.0	8709.0	8174.0	7578.0	8648.0	8433.0	8690.0	8295.0	8221.0	6994.0	8328.0
Habropoda_laboriosa	5661.0	6300.0	6320.0	8840.0	8926.0	6848.0	8441.0	6339.0	8760.0	8886.0	0.0	8790.0	8267.0	7676.0	8754.0	8509.0	8755.0	8379.0	8309.0	7087.0	8423.0
Megachile_rotundata	5617.0	6256.0	6282.0	8752.0	8874.0	6816.0	8388.0	6321.0	8721.0	8709.0	8790.0	0.0	8248.0	7662.0	8705.0	8691.0	8931.0	8370.0	8355.0	7045.0	8364.0
Megalopta_genalis	5359.0	5945.0	5971.0	8309.0	8356.0	6464.0	7960.0	5985.0	8256.0	8174.0	8267.0	8248.0	0.0	7262.0	8404.0	8054.0	8313.0	7933.0	7892.0	6670.0	7983.0
Nasonia_vitripennis	5425.0	6011.0	6032.0	7729.0	7717.0	6533.0	7335.0	6051.0	7647.0	7578.0	7676.0	7662.0	7262.0	0.0	7652.0	7475.0	7722.0	7619.0	7622.0	6732.0	7657.0
Nomia_melanderi	5642.0	6286.0	6302.0	8771.0	8817.0	6828.0	8393.0	6306.0	8762.0	8648.0	8754.0	8705.0	8404.0	7652.0	0.0	8508.0	8764.0	8383.0	8312.0	7060.0	8445.0
Osmia_bicornis	5523.0	6110.0	6116.0	8567.0	8563.0	6645.0	8207.0	6149.0	8400.0	8433.0	8509.0	8691.0	8054.0	7475.0	8508.0	0.0	9074.0	8120.0	8121.0	6882.0	8189.0
Osmia_lignaria	5698.0	6304.0	6306.0	8830.0	8853.0	6878.0	8453.0	6339.0	8651.0	8690.0	8755.0	8931.0	8313.0	7722.0	8764.0	9074.0	0.0	8383.0	8380.0	7105.0	8477.0
Polistes_dominula	5627.0	6285.0	6306.0	8405.0	8440.0	6833.0	8015.0	6337.0	8370.0	8295.0	8379.0	8370.0	7933.0	7619.0	8383.0	8120.0	8383.0	0.0	8277.0	7066.0	8764.0
Solenopsis_invicta	5655.0	6252.0	6291.0	8402.0	8437.0	6834.0	8001.0	6300.0	8316.0	8221.0	8309.0	8355.0	7892.0	7622.0	8312.0	8121.0	8380.0	8277.0	0.0	7071.0	8293.0
Tribolium_castaneum	5670.0	6423.0	6435.0	7130.0	7101.0	6959.0	6769.0	6499.0	7090.0	6994.0	7087.0	7045.0	6670.0	6732.0	7060.0	6882.0	7105.0	7066.0	7071.0	0.0	7061.0
Vespa_mandarinia	5646.0	6271.0	6279.0	8475.0	8480.0	6830.0	8049.0	6302.0	8366.0	8328.0	8423.0	8364.0	7983.0	7657.0	8445.0	8189.0	8477.0	8764.0	8293.0	7061.0	0.0
