	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Number of genes	18277	14626	12590	9935	10581	13881	11197	13954	9844	10297	10069	10788	10425	13602	9924	11191	10556	10179	14790	12875	10120
Number of genes in orthogroups	16408	13822	11755	9783	10382	12486	10933	11944	9792	10155	9992	10524	10311	12831	9819	11072	10454	10083	14275	11995	9985
Number of unassigned genes	1869	804	835	152	199	1395	264	2010	52	142	77	264	114	771	105	119	102	96	515	880	135
Percentage of genes in orthogroups	89.8	94.5	93.4	98.5	98.1	90.0	97.6	85.6	99.5	98.6	99.2	97.6	98.9	94.3	98.9	98.9	99.0	99.1	96.5	93.2	98.7
Percentage of unassigned genes	10.2	5.5	6.6	1.5	1.9	10.0	2.4	14.4	0.5	1.4	0.8	2.4	1.1	5.7	1.1	1.1	1.0	0.9	3.5	6.8	1.3
Number of orthogroups containing species	8432	9215	8786	8974	9151	8725	9077	8488	8850	9018	8970	9071	8801	8916	8891	9219	9165	8865	9433	8843	8888
Percentage of orthogroups containing species	57.1	62.4	59.5	60.8	62.0	59.1	61.5	57.5	59.9	61.1	60.7	61.4	59.6	60.4	60.2	62.4	62.0	60.0	63.9	59.9	60.2
Number of species-specific orthogroups	764	237	141	2	12	324	21	381	2	13	6	19	17	319	8	12	19	14	243	250	3
Number of genes in species-specific orthogroups	3786	1073	652	5	57	1567	127	1463	5	42	17	73	57	1717	18	48	59	71	1119	1135	10
Percentage of genes in species-specific orthogroups	20.7	7.3	5.2	0.1	0.5	11.3	1.1	10.5	0.1	0.4	0.2	0.7	0.5	12.6	0.2	0.4	0.6	0.7	7.6	8.8	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	6339	5556	5985	5797	5620	6046	5694	6283	5921	5753	5801	5700	5970	5855	5880	5552	5606	5906	5338	5928	5883
'1	6067	7398	7451	8508	8463	7429	8066	6969	8297	8312	8387	8362	7981	7746	8343	8350	8618	8245	8242	7621	8372
'2	1316	1133	876	350	505	762	731	914	422	548	447	508	604	630	415	646	348	447	618	719	383
'3	418	276	199	60	95	212	140	282	68	93	67	91	107	189	71	93	87	83	152	208	61
'4	194	112	87	18	30	83	62	111	16	20	24	41	37	88	19	40	26	27	103	75	24
'5	99	83	42	19	17	58	25	60	17	15	18	20	22	55	15	20	23	23	66	62	13
'6	65	44	39	4	9	34	10	44	11	11	7	9	16	40	9	14	16	8	43	34	2
'7	47	36	17	5	8	25	11	27	3	2	5	10	11	24	2	7	11	7	32	26	6
'8	35	23	22	3	8	18	6	20	3	8	2	3	2	19	3	7	7	5	25	17	3
'9	26	19	7	0	4	18	1	14	1	1	2	5	2	18	1	9	4	1	15	21	6
'10	25	11	10	1	3	15	1	5	2	0	1	3	1	15	1	5	6	3	17	12	1
11-15	49	40	16	2	4	28	13	18	6	3	4	10	10	43	9	14	9	7	45	26	4
16-20	24	20	5	2	2	18	6	10	2	1	4	2	2	21	2	7	5	4	28	12	7
21-50	55	18	15	1	3	24	5	14	2	4	1	7	6	27	1	6	5	5	44	10	6
51-100	9	2	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	3	0	0
101-150	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	42.9	37.6	40.5	39.2	38.0	40.9	38.5	42.5	40.1	38.9	39.3	38.6	40.4	39.6	39.8	37.6	38.0	40.0	36.1	40.1	39.8
'1	41.1	50.1	50.4	57.6	57.3	50.3	54.6	47.2	56.2	56.3	56.8	56.6	54.0	52.4	56.5	56.5	58.3	55.8	55.8	51.6	56.7
'2	8.9	7.7	5.9	2.4	3.4	5.2	4.9	6.2	2.9	3.7	3.0	3.4	4.1	4.3	2.8	4.4	2.4	3.0	4.2	4.9	2.6
'3	2.8	1.9	1.3	0.4	0.6	1.4	0.9	1.9	0.5	0.6	0.5	0.6	0.7	1.3	0.5	0.6	0.6	0.6	1.0	1.4	0.4
'4	1.3	0.8	0.6	0.1	0.2	0.6	0.4	0.8	0.1	0.1	0.2	0.3	0.3	0.6	0.1	0.3	0.2	0.2	0.7	0.5	0.2
'5	0.7	0.6	0.3	0.1	0.1	0.4	0.2	0.4	0.1	0.1	0.1	0.1	0.1	0.4	0.1	0.1	0.2	0.2	0.4	0.4	0.1
'6	0.4	0.3	0.3	0.0	0.1	0.2	0.1	0.3	0.1	0.1	0.0	0.1	0.1	0.3	0.1	0.1	0.1	0.1	0.3	0.2	0.0
'7	0.3	0.2	0.1	0.0	0.1	0.2	0.1	0.2	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.1	0.0	0.2	0.2	0.0
'8	0.2	0.2	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0
'9	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0
'10	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0
11-15	0.3	0.3	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.3	0.1	0.1	0.1	0.0	0.3	0.2	0.0
