Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000000	72	1	0	0	18	51	23	0	25	8	54	42	22	29	17	28	11	20	88	7	0	516
OG0000001	27	29	24	22	24	10	16	23	17	21	14	22	29	28	13	27	23	10	37	39	9	464
OG0000002	0	0	0	55	43	0	36	0	12	28	20	38	1	8	32	20	16	20	40	0	20	389
OG0000003	39	0	2	1	8	6	7	1	12	30	20	36	19	0	11	19	10	33	5	1	17	277
OG0000004	1	4	8	7	8	19	4	6	7	3	8	14	23	30	9	9	14	7	30	46	7	264
OG0000005	30	8	1	2	8	4	5	0	18	12	18	40	30	1	12	38	26	4	1	2	0	260
OG0000006	75	20	1	0	0	16	4	1	1	0	1	0	1	29	0	16	15	0	44	2	0	226
OG0000007	23	9	14	8	0	11	7	8	12	8	7	8	6	20	11	7	8	7	28	9	13	224
OG0000008	0	22	7	5	7	7	12	6	6	8	5	9	12	20	12	8	8	5	34	20	11	224
OG0000009	117	0	0	0	0	27	1	0	0	0	0	7	1	13	0	9	11	18	3	4	0	211
OG0000010	1	24	22	7	5	11	12	30	7	6	4	7	4	19	6	5	5	5	5	11	4	200
OG0000011	0	0	0	16	12	0	14	1	6	26	11	16	12	0	16	28	29	4	2	0	5	198
OG0000012	13	80	5	2	2	1	3	23	3	2	2	4	4	12	8	9	7	1	2	5	5	193
OG0000013	20	3	0	0	5	33	11	0	9	1	2	16	7	9	2	13	7	14	34	2	4	192
OG0000014	9	27	10	5	5	3	5	25	6	5	5	3	6	23	4	9	11	4	4	5	5	179
OG0000015	48	2	1	0	0	32	17	0	0	1	0	6	0	10	2	16	6	1	29	6	0	177
OG0000016	9	30	6	5	3	3	6	20	5	5	5	4	6	22	5	11	9	4	4	5	9	176
OG0000017	8	30	7	5	4	1	4	23	5	5	6	4	7	18	6	12	8	3	3	3	10	172
OG0000018	0	0	0	11	7	5	4	0	26	8	15	11	9	0	1	5	3	12	6	0	45	168
OG0000019	9	24	22	1	5	12	4	24	5	3	3	5	4	4	4	4	4	5	2	20	2	166
OG0000020	2	0	0	0	9	43	8	0	1	8	5	10	13	0	2	14	6	0	37	0	8	166
OG0000021	16	8	8	5	5	7	5	11	6	5	5	5	5	15	5	5	5	5	8	24	4	162
OG0000022	12	12	8	4	6	2	8	9	8	6	2	7	5	14	5	6	7	11	4	17	9	162
OG0000023	7	23	8	4	4	2	4	23	5	3	5	4	5	23	4	12	12	5	2	2	5	162
OG0000024	9	3	1	4	6	0	1	2	11	20	8	11	31	14	13	3	2	13	3	2	3	160
OG0000025	5	24	20	5	4	7	6	13	4	5	5	4	5	16	4	4	4	4	4	10	4	157
