Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	470	383
OG0000001	363	350
OG0000002	238	219
OG0000003	212	163
OG0000004	142	92
OG0000005	182	138
OG0000006	191	174
OG0000007	203	167
OG0000008	112	109
OG0000009	161	156
OG0000010	162	147
OG0000011	117	100
OG0000012	100	94
OG0000013	112	18
OG0000014	147	141
OG0000015	149	109
OG0000016	138	118
OG0000017	120	112
OG0000018	103	102
OG0000019	110	105
OG0000020	37	31
OG0000021	80	78
OG0000022	99	64
OG0000023	111	89
OG0000024	97	93
OG0000025	102	66
OG0000026	71	70
OG0000027	95	12
OG0000028	92	64
OG0000029	77	71
OG0000030	106	98
OG0000031	114	99
OG0000032	74	66
OG0000033	103	84
OG0000034	113	104
OG0000035	97	91
OG0000036	62	45
OG0000037	91	82
OG0000038	34	28
OG0000039	108	97
OG0000040	80	77
OG0000041	58	35
OG0000042	93	89
OG0000043	68	63
OG0000044	68	65
OG0000045	66	66
OG0000046	53	48
OG0000047	106	88
OG0000048	44	21
OG0000049	105	95
OG0000050	88	85
OG0000051	83	60
OG0000052	73	67
OG0000053	68	50
OG0000054	58	49
OG0000055	46	42
OG0000056	14	12
OG0000057	20	17
OG0000058	71	68
OG0000059	80	65
OG0000060	72	71
OG0000061	62	60
OG0000062	37	35
OG0000063	71	59
OG0000064	73	67
OG0000065	67	64
OG0000066	76	60
OG0000067	14	13
OG0000068	93	85
OG0000069	64	60
OG0000070	67	62
OG0000071	73	57
OG0000072	66	50
OG0000073	51	38
OG0000074	69	66
OG0000075	69	51
OG0000076	59	44
OG0000077	55	53
OG0000078	58	51
OG0000079	41	29
OG0000080	41	40
OG0000081	64	57
OG0000082	43	41
OG0000083	80	77
OG0000084	24	18
OG0000085	58	58
OG0000086	47	43
OG0000087	40	38
OG0000088	74	74
OG0000089	60	60
OG0000090	64	48
OG0000091	72	72
OG0000092	31	29
OG0000093	53	39
OG0000094	34	31
OG0000095	73	71
OG0000096	48	45
OG0000097	51	50
OG0000098	65	64
OG0000099	30	30
OG0000100	68	68
OG0000101	39	34
OG0000102	45	40
OG0000103	36	33
OG0000104	75	67
OG0000105	81	80
OG0000106	52	47
OG0000107	60	48
OG0000108	56	52
OG0000109	64	63
OG0000110	55	55
OG0000111	39	32
OG0000112	47	47
OG0000113	42	41
OG0000114	41	38
OG0000115	43	40
OG0000116	53	53
OG0000117	41	41
OG0000118	59	53
OG0000119	56	53
OG0000120	57	56
OG0000121	59	45
OG0000122	21	20
OG0000123	60	57
OG0000124	60	59
OG0000125	50	48
OG0000126	57	55
OG0000127	42	40
OG0000128	55	42
OG0000129	58	58
OG0000130	27	23
OG0000131	30	22
OG0000132	38	37
OG0000133	35	30
OG0000134	34	24
OG0000135	27	26
OG0000136	41	38
OG0000137	39	38
OG0000138	44	44
OG0000139	48	45
OG0000140	42	38
OG0000141	30	28
OG0000142	48	47
OG0000143	39	38
OG0000144	35	32
OG0000145	41	41
OG0000146	25	23
OG0000147	41	36
OG0000148	67	62
OG0000149	36	36
OG0000150	53	53
OG0000151	51	51
OG0000152	52	52
OG0000153	49	48
OG0000154	45	44
OG0000155	52	48
OG0000156	52	52
OG0000157	35	27
OG0000158	38	36
OG0000159	71	71
OG0000160	34	33
OG0000161	42	38
OG0000162	20	19
OG0000163	58	53
OG0000164	26	23
OG0000165	32	32
OG0000166	51	50
OG0000167	69	69
OG0000168	18	13
OG0000169	43	37
OG0000170	16	16
OG0000171	32	28
OG0000172	56	56
OG0000173	48	48
OG0000174	49	48
OG0000175	50	50
OG0000176	30	18
OG0000177	11	9
OG0000178	47	44
OG0000179	21	18
OG0000180	47	47
OG0000181	48	48
OG0000182	49	49
OG0000183	25	23
OG0000184	47	44
OG0000185	33	32
OG0000186	46	44
OG0000187	48	48
OG0000188	20	17
OG0000189	29	28
OG0000190	45	45
OG0000191	37	35
OG0000192	46	45
OG0000193	57	54
OG0000194	10	10
OG0000195	49	43
OG0000196	27	27
OG0000197	38	38
OG0000198	46	39
OG0000199	56	56
OG0000200	15	14
OG0000201	27	27
OG0000202	33	32
OG0000203	28	28
OG0000204	42	41
OG0000205	44	44
OG0000206	30	30
OG0000207	10	7
OG0000208	14	14
OG0000209	43	43
OG0000210	12	9
OG0000211	62	62
OG0000212	19	19
OG0000213	42	42
OG0000214	22	21
OG0000215	30	30
OG0000216	34	29
OG0000217	34	31
OG0000218	42	42
OG0000219	43	43
OG0000220	45	45
OG0000221	44	43
OG0000222	52	51
OG0000223	17	15
OG0000224	37	35
OG0000225	28	28
OG0000226	23	20
OG0000227	42	42
OG0000228	31	20
OG0000229	35	32
OG0000230	28	24
OG0000231	38	38
OG0000232	38	38
OG0000233	39	38
OG0000234	30	26
OG0000235	32	29
OG0000236	22	22
OG0000237	17	5
OG0000238	48	43
OG0000239	38	36
OG0000240	43	43
OG0000241	31	29
OG0000242	49	48
OG0000243	38	38
OG0000244	39	39
OG0000245	32	30
OG0000246	20	19
OG0000247	22	19
OG0000248	28	18
OG0000249	22	18
OG0000250	18	17
OG0000251	21	19
OG0000252	36	33
