	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	11187.0	10617.0	10687.0	11036.0	11582.0	11172.0	10622.0	11145.0	10916.0	11096.0	11286.0	10780.0	11011.0	10831.0	11492.0	11257.0	11062.0	12030.0	11707.0	10674.0
Aedes_aegypti	11403.0	0.0	14501.0	11629.0	11847.0	12437.0	11789.0	12943.0	11890.0	11775.0	11807.0	11731.0	11461.0	11652.0	11862.0	11818.0	11639.0	11739.0	11902.0	12701.0	11582.0
Anopheles_gambiae	8931.0	11772.0	0.0	9241.0	9418.0	9773.0	9318.0	10239.0	9345.0	9348.0	9358.0	9306.0	8972.0	9107.0	9338.0	9272.0	9200.0	9285.0	9381.0	9958.0	9185.0
Apis_mellifera	8827.0	9331.0	9138.0	0.0	11189.0	9470.0	10989.0	9135.0	10810.0	11079.0	10936.0	10930.0	10636.0	10219.0	10865.0	10987.0	10919.0	10608.0	10771.0	9877.0	10675.0
Bombus_terrestris	9586.0	10067.0	9842.0	11700.0	0.0	10230.0	11776.0	9808.0	11685.0	11919.0	11840.0	11806.0	11445.0	11028.0	11701.0	11790.0	11730.0	11417.0	11672.0	10582.0	11399.0
Bombyx_mori	10028.0	10367.0	10004.0	9937.0	10169.0	0.0	10352.0	10005.0	10098.0	10132.0	10254.0	10313.0	9866.0	10025.0	10048.0	10282.0	10297.0	10063.0	10582.0	10779.0	9982.0
Ceratina_calcarata	9636.0	10059.0	9808.0	11574.0	11820.0	10238.0	0.0	9794.0	11511.0	11675.0	11665.0	11590.0	11265.0	11039.0	11557.0	11827.0	11705.0	11386.0	11663.0	10598.0	11322.0
Drosophila_melanogaster	8184.0	9623.0	9423.0	8509.0	8617.0	8878.0	8566.0	0.0	8632.0	8617.0	8575.0	8498.0	8294.0	8350.0	8562.0	8532.0	8442.0	8509.0	8586.0	9151.0	8415.0
Dufourea_novaeangliae	7958.0	8243.0	8043.0	9429.0	9694.0	8425.0	9521.0	8094.0	0.0	9665.0	9729.0	9630.0	9334.0	8976.0	9614.0	9621.0	9522.0	9336.0	9493.0	8669.0	9230.0
Eufriesea_mexicana	8447.0	8829.0	8640.0	10262.0	10543.0	9024.0	10313.0	8682.0	10302.0	0.0	10511.0	10372.0	10002.0	9662.0	10273.0	10386.0	10276.0	10022.0	10151.0	9306.0	9982.0
Habropoda_laboriosa	7925.0	8228.0	8033.0	9580.0	9865.0	8459.0	9651.0	8093.0	9689.0	9868.0	0.0	9701.0	9347.0	8989.0	9627.0	9726.0	9608.0	9410.0	9496.0	8701.0	9327.0
Megachile_rotundata	9661.0	10064.0	9754.0	11556.0	11835.0	10278.0	11697.0	9796.0	11706.0	11758.0	11757.0	0.0	11368.0	11017.0	11612.0	12059.0	11936.0	11488.0	11690.0	10546.0	11361.0
Megalopta_genalis	9424.0	9756.0	9495.0	11325.0	11584.0	9980.0	11463.0	9580.0	11411.0	11422.0	11440.0	11442.0	0.0	10732.0	11558.0	11519.0	11465.0	11138.0	11293.0	10237.0	11059.0
Nasonia_vitripennis	10856.0	11156.0	10840.0	12300.0	12473.0	11426.0	12482.0	10749.0	12440.0	12435.0	12477.0	12476.0	12068.0	0.0	12296.0	12565.0	12399.0	12427.0	12995.0	11804.0	12189.0
Nomia_melanderi	10096.0	10640.0	10361.0	12174.0	12483.0	10798.0	12354.0	10415.0	12329.0	12410.0	12379.0	12303.0	12157.0	11508.0	0.0	12425.0	12302.0	12011.0	12169.0	11174.0	11955.0
Osmia_bicornis	10029.0	10221.0	9841.0	11813.0	12095.0	10497.0	12126.0	9942.0	11968.0	12006.0	12089.0	12325.0	11668.0	11225.0	11885.0	0.0	12777.0	11736.0	12079.0	10735.0	11504.0
Osmia_lignaria	9661.0	9942.0	9576.0	11542.0	11836.0	10194.0	11810.0	9658.0	11599.0	11704.0	11754.0	11939.0	11464.0	10950.0	11608.0	12489.0	0.0	11266.0	11617.0	10480.0	11243.0
Polistes_dominula	9223.0	9557.0	9297.0	10719.0	11040.0	9826.0	10922.0	9331.0	10932.0	10936.0	10936.0	10949.0	10572.0	10473.0	10887.0	10996.0	10882.0	0.0	11046.0	10116.0	11186.0
Solenopsis_invicta	11163.0	10854.0	10319.0	11963.0	12430.0	11230.0	12531.0	10281.0	12339.0	12281.0	12490.0	12508.0	12044.0	12526.0	12090.0	12744.0	12568.0	12292.0	0.0	11553.0	12084.0
Tribolium_castaneum	9610.0	10131.0	9930.0	10038.0	10207.0	10274.0	10198.0	9850.0	10147.0	10156.0	10195.0	10097.0	9838.0	9867.0	10106.0	10167.0	10087.0	10069.0	10327.0	0.0	9954.0
Vespa_mandarinia	9652.0	10121.0	9893.0	11538.0	11761.0	10335.0	11664.0	9891.0	11570.0	11689.0	11694.0	11608.0	11306.0	11163.0	11626.0	11677.0	11627.0	12169.0	11752.0	10685.0	0.0
