	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	4168.0	4492.0	4463.0	4517.0	4257.0	4382.0	4850.0	5376.0	4845.0	5407.0	4677.0	4437.0	4120.0	4352.0	4744.0	4680.0	4618.0	4534.0	4836.0	4207.0
Aedes_aegypti	3808.0	0.0	5990.0	4652.0	4493.0	4545.0	4483.0	5715.0	5607.0	4977.0	5522.0	4478.0	4380.0	3955.0	4540.0	4533.0	4468.0	4486.0	4423.0	4973.0	4461.0
Anopheles_gambiae	2218.0	2568.0	0.0	2561.0	2584.0	2386.0	2543.0	2888.0	2978.0	2723.0	2943.0	2490.0	2402.0	2217.0	2594.0	2503.0	2566.0	2527.0	2393.0	2503.0	2520.0
Apis_mellifera	1970.0	2171.0	2519.0	0.0	2143.0	2170.0	2187.0	2787.0	3049.0	2739.0	2975.0	2380.0	2169.0	2097.0	2178.0	2191.0	2251.0	2528.0	2219.0	2462.0	2323.0
Bombus_terrestris	2348.0	2582.0	3062.0	2605.0	0.0	2734.0	2625.0	3310.0	3614.0	3215.0	3616.0	2744.0	2677.0	2580.0	2658.0	2575.0	2592.0	2769.0	2642.0	3041.0	2751.0
Bombyx_mori	2620.0	2730.0	3036.0	2982.0	2988.0	0.0	3056.0	3456.0	3603.0	3396.0	3775.0	3117.0	3011.0	2602.0	3012.0	3065.0	3158.0	3039.0	2999.0	3059.0	2929.0
Ceratina_calcarata	2532.0	2845.0	3300.0	2948.0	2851.0	2889.0	0.0	3489.0	3757.0	3349.0	3845.0	2914.0	2761.0	2698.0	2829.0	2774.0	2772.0	3091.0	2852.0	3224.0	2945.0
Drosophila_melanogaster	1193.0	1296.0	1400.0	1587.0	1480.0	1367.0	1471.0	0.0	1745.0	1691.0	1717.0	1427.0	1389.0	1293.0	1495.0	1513.0	1479.0	1503.0	1416.0	1410.0	1539.0
Dufourea_novaeangliae	889.0	923.0	1066.0	856.0	783.0	935.0	765.0	1142.0	0.0	910.0	1039.0	817.0	788.0	831.0	755.0	853.0	853.0	876.0	841.0	1075.0	818.0
Eufriesea_mexicana	1454.0	1561.0	1735.0	1385.0	1331.0	1578.0	1330.0	1955.0	1882.0	0.0	1773.0	1464.0	1417.0	1401.0	1458.0	1372.0	1402.0	1525.0	1515.0	1823.0	1426.0
Habropoda_laboriosa	935.0	906.0	955.0	722.0	687.0	954.0	739.0	1102.0	912.0	733.0	0.0	714.0	701.0	799.0	748.0	710.0	710.0	862.0	830.0	1043.0	769.0
Megachile_rotundata	2509.0	2773.0	3016.0	2985.0	2764.0	2826.0	2856.0	3389.0	3801.0	3377.0	3774.0	0.0	2839.0	2667.0	2807.0	2664.0	2764.0	3127.0	2869.0	3110.0	2940.0
Megalopta_genalis	2595.0	2750.0	3163.0	3010.0	3022.0	2908.0	2927.0	3450.0	3820.0	3454.0	3879.0	3072.0	0.0	2702.0	2851.0	2889.0	2839.0	3120.0	2862.0	3171.0	2826.0
Nasonia_vitripennis	3551.0	3757.0	4250.0	4500.0	4374.0	3974.0	4206.0	4593.0	5431.0	4957.0	5541.0	4446.0	4101.0	0.0	4188.0	4205.0	4303.0	4419.0	4111.0	4289.0	4004.0
Nomia_melanderi	2966.0	3225.0	3677.0	3427.0	3341.0	3422.0	3370.0	4070.0	4324.0	4044.0	4441.0	3379.0	3068.0	2950.0	0.0	3194.0	3215.0	3493.0	3374.0	3722.0	3284.0
Osmia_bicornis	2787.0	2951.0	3236.0	3138.0	3035.0	3019.0	3049.0	3628.0	4194.0	3620.0	4206.0	3113.0	2977.0	2717.0	2986.0	0.0	2409.0	3227.0	3095.0	3368.0	2967.0
Osmia_lignaria	2484.0	2638.0	3014.0	2871.0	2762.0	2765.0	2764.0	3340.0	3822.0	3386.0	3864.0	2795.0	2637.0	2580.0	2725.0	1948.0	0.0	2942.0	2659.0	3163.0	2736.0
Polistes_dominula	2081.0	2261.0	2594.0	2542.0	2362.0	2513.0	2382.0	2958.0	3209.0	2803.0	3242.0	2487.0	2334.0	2241.0	2489.0	2416.0	2499.0	0.0	2440.0	2730.0	2176.0
Solenopsis_invicta	3104.0	3080.0	3371.0	3511.0	3525.0	3286.0	3498.0	3758.0	4620.0	4237.0	4845.0	3680.0	3440.0	3346.0	3403.0	3631.0	3642.0	3716.0	0.0	3639.0	3312.0
Tribolium_castaneum	2152.0	2181.0	2537.0	2533.0	2498.0	2122.0	2492.0	2640.0	3122.0	2922.0	3146.0	2483.0	2466.0	2044.0	2527.0	2617.0	2642.0	2554.0	2393.0	0.0	2409.0
Vespa_mandarinia	2589.0	2886.0	3353.0	3136.0	3219.0	3000.0	3124.0	3735.0	4100.0	3686.0	4191.0	3236.0	2966.0	2725.0	3113.0	3005.0	3164.0	3212.0	3058.0	3350.0	0.0
