Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000000	107	2	0	0	16	63	25	0	25	7	50	40	20	38	15	44	44	25	121	7	0	649
OG0000001	28	31	18	29	23	12	17	24	19	25	10	32	31	32	17	39	29	11	46	37	15	525
OG0000002	0	1	1	70	43	0	38	0	12	28	20	36	1	9	28	20	16	20	41	1	21	406
OG0000003	53	3	1	0	0	50	19	0	9	2	3	14	1	24	2	24	25	2	72	14	3	321
OG0000004	41	0	2	1	15	7	6	1	14	34	20	38	22	1	13	19	10	32	5	3	17	301
OG0000005	40	8	1	3	8	4	5	1	23	14	18	39	46	1	15	38	26	2	1	3	0	296
OG0000006	1	4	5	8	9	22	4	6	7	3	8	15	23	36	11	8	15	7	34	44	7	277
OG0000007	95	20	2	0	0	17	4	1	1	0	1	0	1	30	0	16	14	0	50	2	0	254
OG0000008	29	12	14	6	24	8	8	8	11	8	6	7	10	16	8	7	10	9	21	10	12	244
OG0000009	0	24	7	5	5	8	11	6	6	8	5	6	13	21	12	8	8	5	36	21	11	226
OG0000010	4	0	0	0	10	43	13	0	1	8	5	10	13	12	8	17	10	2	38	1	23	218
OG0000011	0	0	0	17	12	0	16	1	6	26	11	16	12	0	16	29	32	4	2	0	5	205
OG0000012	0	22	21	8	5	11	11	33	7	6	4	6	4	21	6	5	5	5	5	10	5	200
OG0000013	9	27	11	6	6	3	12	25	6	6	5	3	8	22	4	9	11	5	7	5	7	197
OG0000014	13	79	5	2	2	1	3	23	3	2	2	4	4	12	8	9	7	1	2	5	7	194
OG0000015	104	0	0	0	0	27	1	0	0	0	0	7	0	13	0	9	11	15	3	4	0	194
OG0000016	19	3	0	0	4	38	14	0	9	1	2	16	7	9	2	13	7	13	32	2	2	193
OG0000017	10	23	24	2	10	14	5	24	10	4	3	5	3	5	7	6	4	9	2	17	2	189
OG0000018	14	18	9	9	7	6	11	11	7	6	5	6	6	7	7	9	8	4	12	21	4	187
OG0000019	8	17	9	3	8	18	7	15	3	3	3	9	3	12	5	4	3	7	29	10	5	181
OG0000020	12	18	11	4	10	10	6	10	9	10	11	7	8	4	11	7	5	9	6	3	8	179
OG0000021	19	6	9	1	12	6	6	8	5	9	6	8	4	8	4	13	11	12	7	9	12	175
OG0000022	9	29	6	5	3	3	6	20	5	5	5	4	6	22	5	11	9	4	4	5	9	175
OG0000023	8	30	7	5	3	1	5	23	5	5	5	3	7	17	6	13	10	3	3	3	9	171
OG0000024	18	12	8	4	6	2	6	9	8	6	2	7	5	15	6	7	7	9	5	17	11	170
OG0000025	0	0	0	11	7	5	4	0	26	8	15	11	9	0	1	5	3	12	6	0	45	168
OG0000026	6	12	12	4	10	7	8	7	6	7	6	15	10	10	4	10	5	9	7	5	3	163
OG0000027	7	24	8	4	4	2	4	23	5	3	4	4	5	24	4	11	12	5	2	2	5	162
