GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0031981	nuclear lumen	11	3	1.6	0.012	0.012	0.264	0.132
GO:1902494	catalytic complex	18	4	2.62	0.026	0.026	0.286	0.13566666666666666
GO:0016020	membrane	61	11	8.9	0.158	0.146	1	0.4588571428571428
GO:0032991	protein-containing complex	36	6	5.25	0.191	0.012	1	0.132
GO:0016021	integral component of membrane	21	4	3.06	0.377	0.377	1	0.794
GO:0005615	extracellular space	11	2	1.6	0.440	0.440	1	0.8066666666666666
GO:0005737	cytoplasm	23	3	3.35	0.564	0.564	1	0.9460000000000001
GO:0005576	extracellular region	14	2	2.04	0.590	0.397	1	0.794
GO:0043231	intracellular membrane-bounded organelle	44	7	6.42	0.727	0.781	1	0.9460000000000001
GO:0043227	membrane-bounded organelle	45	7	6.56	0.735	0.747	1	0.9460000000000001
GO:0005622	intracellular	67	8	9.77	0.759	0.828	1	0.9460000000000001
GO:0070013	intracellular organelle lumen	12	3	1.75	0.841	0.037	1	0.13566666666666666
GO:0110165	cellular anatomical entity	134	20	19.54	0.875	0.746	1	0.9460000000000001
GO:0043232	intracellular non-membrane-bounded organelle	12	1	1.75	0.903	0.903	1	0.9460000000000001
GO:0005634	nucleus	35	6	5.1	0.970	0.336	1	0.794
GO:0043233	organelle lumen	12	3	1.75	1.000	0.037	1	0.13566666666666666
GO:0031224	intrinsic component of membrane	21	4	3.06	1.000	0.377	1	0.794
GO:0031974	membrane-enclosed lumen	12	3	1.75	1.000	0.037	1	0.13566666666666666
GO:0005575	cellular_component	144	21	21	1.000	1.000	1	1
GO:0043226	organelle	53	7	7.73	1.000	0.863	1	0.9460000000000001
GO:0043228	non-membrane-bounded organelle	12	1	1.75	1.000	0.903	1	0.9460000000000001
GO:0043229	intracellular organelle	52	7	7.58	1.000	0.890	1	0.9460000000000001
