GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005886	plasma membrane	121	18	11.43	0.0043	0.0043	0.129	0.0645
GO:0016021	integral component of membrane	115	17	10.86	0.0452	0.0452	0.532	0.2695714285714286
GO:0120025	plasma membrane bounded cell projection	58	9	5.48	0.0532	0.0532	0.532	0.2695714285714286
GO:1902494	catalytic complex	68	9	6.42	0.1546	0.1546	0.7778571428571428	0.57975
GO:0042995	cell projection	61	9	5.76	0.1606	0.0352	0.7778571428571428	0.2695714285714286
GO:0005634	nucleus	190	18	17.95	0.1793	0.2724	0.7778571428571428	0.6286153846153845
GO:0030054	cell junction	54	6	5.1	0.1815	0.1815	0.7778571428571428	0.605
GO:0043231	intracellular membrane-bounded organelle	267	25	25.22	0.2178	0.2204	0.81675	0.6286153846153845
GO:0005694	chromosome	62	6	5.86	0.3017	0.3017	0.9365999999999999	0.6465000000000001
GO:0005622	intracellular	374	32	35.33	0.3122	0.9940	0.9365999999999999	1
GO:0031224	intrinsic component of membrane	117	17	11.05	0.4023	0.0629	1	0.2695714285714286
GO:0012505	endomembrane system	72	5	6.8	0.4486	0.4486	1	0.7083157894736842
GO:0043232	intracellular non-membrane-bounded organelle	104	8	9.82	0.5397	0.2719	1	0.6286153846153845
GO:0032991	protein-containing complex	156	19	14.74	0.5731	0.4235	1	0.7058333333333333
GO:0005615	extracellular space	63	4	5.95	0.6302	0.6302	1	0.9453
GO:0005737	cytoplasm	290	21	27.39	0.6500	0.8801	1	0.9778888888888889
GO:0031981	nuclear lumen	81	7	7.65	0.6867	0.6867	1	0.9778888888888889
GO:0071944	cell periphery	127	19	12	0.7283	0.0040	1	0.0645
GO:0043226	organelle	307	27	29	0.8163	0.4157	1	0.7058333333333333
GO:0016020	membrane	195	26	18.42	0.8493	0.0569	1	0.2695714285714286
GO:0043229	intracellular organelle	301	27	28.43	0.8529	0.3352	1	0.6704
GO:0070013	intracellular organelle lumen	87	8	8.22	0.8850	0.8615	1	0.9778888888888889
GO:0005576	extracellular region	77	4	7.27	0.8990	0.8568	1	0.9778888888888889
GO:0043227	membrane-bounded organelle	288	26	27.2	0.9175	0.4035	1	0.7058333333333333
GO:0005829	cytosol	114	10	10.77	0.9434	0.9434	1	1
GO:0043228	non-membrane-bounded organelle	104	8	9.82	1.0000	0.2719	1	0.6286153846153845
GO:0043233	organelle lumen	87	8	8.22	1.0000	0.8615	1	0.9778888888888889
GO:0005575	cellular_component	487	46	46	1.0000	1.0000	1	1
GO:0031974	membrane-enclosed lumen	87	8	8.22	1.0000	0.8615	1	0.9778888888888889
GO:0110165	cellular anatomical entity	477	44	45.06	1.0000	0.7736	1	0.9778888888888889
