GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005887	integral component of plasma membrane	362	143	80.98	1.5e-12	1.5e-12	1.575e-10	2.625e-11
GO:0098590	plasma membrane region	303	115	67.78	1.5e-09	1.5e-09	7.875e-8	1.575e-8
GO:0098793	presynapse	209	87	46.75	2.5e-09	2.5e-09	8.75e-8	2.3863636363636364e-8
GO:0045202	synapse	380	161	85	2.5e-08	3.4e-16	6.5625e-7	8.925e-15
GO:0005886	plasma membrane	1157	397	258.81	8.4e-08	2.6e-20	1.764e-6	1.365e-18
GO:0030424	axon	210	87	46.97	1.3e-07	1.3e-07	2.25e-6	1.05e-6
GO:0098797	plasma membrane protein complex	145	62	32.43	1.5e-07	1.5e-07	2.25e-6	1.125e-6
GO:0005938	cell cortex	189	74	42.28	1.4e-06	1.4e-06	1.8375e-5	9.8e-6
GO:0045177	apical part of cell	163	61	36.46	2.4e-06	2.4e-06	2.7999999999999996e-5	1.575e-5
GO:0012505	endomembrane system	1073	268	240.02	4.3e-06	0.00058	4.5150000000000006e-5	0.002342307692307692
GO:0016021	integral component of membrane	1881	527	420.76	3.0e-05	1.7e-10	2.8636363636363636e-4	1.9833333333333333e-9
GO:0005911	cell-cell junction	130	45	29.08	0.00020	0.00020	0.00175	0.0010500000000000002
GO:0005783	endoplasmic reticulum	410	115	91.71	0.00033	0.00033	0.0026653846153846155	0.001575
GO:0015629	actin cytoskeleton	109	37	24.38	0.00048	0.00048	0.0036	0.0021839999999999997
GO:0031410	cytoplasmic vesicle	415	112	92.83	0.00100	0.00052	0.007	0.0021839999999999997
GO:0098796	membrane protein complex	442	125	98.87	0.00330	0.01343	0.02165625	0.045609375
GO:0099512	supramolecular fiber	227	56	50.78	0.00431	0.04361	0.026620588235294115	0.1104
GO:0043005	neuron projection	385	145	86.12	0.00530	4.3e-09	0.030916666666666665	3.7624999999999994e-8
GO:0016020	membrane	2709	735	605.97	0.00597	7.2e-11	0.03299210526315789	9.45e-10
