GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016020	membrane	61	27	19.06	0.075	0.020	0.7975	0.22
GO:0016021	integral component of membrane	21	10	6.56	0.076	0.076	0.7975	0.40425
GO:1902494	catalytic complex	18	5	5.62	0.115	0.115	0.7975	0.40425
GO:0032991	protein-containing complex	36	9	11.25	0.145	0.020	0.7975	0.22
GO:0031981	nuclear lumen	11	3	3.44	0.192	0.192	0.8448000000000001	0.4693333333333334
GO:0005615	extracellular space	11	4	3.44	0.478	0.478	1	0.8579999999999999
GO:0005622	intracellular	67	14	20.94	0.531	0.896	1	1
GO:0043227	membrane-bounded organelle	45	10	14.06	0.543	0.545	1	0.8579999999999999
GO:0005737	cytoplasm	23	8	7.19	0.565	0.565	1	0.8579999999999999
GO:0005634	nucleus	35	8	10.94	0.571	0.471	1	0.8579999999999999
GO:0070013	intracellular organelle lumen	12	3	3.75	0.645	0.147	1	0.40425
GO:0005576	extracellular region	14	4	4.38	0.670	0.741	1	1
GO:0043232	intracellular non-membrane-bounded organelle	12	1	3.75	0.995	0.995	1	1
GO:0043231	intracellular membrane-bounded organelle	44	10	13.75	0.995	0.585	1	0.8579999999999999
GO:0110165	cellular anatomical entity	134	43	41.88	1.000	0.454	1	0.8579999999999999
GO:0043233	organelle lumen	12	3	3.75	1.000	0.147	1	0.40425
GO:0031224	intrinsic component of membrane	21	10	6.56	1.000	0.076	1	0.40425
GO:0031974	membrane-enclosed lumen	12	3	3.75	1.000	0.147	1	0.40425
GO:0005575	cellular_component	144	45	45	1.000	1.000	1	1
GO:0043226	organelle	53	10	16.56	1.000	0.995	1	1
GO:0043228	non-membrane-bounded organelle	12	1	3.75	1.000	0.995	1	1
GO:0043229	intracellular organelle	52	10	16.25	1.000	1.000	1	1
