GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016020	membrane	195	65	52.45	0.03	0.03	0.32999999999999996	0.32999999999999996
GO:0005622	intracellular	374	93	100.6	0.32	0.70	0.825	0.88
GO:0005634	nucleus	190	47	51.11	0.36	0.36	0.825	0.8066666666666666
GO:0043227	membrane-bounded organelle	288	77	77.47	0.42	0.42	0.825	0.8066666666666666
GO:0005737	cytoplasm	290	71	78.01	0.44	0.44	0.825	0.8066666666666666
GO:0043229	intracellular organelle	301	81	80.97	0.45	0.38	0.825	0.8066666666666666
GO:0043231	intracellular membrane-bounded organelle	267	72	71.82	0.61	0.44	0.9585714285714285	0.8066666666666666
GO:0032991	protein-containing complex	156	39	41.96	0.72	0.72	0.99	0.88
GO:0043226	organelle	307	82	82.58	0.86	0.57	1	0.88
GO:0110165	cellular anatomical entity	477	128	128.31	0.99	0.98	1	1
GO:0005575	cellular_component	487	131	131	1.00	1.00	1	1
