"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114882409",0,NA,NA,NA,NA,NA
"LOC114882197",8.49800325645249,-0.237089475257375,0.562063105884428,-0.421820028347716,0.673156385635769,0.939953687993529
"LOC114882400",0.727682251533803,-1.04668131214303,2.22730373718844,-0.469932005530719,0.638403597034112,NA
"LOC114882450",0,NA,NA,NA,NA,NA
"LOC114882529",0,NA,NA,NA,NA,NA
"LOC114881840",0.0478137348540203,0.39440775647299,3.81692887976169,0.103331177734078,0.917700131799794,NA
"LOC114881926",0.388147746729646,0,2.19447442250421,0,1,NA
"LOC114881508",0.633444170386394,-1.56590743696317,1.93668662808639,-0.80854972314773,0.418774194144579,NA
"LOC114882196",0,NA,NA,NA,NA,NA
"LOC114882174",0,NA,NA,NA,NA,NA
"LOC114881430",0,NA,NA,NA,NA,NA
"LOC114882340",0,NA,NA,NA,NA,NA
"LOC114882205",0,NA,NA,NA,NA,NA
"LOC114881943",0,NA,NA,NA,NA,NA
"LOC114882170",0,NA,NA,NA,NA,NA
"LOC114881685",0.0501601294118199,0,3.81692887976169,0,1,NA
"LOC114881598",0.162418279062023,-1.04825050134758,3.81692887976169,-0.274631918583986,0.783599041405369,NA
"LOC114882330",0,NA,NA,NA,NA,NA
"LOC114881776",0,NA,NA,NA,NA,NA
"LOC114881563",0,NA,NA,NA,NA,NA
"LOC114882349",0,NA,NA,NA,NA,NA
"LOC114882280",0,NA,NA,NA,NA,NA
"LOC114882315",0,NA,NA,NA,NA,NA
"LOC114882510",1.45223645030406,-0.599216125136493,1.12095061736817,-0.534560680775899,0.592953678659594,NA
"LOC114881989",0,NA,NA,NA,NA,NA
"LOC114882517",0,NA,NA,NA,NA,NA
"LOC114881965",0.108461240470009,-1.04825575602242,3.81692887976169,-0.274633295260106,0.783597983628833,NA
"LOC114881918",0.0863979477481398,-1.04825575602242,3.81692887976169,-0.274633295260106,0.783597983628833,NA
"LOC114881864",0.183562630880682,-1.74113802876123,3.81366279652341,-0.456552695311309,0.647992586906492,NA
"LOC114881514",0,NA,NA,NA,NA,NA
