"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114882409",0,NA,NA,NA,NA,NA
"LOC114882197",8.49800325645249,-0.387151325672875,0.543304334696892,-0.712586484127475,0.47610167778757,0.727226419368868
"LOC114882400",0.727682251533803,0.0411336698634535,2.30024493251311,0.0178822999594714,0.985732749343685,NA
"LOC114882450",0,NA,NA,NA,NA,NA
"LOC114882529",0,NA,NA,NA,NA,NA
"LOC114881840",0.0478137348540203,0.756098289472848,3.81692887976169,0.198090746065998,0.842974064944037,NA
"LOC114881926",0.388147746729646,-2.75138096296498,2.04748315601581,-1.34378686089847,0.179017319480031,NA
"LOC114881508",0.633444170386394,-1.45696052070169,1.90752714833064,-0.763795431156378,0.444989159948056,NA
"LOC114882196",0,NA,NA,NA,NA,NA
"LOC114882174",0,NA,NA,NA,NA,NA
"LOC114881430",0,NA,NA,NA,NA,NA
"LOC114882340",0,NA,NA,NA,NA,NA
"LOC114882205",0,NA,NA,NA,NA,NA
"LOC114881943",0,NA,NA,NA,NA,NA
"LOC114882170",0,NA,NA,NA,NA,NA
"LOC114881685",0.0501601294118199,-0.686565223022562,3.81692887976169,-0.179873726928186,0.857251701636855,NA
"LOC114881598",0.162418279062023,-0.686559968347722,3.81692887976169,-0.179872350252066,0.857252782438984,NA
"LOC114882330",0,NA,NA,NA,NA,NA
"LOC114881776",0,NA,NA,NA,NA,NA
"LOC114881563",0,NA,NA,NA,NA,NA
"LOC114882349",0,NA,NA,NA,NA,NA
"LOC114882280",0,NA,NA,NA,NA,NA
"LOC114882315",0,NA,NA,NA,NA,NA
"LOC114882510",1.45223645030406,1.2191766901601,1.30533044101227,0.933998512449181,0.350304660324897,NA
"LOC114881989",0,NA,NA,NA,NA,NA
"LOC114882517",0,NA,NA,NA,NA,NA
"LOC114881965",0.108461240470009,0,3.81692887976169,0,1,NA
"LOC114881918",0.0863979477481398,0,3.81692887976169,0,1,NA
"LOC114881864",0.183562630880682,0,3.81692887976117,0,1,NA
"LOC114881514",0,NA,NA,NA,NA,NA
"LOC114881513",0,NA,NA,NA,NA,NA
"LOC114881437",0.222956024908099,-0.686555373559038,3.80852017858858,-0.18026827779956,0.856941958320842,NA
"LOC114881438",0,NA,NA,NA,NA,NA
"LOC114881569",0,NA,NA,NA,NA,NA
"LOC114882249",0,NA,NA,NA,NA,NA
"LOC114882592",5.68463712304143,0.894514154838037,0.643204965243172,1.39071400747016,0.164312168278796,0.426687429287237
"LOC114881156",0,NA,NA,NA,NA,NA
"LOC114881157",0,NA,NA,NA,NA,NA
"LOC114882432",0.0971646831325419,0,3.81692887976169,0,1,NA
"LOC114882149",0.173159627556574,0.756103544147687,3.81692887976169,0.198092122742118,0.842972987856661,NA
"LOC114882343",0,NA,NA,NA,NA,NA
"LOC114881762",0,NA,NA,NA,NA,NA
"LOC114882246",0,NA,NA,NA,NA,NA
"LOC114882404",0,NA,NA,NA,NA,NA
"LOC114882547",0.278875159088744,1.66530273348509,2.85749163567824,0.582784814727836,0.560038168697747,NA
"LOC114882472",1.36681220807374,-0.614620600762474,1.38513227903804,-0.443727007206359,0.657239967036948,NA
"LOC114882165",0.0863979477481398,0,3.81692887976169,0,1,NA
