GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005887	integral component of plasma membrane	34	8	2.96	0.0012	0.00120	0.060899999999999996	0.023199999999999995
GO:0098590	plasma membrane region	28	3	2.43	0.0021	0.00211	0.060899999999999996	0.029464
GO:0045177	apical part of cell	24	2	2.09	0.0130	0.01303	0.2513333333333333	0.12595666666666666
GO:0098796	membrane protein complex	28	7	2.43	0.0252	0.02521	0.3654	0.20888285714285715
GO:0070161	anchoring junction	24	2	2.09	0.0613	0.06133	0.6650666666666666	0.29940428571428573
GO:0005700	polytene chromosome	29	4	2.52	0.0688	0.06879	0.6650666666666666	0.29940428571428573
GO:0120025	plasma membrane bounded cell projection	58	7	5.04	0.0849	0.08407	0.6858500000000001	0.3250706666666667
GO:0098793	presynapse	21	1	1.83	0.0946	0.09462	0.6858500000000001	0.3429975
GO:0030424	axon	29	4	2.52	0.1920	0.19203	0.9088941176470589	0.5861968421052632
GO:0005737	cytoplasm	270	18	23.48	0.1993	0.58379	0.9088941176470589	0.8464955000000001
GO:0042995	cell projection	60	7	5.22	0.2165	0.06358	0.9088941176470589	0.29940428571428573
GO:0005634	nucleus	179	16	15.57	0.2248	0.36902	0.9088941176470589	0.75434
GO:0005886	plasma membrane	114	16	9.91	0.2248	0.00045	0.9088941176470589	0.013049999999999999
GO:0005622	intracellular	352	29	30.61	0.2292	0.77311	0.9088941176470589	0.9128039999999998
GO:0016020	membrane	177	22	15.39	0.2465	0.04080	0.9088941176470589	0.2958
GO:0043005	neuron projection	41	5	3.57	0.2572	0.07227	0.9088941176470589	0.29940428571428573
GO:0099080	supramolecular complex	27	0	2.35	0.2664	0.26638	0.9088941176470589	0.7022745454545455
GO:1990234	transferase complex	34	7	2.96	0.3149	0.31489	0.910368	0.75434
GO:0000790	nuclear chromatin	24	2	2.09	0.3415	0.34152	0.910368	0.75434
GO:0031226	intrinsic component of plasma membrane	36	8	3.13	0.3627	0.00254	0.910368	0.029464
GO:1902494	catalytic complex	63	9	5.48	0.3637	0.23460	0.910368	0.68034
GO:0031982	vesicle	39	2	3.39	0.3706	0.51760	0.910368	0.790021052631579
GO:0043231	intracellular membrane-bounded organelle	250	23	21.74	0.3732	0.39042	0.910368	0.754812
GO:0005615	extracellular space	60	3	5.22	0.3772	0.37717	0.910368	0.75434
GO:0030054	cell junction	54	5	4.7	0.3924	0.06335	0.910368	0.29940428571428573
GO:0005938	cell cortex	22	2	1.91	0.4088	0.40881	0.9119384615384616	0.7648703225806451
GO:0005654	nucleoplasm	48	6	4.17	0.4492	0.44916	0.9158	0.7810723529411764
GO:0036477	somatodendritic compartment	24	2	2.09	0.4533	0.45326	0.9158	0.7810723529411764
GO:0005783	endoplasmic reticulum	21	3	1.83	0.4579	0.45787	0.9158	0.7810723529411764
GO:0005739	mitochondrion	23	4	2	0.5131	0.51310	0.9919933333333334	0.790021052631579
GO:0005694	chromosome	61	5	5.3	0.6217	0.17473	1	0.5630188888888888
GO:0005773	vacuole	21	2	1.83	0.6281	0.62811	1	0.8668164444444445
GO:0045202	synapse	36	3	3.13	0.6294	0.29161	1	0.735364347826087
GO:0005856	cytoskeleton	21	0	1.83	0.6381	0.63811	1	0.8668164444444445
GO:0031410	cytoplasmic vesicle	35	2	3.04	0.6725	0.67253	1	0.8668164444444445
GO:0000785	chromatin	37	3	3.22	0.6969	0.50554	1	0.790021052631579
GO:0043232	intracellular non-membrane-bounded organelle	101	6	8.78	0.7610	0.37603	1	0.75434
GO:0031090	organelle membrane	32	3	2.78	0.7644	0.76438	1	0.9128039999999998
GO:0070013	intracellular organelle lumen	89	8	7.74	0.7778	0.85909	1	0.9128039999999998
GO:0005829	cytosol	109	8	9.48	0.7901	0.79006	1	0.9128039999999998
GO:0016021	integral component of membrane	106	15	9.22	0.8124	0.07178	1	0.29940428571428573
GO:0032991	protein-containing complex	143	17	12.43	0.8504	0.25436	1	0.7022745454545455
GO:1990904	ribonucleoprotein complex	27	2	2.35	0.8567	0.85666	1	0.9128039999999998
GO:0000228	nuclear chromosome	30	2	2.61	0.8681	0.48272	1	0.790021052631579
GO:0012505	endomembrane system	62	5	5.39	0.9510	0.76334	1	0.9128039999999998
GO:0043226	organelle	287	24	24.96	0.9543	0.80275	1	0.9128039999999998
GO:0031981	nuclear lumen	84	7	7.3	0.9608	0.86559	1	0.9128039999999998
GO:0071944	cell periphery	120	17	10.43	0.9610	0.00041	1	0.013049999999999999
GO:0005576	extracellular region	74	3	6.43	0.9820	0.96638	1	0.9833340350877193
GO:0097708	intracellular vesicle	35	2	3.04	1.0000	0.67253	1	0.8668164444444445
GO:0043233	organelle lumen	89	8	7.74	1.0000	0.85909	1	0.9128039999999998
GO:0031974	membrane-enclosed lumen	89	8	7.74	1.0000	0.85909	1	0.9128039999999998
GO:0031224	intrinsic component of membrane	108	15	9.39	1.0000	0.10663	1	0.3637964705882353
GO:0005575	cellular_component	460	40	40	1.0000	1.00000	1	1
GO:0043227	membrane-bounded organelle	269	24	23.39	1.0000	0.64857	1	0.8668164444444445
GO:0043228	non-membrane-bounded organelle	101	6	8.78	1.0000	0.37603	1	0.75434
GO:0043229	intracellular organelle	281	24	24.43	1.0000	0.56977	1	0.8464955000000001
GO:0110165	cellular anatomical entity	450	39	39.13	1.0000	0.95829	1	0.9833340350877193
