GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005887	integral component of plasma membrane	332	130	72.22	4.7e-12	4.7e-12	4.747e-10	6.781428571428572e-11
GO:0098590	plasma membrane region	285	99	61.99	2.5e-10	2.5e-10	1.2625e-8	2.525e-9
GO:0098793	presynapse	198	84	43.07	1.9e-09	1.9e-09	6.396666666666666e-8	1.7445454545454547e-8
GO:0045202	synapse	353	148	76.78	1.2e-08	6.2e-17	3.03e-7	1.5654999999999999e-15
GO:0030424	axon	197	82	42.85	3.1e-08	3.1e-08	6.261999999999999e-7	2.6091666666666666e-7
GO:0005886	plasma membrane	1062	361	231	4.6e-08	1.0e-21	7.743333333333333e-7	5.05e-20
GO:0098797	plasma membrane protein complex	140	55	30.45	1.1e-06	1.1e-06	1.5871428571428574e-5	7.935714285714287e-6
GO:0045177	apical part of cell	146	56	31.76	5.5e-06	5.5e-06	6.94375e-5	3.703333333333333e-5
GO:0005938	cell cortex	172	67	37.41	7.5e-06	7.5e-06	8.416666666666666e-5	4.734375e-5
GO:0016021	integral component of membrane	1728	483	375.87	1.7e-05	1.5e-10	1.717e-4	1.6833333333333331e-9
GO:0012505	endomembrane system	978	239	212.73	0.00011	0.00033	0.00101	0.0016665
GO:0031410	cytoplasmic vesicle	373	109	81.13	0.00031	5.6e-05	0.0026091666666666663	2.9768421052631577e-4
GO:0005783	endoplasmic reticulum	366	95	79.61	0.00040	0.00040	0.003107692307692308	0.0019238095238095238
GO:0005911	cell-cell junction	128	41	27.84	0.00162	0.00162	0.011687142857142856	0.006817499999999999
GO:0015629	actin cytoskeleton	101	32	21.97	0.00273	0.00273	0.018382	0.010212222222222221
GO:0005768	endosome	205	50	44.59	0.00391	0.00391	0.024681875000000002	0.014103928571428573
GO:0000139	Golgi membrane	146	36	31.76	0.00686	0.00686	0.0407564705882353	0.023891724137931034
GO:0043025	neuronal cell body	103	34	22.4	0.00774	0.00774	0.043429999999999996	0.026058
GO:0099512	supramolecular fiber	214	49	46.55	0.01108	0.13033	0.05889894736842105	0.3061239534883721
GO:0099568	cytoplasmic region	151	49	32.84	0.01484	0.01484	0.074942	0.046838750000000005
GO:0005856	cytoskeleton	461	104	100.27	0.02173	0.15923	0.10451095238095237	0.34961369565217393
GO:0043231	intracellular membrane-bounded organelle	3330	680	724.33	0.02475	0.95838	0.113625	1
GO:0005615	extracellular space	280	74	60.9	0.02627	0.02627	0.11535956521739131	0.08040212121212122
GO:0005700	polytene chromosome	175	45	38.07	0.03473	0.03473	0.14615541666666665	0.09743694444444442
GO:0099513	polymeric cytoskeletal fiber	153	31	33.28	0.03919	0.39288	0.1583276	0.7630938461538461
GO:0005773	vacuole	130	32	28.28	0.04401	0.04401	0.17096192307692307	0.1201354054054054
GO:0043005	neuron projection	365	127	79.39	0.04846	1.2e-07	0.18127629629629632	9.323076923076922e-7
GO:0043226	organelle	4024	832	875.28	0.05207	0.98667	0.18782392857142857	1
GO:0005634	nucleus	2086	439	453.74	0.05845	0.66927	0.19769935483870968	1
GO:0031982	vesicle	403	119	87.66	0.06049	2.0e-05	0.19769935483870968	1.1882352941176472e-4
GO:0005789	endoplasmic reticulum membrane	268	53	58.29	0.06068	0.06068	0.19769935483870968	0.15938292682926827
GO:0031226	intrinsic component of plasma membrane	345	135	75.04	0.07286	2.9e-12	0.22996437499999997	4.881666666666667e-11
GO:0016020	membrane	2463	676	535.74	0.07964	5.7e-13	0.24374666666666667	1.1514e-11
GO:0031224	intrinsic component of membrane	1753	492	381.3	0.08712	4.9e-11	0.2587976470588235	6.18625e-10
GO:0036477	somatodendritic compartment	164	55	35.67	0.09199	0.00193	0.26006135135135133	0.007797200000000001
GO:0070161	anchoring junction	157	53	34.15	0.09424	0.00047	0.26006135135135133	0.0021577272727272725
GO:0120025	plasma membrane bounded cell projection	543	156	118.11	0.09527	0.00148	0.26006135135135133	0.006499130434782609
GO:0098687	chromosomal region	142	35	30.89	0.14878	0.14878	0.3954415789473684	0.3339284444444444
GO:0099081	supramolecular polymer	215	50	46.77	0.15523	0.11697	0.4020058974358975	0.281285
GO:0005654	nucleoplasm	508	123	110.5	0.23836	0.23836	0.6018589999999999	0.5015491666666666
GO:0031301	integral component of organelle membrane	119	25	25.88	0.26584	0.26584	0.6548741463414635	0.5479559183673469
GO:0005622	intracellular	4675	958	1016.88	0.31085	0.99514	0.736266511627907	1
GO:0005667	transcription regulator complex	148	35	32.19	0.31346	0.31346	0.736266511627907	0.6331892
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	273	54	59.38	0.34498	0.06470	0.7918859090909091	0.15938292682926827
GO:0031090	organelle membrane	813	160	176.84	0.37814	0.72483	0.8487142222222221	1
GO:0005635	nuclear envelope	104	20	22.62	0.40481	0.40481	0.8640129166666666	0.7680114814814815
GO:0019866	organelle inner membrane	187	22	40.68	0.40724	0.99999	0.8640129166666666	1
GO:0098805	whole membrane	241	56	52.42	0.41062	0.41062	0.8640129166666666	0.7680114814814815
GO:0071011	precatalytic spliceosome	122	17	26.54	0.44472	0.44472	0.909217843137255	0.8166676363636364
GO:0005815	microtubule organizing center	143	21	31.1	0.45846	0.75805	0.909217843137255	1
GO:0098588	bounding membrane of organelle	370	90	80.48	0.45911	0.14096	0.909217843137255	0.3235672727272727
GO:0005694	chromosome	553	112	120.29	0.48678	0.73915	0.9454765384615385	1
GO:0000785	chromatin	316	64	68.73	0.51593	0.85052	0.9829544444444445	1
GO:0030054	cell junction	494	195	107.45	0.52554	5.3e-18	0.9829544444444445	1.7843333333333332e-16
GO:0043232	intracellular non-membrane-bounded organelle	1385	263	301.26	0.54521	0.99741	0.9866257142857142	1
GO:0071013	catalytic step 2 spliceosome	106	14	23.06	0.54704	0.54704	0.9866257142857142	0.9866257142857142
GO:0015630	microtubule cytoskeleton	286	50	62.21	0.57531	0.84567	1	1
GO:0099080	supramolecular complex	299	66	65.04	0.59658	0.18194	1	0.39097744680851065
GO:0005737	cytoplasm	3334	700	725.2	0.60356	0.67932	1	1
GO:0098796	membrane protein complex	403	113	87.66	0.60602	0.00911	1	0.029680967741935484
GO:0000151	ubiquitin ligase complex	108	14	23.49	0.61119	0.61119	1	1
GO:0032991	protein-containing complex	2118	394	460.7	0.63546	0.99740	1	1
GO:0042995	cell projection	550	157	119.63	0.64417	0.00208	1	0.008079999999999999
GO:0043229	intracellular organelle	3921	811	852.88	0.66807	0.98928	1	1
GO:0031981	nuclear lumen	898	178	195.33	0.69136	0.92495	1	1
GO:0005829	cytosol	854	176	185.76	0.70197	0.70197	1	1
GO:0044297	cell body	119	37	25.88	0.70665	0.02805	1	0.083325
GO:0005819	spindle	104	18	22.62	0.70871	0.70871	1	1
GO:0070013	intracellular organelle lumen	1078	200	234.48	0.71392	0.84829	1	1
GO:1990234	transferase complex	369	66	80.26	0.71687	0.95922	1	1
GO:1902494	catalytic complex	747	131	162.48	0.72906	0.81002	1	1
GO:0071944	cell periphery	1149	384	249.93	0.72978	5.4e-22	1	5.05e-20
GO:0005576	extracellular region	462	116	100.49	0.73404	0.06364	1	0.15938292682926827
GO:0005759	mitochondrial matrix	145	15	31.54	0.76604	0.76604	1	1
GO:1990904	ribonucleoprotein complex	475	55	103.32	0.78508	0.99688	1	1
GO:0031300	intrinsic component of organelle membrane	128	25	27.84	0.80467	0.33554	1	0.6645007843137255
GO:0005740	mitochondrial envelope	238	28	51.77	0.81410	0.99999	1	1
GO:0005794	Golgi apparatus	323	73	70.26	0.83183	0.06349	1	0.15938292682926827
GO:0005813	centrosome	100	14	21.75	0.84617	0.84617	1	1
GO:0005739	mitochondrion	598	81	130.07	0.87534	0.99997	1	1
GO:0000790	nuclear chromatin	218	43	47.42	0.88440	0.88440	1	1
GO:0031966	mitochondrial membrane	225	27	48.94	0.88475	0.99999	1	1
GO:0005840	ribosome	161	14	35.02	0.90285	0.99899	1	1
GO:0005874	microtubule	115	21	25.01	0.91496	0.91496	1	1
GO:0005730	nucleolus	189	17	41.11	0.94207	0.94207	1	1
GO:0005681	spliceosomal complex	163	20	35.46	0.94606	0.81758	1	1
GO:0061695	transferase complex, transferring phosphorus-containing groups	123	22	26.75	0.95958	0.95958	1	1
GO:0005929	cilium	145	17	31.54	0.99459	0.99459	1	1
GO:0044391	ribosomal subunit	150	12	32.63	0.99906	0.99906	1	1
GO:0098798	mitochondrial protein complex	188	19	40.89	0.99921	0.99921	1	1
GO:0000228	nuclear chromosome	312	61	67.86	0.99935	0.97277	1	1
GO:0005743	mitochondrial inner membrane	176	18	38.28	0.99999	0.99999	1	1
GO:0110165	cellular anatomical entity	5974	1319	1299.44	1.00000	0.02979	1	0.08596542857142857
GO:0043227	membrane-bounded organelle	3575	743	777.62	1.00000	0.92571	1	1
GO:0043228	non-membrane-bounded organelle	1385	263	301.26	1.00000	0.99741	1	1
GO:0031967	organelle envelope	342	48	74.39	1.00000	0.99998	1	1
GO:0005575	cellular_component	6303	1371	1371	1.00000	1.00000	1	1
GO:0097708	intracellular vesicle	373	109	81.13	1.00000	5.6e-05	1	2.9768421052631577e-4
GO:0043233	organelle lumen	1078	200	234.48	1.00000	0.84829	1	1
GO:0031974	membrane-enclosed lumen	1078	200	234.48	1.00000	0.84829	1	1
GO:0031975	envelope	342	48	74.39	1.00000	0.99998	1	1
