GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016020	membrane	55	30	18.61	0.0039	0.00032	0.0702	0.00576
GO:0016021	integral component of membrane	19	11	6.43	0.0653	0.06526	0.5877	0.39156
GO:1902494	catalytic complex	16	5	5.41	0.1056	0.10562	0.6335999999999999	0.47529000000000005
GO:0005615	extracellular space	10	3	3.38	0.2771	0.27709	1	0.9321685714285715
GO:0005634	nucleus	34	7	11.5	0.5193	0.51927	1	0.9474381818181818
GO:0005737	cytoplasm	19	7	6.43	0.5264	0.52645	1	0.9474381818181818
GO:0043227	membrane-bounded organelle	40	9	13.53	0.5774	0.54414	1	0.9474381818181818
GO:0032991	protein-containing complex	32	7	10.83	0.6328	0.36251	1	0.9321685714285715
GO:0005576	extracellular region	13	3	4.4	0.6936	0.80502	1	1
GO:0005622	intracellular	61	13	20.64	0.7845	0.90367	1	1
GO:0043231	intracellular membrane-bounded organelle	39	9	13.2	0.8739	0.57899	1	0.9474381818181818
GO:0043232	intracellular non-membrane-bounded organelle	10	1	3.38	0.9057	0.90572	1	1
GO:0110165	cellular anatomical entity	124	44	41.95	1.0000	0.32200	1	0.9321685714285715
GO:0031224	intrinsic component of membrane	19	11	6.43	1.0000	0.06526	1	0.39156
GO:0005575	cellular_component	133	45	45	1.0000	1.00000	1	1
GO:0043226	organelle	46	9	15.56	1.0000	0.96166	1	1
GO:0043228	non-membrane-bounded organelle	10	1	3.38	1.0000	0.90572	1	1
GO:0043229	intracellular organelle	45	9	15.23	1.0000	0.96700	1	1
