GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016020	membrane	177	64	48.1	0.0096	0.0096	0.09599999999999999	0.09599999999999999
GO:0005622	intracellular	352	89	95.65	0.3063	0.5900	0.7802	0.7374999999999999
GO:0005737	cytoplasm	270	70	73.37	0.3334	0.3334	0.7802	0.7374999999999999
GO:0043229	intracellular organelle	281	75	76.36	0.3818	0.3108	0.7802	0.7374999999999999
GO:0005634	nucleus	179	43	48.64	0.3901	0.3901	0.7802	0.7374999999999999
GO:0043227	membrane-bounded organelle	269	71	73.1	0.5614	0.4738	0.9356666666666668	0.7374999999999999
GO:0043231	intracellular membrane-bounded organelle	250	66	67.93	0.7060	0.5590	1	0.7374999999999999
GO:0043226	organelle	287	76	77.99	0.9528	0.3679	1	0.7374999999999999
GO:0110165	cellular anatomical entity	450	122	122.28	1.0000	0.9785	1	1
GO:0005575	cellular_component	460	125	125	1.0000	1.0000	1	1
