GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0043170	macromolecule metabolic process	17	5	3.72	0.15	0.10	0.6	0.3666666666666667
GO:0044237	cellular metabolic process	12	5	2.62	0.16	0.16	0.6	0.3666666666666667
GO:0008152	metabolic process	25	6	5.47	0.19	0.15	0.6	0.3666666666666667
GO:0006807	nitrogen compound metabolic process	17	5	3.72	0.24	0.10	0.6	0.3666666666666667
GO:0019538	protein metabolic process	13	4	2.84	0.37	0.37	0.6142857142857143	0.4625
GO:1901564	organonitrogen compound metabolic proces...	14	4	3.06	0.37	0.22	0.6142857142857143	0.3666666666666667
GO:0044238	primary metabolic process	17	5	3.72	0.43	0.29	0.6142857142857143	0.41428571428571426
GO:0071704	organic substance metabolic process	18	5	3.94	0.86	0.19	1	0.3666666666666667
GO:0009987	cellular process	20	6	4.38	0.98	0.49	1	0.5444444444444445
GO:0008150	biological_process	32	7	7	1.00	1.00	1	1
