GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0048523	negative regulation of cellular process	13	4	1.98	0.013	0.013	1	0.5013333333333333
GO:0006508	proteolysis	13	4	1.98	0.030	0.030	1	0.705
GO:0031323	regulation of cellular metabolic process	21	6	3.2	0.033	0.117	1	0.719304347826087
GO:0080134	regulation of response to stress	13	2	1.98	0.044	0.660	1	1
GO:0032268	regulation of cellular protein metabolic...	11	4	1.67	0.103	0.103	1	0.719304347826087
GO:0012501	programmed cell death	10	3	1.52	0.138	0.138	1	0.719304347826087
GO:0006996	organelle organization	11	2	1.67	0.148	0.148	1	0.719304347826087
GO:0007165	signal transduction	16	3	2.43	0.153	0.260	1	0.8427586206896551
GO:0009617	response to bacterium	12	1	1.83	0.160	0.871	1	1
GO:0044267	cellular protein metabolic process	17	5	2.59	0.174	0.149	1	0.719304347826087
GO:0043412	macromolecule modification	10	4	1.52	0.176	0.176	1	0.719304347826087
GO:0051179	localization	17	4	2.59	0.187	0.205	1	0.7411538461538462
GO:0048522	positive regulation of cellular process	16	4	2.43	0.200	0.496	1	0.9630877192982455
GO:0043170	macromolecule metabolic process	32	7	4.87	0.200	0.074	1	0.719304347826087
GO:0044260	cellular macromolecule metabolic process	22	5	3.35	0.238	0.165	1	0.719304347826087
GO:0051716	cellular response to stimulus	23	4	3.5	0.273	0.119	1	0.719304347826087
GO:0051171	regulation of nitrogen compound metaboli...	15	5	2.28	0.316	0.061	1	0.719304347826087
GO:0080090	regulation of primary metabolic process	15	5	2.28	0.316	0.061	1	0.719304347826087
GO:0023051	regulation of signaling	11	3	1.67	0.353	0.353	1	0.9630877192982455
GO:0010646	regulation of cell communication	11	3	1.67	0.353	0.353	1	0.9630877192982455
GO:0044249	cellular biosynthetic process	13	2	1.98	0.432	0.432	1	0.9630877192982455
GO:1901576	organic substance biosynthetic process	13	2	1.98	0.432	0.432	1	0.9630877192982455
GO:0000003	reproduction	12	2	1.83	0.433	0.716	1	1
GO:0065008	regulation of biological quality	12	3	1.83	0.438	0.438	1	0.9630877192982455
GO:0009605	response to external stimulus	24	4	3.65	0.438	0.888	1	1
GO:0033036	macromolecule localization	11	3	1.67	0.451	0.451	1	0.9630877192982455
