GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0009605	response to external stimulus	171	36	33.75	0.047	0.19	0.6094999999999999	0.7794444444444444
GO:0050896	response to stimulus	197	40	38.88	0.053	0.12	0.6094999999999999	0.7794444444444444
GO:0032502	developmental process	165	34	32.57	0.178	0.46	1	0.7794444444444444
GO:0050794	regulation of cellular process	172	37	33.95	0.244	0.24	1	0.7794444444444444
GO:0006950	response to stress	162	30	31.97	0.376	0.38	1	0.7794444444444444
GO:0043170	macromolecule metabolic process	151	31	29.8	0.488	0.49	1	0.7794444444444444
GO:0032501	multicellular organismal process	167	34	32.96	0.489	0.34	1	0.7794444444444444
GO:0071704	organic substance metabolic process	178	35	35.13	0.529	0.75	1	0.8214285714285715
GO:0006807	nitrogen compound metabolic process	152	31	30	0.532	0.53	1	0.7794444444444444
GO:0007275	multicellular organism development	151	30	29.8	0.564	0.56	1	0.7794444444444444
GO:0002376	immune system process	162	28	31.97	0.565	0.57	1	0.7794444444444444
GO:0044237	cellular metabolic process	170	34	33.55	0.588	0.59	1	0.7794444444444444
GO:0051707	response to other organism	151	29	29.8	0.595	0.60	1	0.7794444444444444
GO:0044238	primary metabolic process	156	31	30.79	0.703	0.70	1	0.8214285714285715
GO:0065007	biological regulation	188	37	37.11	0.726	0.36	1	0.7794444444444444
GO:0048856	anatomical structure development	164	33	32.37	0.741	0.61	1	0.7794444444444444
GO:0008152	metabolic process	187	36	36.91	0.808	0.74	1	0.8214285714285715
GO:0050789	regulation of biological process	182	37	35.92	0.904	0.28	1	0.7794444444444444
GO:0009987	cellular process	218	42	43.03	0.986	0.90	1	0.9409090909090909
GO:0044419	interspecies interaction between organisms	151	29	29.8	1.000	0.60	1	0.7794444444444444
GO:0043207	response to external biotic stimulus	151	29	29.8	1.000	0.60	1	0.7794444444444444
GO:0009607	response to biotic stimulus	151	29	29.8	1.000	0.60	1	0.7794444444444444
GO:0008150	biological_process	228	45	45	1.000	1.00	1	1
