GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005667	transcription regulator complex	26	11	4.33	0.0032	0.0032	0.10455	0.021866666666666666
GO:0005634	nucleus	180	28	29.97	0.0051	0.0008	0.10455	0.021866666666666666
GO:0005737	cytoplasm	155	24	25.8	0.0140	0.0915	0.19133333333333333	0.2755785714285714
GO:0005886	plasma membrane	47	15	7.82	0.0349	0.0283	0.3321	0.12892222222222222
GO:0005856	cytoskeleton	65	16	10.82	0.0405	0.2223	0.3321	0.4340142857142857
GO:0110165	cellular anatomical entity	844	140	140.51	0.0735	0.5187	0.50225	0.7607483870967742
GO:0043231	intracellular membrane-bounded organelle	252	38	41.95	0.0860	0.0017	0.5037142857142857	0.021866666666666666
GO:0098588	bounding membrane of organelle	24	1	4	0.1030	0.1030	0.527875	0.2815333333333333
GO:0098796	membrane protein complex	49	12	8.16	0.1175	0.0686	0.5352777777777777	0.2343833333333333
GO:0005654	nucleoplasm	42	8	6.99	0.1562	0.1562	0.64042	0.4002625
GO:1902494	catalytic complex	76	14	12.65	0.1789	0.1997	0.6668090909090909	0.40938499999999994
GO:0098797	plasma membrane protein complex	20	6	3.33	0.2510	0.2510	0.8411307692307691	0.46777272727272723
GO:0031090	organelle membrane	46	4	7.66	0.2667	0.0570	0.8411307692307691	0.21245454545454545
GO:0005694	chromosome	26	3	4.33	0.3342	0.3342	0.9787285714285714	0.5957478260869565
GO:0015629	actin cytoskeleton	24	5	4	0.4055	0.4055	1	0.6927291666666667
GO:1990234	transferase complex	48	9	7.99	0.4346	0.4346	1	0.7077230769230769
GO:0031981	nuclear lumen	55	9	9.16	0.4735	0.0941	1	0.2755785714285714
GO:0012505	endomembrane system	51	6	8.49	0.5029	0.5752	1	0.7607483870967742
GO:0005740	mitochondrial envelope	20	2	3.33	0.5330	0.5330	1	0.7607483870967742
GO:0043226	organelle	366	59	60.93	0.5426	0.0027	1	0.021866666666666666
GO:0043229	intracellular organelle	356	57	59.27	0.5482	0.0048	1	0.02811428571428571
GO:0016021	integral component of membrane	245	40	40.79	0.5654	0.5654	1	0.7607483870967742
GO:0015630	microtubule cytoskeleton	24	5	4	0.6398	0.6398	1	0.7715235294117647
GO:0005622	intracellular	441	67	73.42	0.6542	0.0026	1	0.021866666666666666
GO:0016020	membrane	448	77	74.58	0.7191	0.4488	1	0.7077230769230769
GO:0071944	cell periphery	50	16	8.32	0.7328	0.0215	1	0.1101875
GO:0043232	intracellular non-membrane-bounded organelle	115	20	19.15	0.7970	0.6316	1	0.7715235294117647
GO:0005794	Golgi apparatus	20	1	3.33	0.8112	0.8112	1	0.8988972972972974
GO:0070013	intracellular organelle lumen	59	9	9.82	0.8321	0.1973	1	0.40938499999999994
GO:0032991	protein-containing complex	264	46	43.95	0.8486	0.0420	1	0.1722
GO:0043227	membrane-bounded organelle	269	40	44.78	0.8539	0.0014	1	0.021866666666666666
GO:0031967	organelle envelope	27	2	4.49	0.9113	0.7917	1	0.8988972972972974
GO:0031224	intrinsic component of membrane	246	40	40.95	0.9184	0.5720	1	0.7607483870967742
GO:0005576	extracellular region	32	3	5.33	0.9497	0.9497	1	0.9998874999999999
GO:0005840	ribosome	22	1	3.66	0.9755	0.9755	1	0.9998874999999999
GO:0005739	mitochondrion	32	3	5.33	0.9999	0.9572	1	0.9998874999999999
GO:0005575	cellular_component	895	149	149	1.0000	1.0000	1	1
GO:0043228	non-membrane-bounded organelle	115	20	19.15	1.0000	0.6316	1	0.7715235294117647
GO:0043233	organelle lumen	59	9	9.82	1.0000	0.1973	1	0.40938499999999994
GO:0031974	membrane-enclosed lumen	59	9	9.82	1.0000	0.1973	1	0.40938499999999994
GO:0031975	envelope	27	2	4.49	1.0000	0.7917	1	0.8988972972972974
