GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005737	cytoplasm	71	11	10.92	0.011	0.036	0.23099999999999998	0.37799999999999995
GO:0005634	nucleus	57	9	8.77	0.125	0.125	0.98175	0.43633333333333335
GO:0043232	intracellular non-membrane-bounded organ...	24	3	3.69	0.164	0.164	0.98175	0.43633333333333335
GO:0070013	intracellular organelle lumen	20	5	3.08	0.187	0.187	0.98175	0.43633333333333335
GO:0032991	protein-containing complex	38	6	5.85	0.275	0.275	1	0.5215
GO:0016020	membrane	43	4	6.62	0.531	0.420	1	0.6272
GO:0043231	intracellular membrane-bounded organelle	70	10	10.77	0.643	0.160	1	0.43633333333333335
GO:0110165	cellular anatomical entity	115	18	17.69	0.717	0.448	1	0.6272
GO:0005886	plasma membrane	29	3	4.46	0.769	0.769	1	0.9356666666666668
GO:0005829	cytosol	33	6	5.08	0.802	0.802	1	0.9356666666666668
GO:0043229	intracellular organelle	75	11	11.54	0.892	0.244	1	0.5124
GO:0043227	membrane-bounded organelle	74	10	11.38	0.897	0.365	1	0.5896153846153847
GO:0016021	integral component of membrane	20	1	3.08	0.996	0.996	1	1
GO:0005622	intracellular	93	17	14.31	1.000	0.018	1	0.37799999999999995
GO:0043233	organelle lumen	20	5	3.08	1.000	0.187	1	0.43633333333333335
GO:0031224	intrinsic component of membrane	20	1	3.08	1.000	0.996	1	1
GO:0031974	membrane-enclosed lumen	20	5	3.08	1.000	0.187	1	0.43633333333333335
GO:0071944	cell periphery	29	3	4.46	1.000	0.769	1	0.9356666666666668
GO:0005575	cellular_component	117	18	18	1.000	1.000	1	1
GO:0043226	organelle	76	11	11.69	1.000	0.298	1	0.5215
GO:0043228	non-membrane-bounded organelle	24	3	3.69	1.000	0.164	1	0.43633333333333335
