GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0043229	intracellular organelle	23	7	5.66	0.19	0.32	1	0.902
GO:0005634	nucleus	16	4	3.94	0.49	0.49	1	0.902
GO:0005622	intracellular	30	7	7.38	0.54	0.54	1	0.902
GO:0032991	protein-containing complex	21	4	5.17	0.56	0.77	1	0.902
GO:1902494	catalytic complex	10	2	2.46	0.73	0.73	1	0.902
GO:0016020	membrane	25	6	6.15	0.74	0.74	1	0.902
GO:0110165	cellular anatomical entity	57	15	14.03	0.82	0.35	1	0.902
GO:0043227	membrane-bounded organelle	19	4	4.68	0.96	0.82	1	0.902
GO:0043231	intracellular membrane-bounded organelle	18	4	4.43	0.97	0.72	1	0.902
GO:0005575	cellular_component	65	16	16	1.00	1.00	1	1
GO:0043226	organelle	24	7	5.91	1.00	0.41	1	0.902
