GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005938	cell cortex	20	5	3.82	0.013	0.0132	0.46155555555555555	0.21105000000000002
GO:0005911	cell-cell junction	13	3	2.48	0.016	0.0162	0.46155555555555555	0.21105000000000002
GO:0099568	cytoplasmic region	11	5	2.1	0.023	0.0226	0.46155555555555555	0.21105000000000002
GO:0099512	supramolecular fiber	11	3	2.1	0.040	0.0401	0.46155555555555555	0.23301111111111114
GO:0045177	apical part of cell	15	3	2.86	0.045	0.0448	0.46155555555555555	0.23301111111111114
GO:0005737	cytoplasm	134	27	25.58	0.049	0.0252	0.46155555555555555	0.21105000000000002
GO:0005654	nucleoplasm	23	8	4.39	0.061	0.0609	0.46155555555555555	0.23301111111111114
GO:0030424	axon	19	8	3.63	0.062	0.0626	0.46155555555555555	0.23301111111111114
GO:0098590	plasma membrane region	18	5	3.44	0.062	0.0622	0.46155555555555555	0.23301111111111114
GO:0005856	cytoskeleton	18	5	3.44	0.073	0.0734	0.4891	0.2588315789473684
GO:0150034	distal axon	11	4	2.1	0.109	0.1094	0.6221428571428571	0.33447105263157895
GO:0098793	presynapse	13	5	2.48	0.116	0.1157	0.6221428571428571	0.33447105263157895
GO:0098805	whole membrane	10	1	1.91	0.127	0.1273	0.6221428571428571	0.33447105263157895
GO:1990234	transferase complex	16	5	3.05	0.130	0.1299	0.6221428571428571	0.33447105263157895
GO:0005794	Golgi apparatus	11	5	2.1	0.141	0.1409	0.6297999999999999	0.33447105263157895
GO:0031967	organelle envelope	10	1	1.91	0.152	0.1517	0.6365	0.33447105263157895
GO:0031410	cytoplasmic vesicle	18	2	3.44	0.182	0.1816	0.7035	0.33447105263157895
GO:0030054	cell junction	35	10	6.68	0.194	0.0294	0.7035	0.21886666666666665
GO:0031981	nuclear lumen	36	9	6.87	0.205	0.1744	0.7035	0.33447105263157895
GO:0012505	endomembrane system	32	8	6.11	0.210	0.1878	0.7035	0.33447105263157895
GO:0005694	chromosome	30	8	5.73	0.223	0.0459	0.7114761904761905	0.23301111111111114
GO:0099080	supramolecular complex	15	5	2.86	0.247	0.0490	0.7522272727272727	0.23301111111111114
GO:0000785	chromatin	16	3	3.05	0.272	0.2717	0.7872499999999999	0.413725
GO:1990904	ribonucleoprotein complex	13	4	2.48	0.282	0.2822	0.7872499999999999	0.42016444444444445
GO:0005700	polytene chromosome	17	4	3.25	0.312	0.3119	0.8065769230769231	0.45428913043478264
GO:0031090	organelle membrane	21	4	4.01	0.313	0.2391	0.8065769230769231	0.3725511627906977
GO:0098796	membrane protein complex	13	1	2.48	0.329	0.3286	0.8164074074074075	0.46842978723404255
GO:0120025	plasma membrane bounded cell projection	34	10	6.49	0.373	0.0901	0.8756206896551724	0.301835
GO:0031594	neuromuscular junction	13	2	2.48	0.379	0.3789	0.8756206896551724	0.507726
GO:0070161	anchoring junction	17	5	3.25	0.399	0.0238	0.8796451612903224	0.21105000000000002
GO:0005622	intracellular	175	38	33.41	0.407	0.0046	0.8796451612903224	0.10273333333333333
GO:0009898	cytoplasmic side of plasma membrane	11	3	2.1	0.430	0.4300	0.9003125	0.5468716981132075
GO:0043232	intracellular non-membrane-bounded organelle	52	13	9.93	0.458	0.0042	0.9298787878787879	0.10273333333333333
GO:0032991	protein-containing complex	73	16	13.94	0.488	0.2373	0.9510277777777778	0.3725511627906977
GO:0098588	bounding membrane of organelle	12	3	2.29	0.507	0.5068	0.9510277777777778	0.6063500000000001
GO:0016021	integral component of membrane	50	9	9.55	0.511	0.7236	0.9510277777777778	0.7695428571428572
GO:0031982	vesicle	21	2	4.01	0.543	0.3371	0.9803157894736843	0.47053541666666665
GO:0005634	nucleus	90	19	17.18	0.556	0.2134	0.9803157894736843	0.3487268292682927
GO:0005829	cytosol	57	11	10.88	0.632	0.6318	1	0.7298379310344828
GO:0043005	neuron projection	24	9	4.58	0.634	0.0553	1	0.23301111111111114
GO:0098687	chromosomal region	11	2	2.1	0.650	0.6501	1	0.738249152542373
GO:0005887	integral component of plasma membrane	17	4	3.25	0.673	0.6726	1	0.7387573770491803
GO:0070013	intracellular organelle lumen	38	9	7.25	0.678	0.1423	1	0.33447105263157895
GO:0016020	membrane	96	16	18.33	0.718	0.1999	1	0.3434179487179487
GO:1902494	catalytic complex	29	7	5.54	0.817	0.5063	1	0.6063500000000001
GO:0005576	extracellular region	27	2	5.15	0.817	0.9875	1	1
GO:0043231	intracellular membrane-bounded organelle	121	24	23.1	0.823	0.3495	1	0.4778877551020408
GO:0045202	synapse	22	5	4.2	0.836	0.1683	1	0.33447105263157895
GO:0005886	plasma membrane	64	11	12.22	0.857	0.4814	1	0.5972925925925926
GO:0042995	cell projection	37	10	7.06	0.911	0.1873	1	0.33447105263157895
GO:0031226	intrinsic component of plasma membrane	18	4	3.44	0.921	0.7075	1	0.7645564516129032
GO:0098552	side of membrane	12	3	2.29	0.959	0.5519	1	0.6487245614035088
GO:0071944	cell periphery	68	13	12.98	0.973	0.4326	1	0.5468716981132075
GO:0043233	organelle lumen	38	9	7.25	1.000	0.1423	1	0.33447105263157895
GO:0043226	organelle	138	27	26.35	1.000	0.1697	1	0.33447105263157895
GO:0043227	membrane-bounded organelle	132	25	25.2	1.000	0.2119	1	0.3487268292682927
GO:0005575	cellular_component	220	42	42	1.000	1.0000	1	1
GO:0043228	non-membrane-bounded organelle	52	13	9.93	1.000	0.0042	1	0.10273333333333333
GO:0043229	intracellular organelle	137	27	26.15	1.000	0.1897	1	0.33447105263157895
GO:0005615	extracellular space	20	1	3.82	1.000	1.0000	1	1
GO:0110165	cellular anatomical entity	216	42	41.24	1.000	0.6675	1	0.7387573770491803
GO:0098562	cytoplasmic side of membrane	11	3	2.1	1.000	0.4300	1	0.5468716981132075
GO:0031224	intrinsic component of membrane	51	9	9.74	1.000	0.8069	1	0.8447234374999999
GO:0097708	intracellular vesicle	18	2	3.44	1.000	0.1816	1	0.33447105263157895
GO:0099081	supramolecular polymer	11	3	2.1	1.000	0.0401	1	0.23301111111111114
GO:0031974	membrane-enclosed lumen	38	9	7.25	1.000	0.1423	1	0.33447105263157895
GO:0031975	envelope	10	1	1.91	1.000	0.1517	1	0.33447105263157895
