GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0140096	catalytic activity, acting on a protein	14	4	2.33	0.31	0.31	1	1
GO:0043167	ion binding	11	1	1.83	0.52	0.90	1	1
GO:0005515	protein binding	10	2	1.67	0.65	0.65	1	1
GO:0016787	hydrolase activity	15	2	2.5	0.68	0.68	1	1
GO:0005488	binding	27	5	4.5	0.78	0.88	1	1
GO:0097367	carbohydrate derivative binding	10	2	1.67	0.84	0.84	1	1
GO:0003824	catalytic activity	27	4	4.5	0.86	0.84	1	1
GO:0043168	anion binding	10	1	1.67	0.97	0.97	1	1
GO:0003674	molecular_function	42	7	7	1.00	1.00	1	1
GO:0097159	organic cyclic compound binding	18	3	3	1.00	1.00	1	1
GO:1901363	heterocyclic compound binding	18	3	3	1.00	1.00	1	1
