GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0035639	purine ribonucleoside triphosphate bindi...	23	3	2.69	0.077	0.33	1	1
GO:0032555	purine ribonucleotide binding	24	3	2.81	0.082	0.52	1	1
GO:0140110	transcription regulator activity	14	2	1.64	0.156	0.59	1	1
GO:0016787	hydrolase activity	19	2	2.22	0.169	0.17	1	1
GO:0036094	small molecule binding	25	3	2.93	0.225	0.45	1	1
GO:0016740	transferase activity	21	2	2.46	0.235	0.57	1	1
GO:0005515	protein binding	33	5	3.86	0.264	0.26	1	1
GO:0003824	catalytic activity	45	5	5.27	0.633	0.35	1	1
GO:0003676	nucleic acid binding	17	1	1.99	0.651	0.74	1	1
GO:0046872	metal ion binding	12	1	1.4	0.755	0.76	1	1
GO:0003677	DNA binding	14	1	1.64	0.788	0.79	1	1
GO:0140096	catalytic activity, acting on a protein	26	1	3.04	0.868	0.88	1	1
GO:0005524	ATP binding	16	2	1.87	0.876	0.88	1	1
GO:1901363	heterocyclic compound binding	42	4	4.91	0.930	0.81	1	1
GO:0097159	organic cyclic compound binding	42	4	4.91	0.930	0.81	1	1
GO:0098772	molecular function regulator	19	2	2.22	0.942	0.60	1	1
GO:0004672	protein kinase activity	14	0	1.64	0.942	0.94	1	1
GO:0003700	DNA-binding transcription factor activit...	11	0	1.29	0.975	0.97	1	1
GO:0043168	anion binding	25	3	2.93	0.999	0.45	1	1
GO:0032559	adenyl ribonucleotide binding	17	2	1.99	1.000	0.93	1	1
GO:0000166	nucleotide binding	24	3	2.81	1.000	0.52	1	1
GO:0032553	ribonucleotide binding	24	3	2.81	1.000	0.52	1	1
GO:0016301	kinase activity	14	0	1.64	1.000	0.94	1	1
GO:0097367	carbohydrate derivative binding	24	3	2.81	1.000	0.52	1	1
GO:0005488	binding	71	8	8.31	1.000	0.46	1	1
GO:0043167	ion binding	36	4	4.21	1.000	0.75	1	1
GO:0043169	cation binding	12	1	1.4	1.000	0.76	1	1
GO:0003674	molecular_function	94	11	11	1.000	1.00	1	1
GO:0017076	purine nucleotide binding	24	3	2.81	1.000	0.52	1	1
GO:0030554	adenyl nucleotide binding	17	2	1.99	1.000	0.93	1	1
GO:0016772	transferase activity, transferring phosp...	14	0	1.64	1.000	0.94	1	1
GO:1901265	nucleoside phosphate binding	24	3	2.81	1.000	0.52	1	1
GO:0016773	phosphotransferase activity, alcohol gro...	14	0	1.64	1.000	0.94	1	1
