ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	71,45,46,38	28,15,12,13	40,31,25,41	16,13,9,7	198	144
1	1,0,0,0	6,6,6,2	0,0,0,1	1,3,0,8	124	198
2	44,12,12,27	1,0,0,1	21,11,14,27	0,2,1,0	132	120
3	1,2,4,7	470,262,309,285	5,3,2,7	238,232,305,543	196	196
4	1,1,4,6	8,1,5,5	5,4,2,6	4,4,4,3	196	187
5	308,188,231,139	344,170,253,192	113,185,107,154	131,170,163,183	198	198
6	9,5,11,8	1,0,1,1	11,8,10,14	0,1,0,2	198	198
7	11,6,5,3	203,75,92,100	4,4,3,9	88,93,95,181	194	194
8	11,6,5,3	120,65,65,64	4,4,3,9	67,42,78,112	194	194
9	203,75,92,100	120,65,65,64	88,93,95,181	67,42,78,112	194	194
10	5,1,1,0	48,13,24,21	1,3,0,5	22,22,13,35	198	198
11	26,21,11,14	25,18,16,10	21,14,14,25	21,20,3,58	198	198
12	158,95,133,132	384,179,246,234	107,91,103,113	180,148,177,204	198	198
13	19,10,10,13	13,6,10,3	10,9,8,12	7,11,12,16	142	198
14	2,0,2,0	15,11,15,14	0,0,3,2	10,7,2,18	198	198
15	105,49,73,101	75,35,50,57	46,48,71,66	41,43,35,44	126	198
16	46,12,23,18	98,58,78,44	17,18,25,31	51,53,55,56	148	148
17	46,12,23,18	14,3,13,5	17,18,25,31	2,8,9,10	148	148
18	98,58,78,44	14,3,13,5	51,53,55,56	2,8,9,10	148	148
19	463,271,306,328	526,352,400,442	247,249,325,393	278,222,278,424	138	198
20	14,9,4,6	30,21,21,18	9,11,9,6	13,21,37,21	198	198
21	23,6,10,9	30,21,21,18	5,6,12,4	13,21,37,21	184	198
22	9,2,4,2	30,21,19,19	8,3,5,2	13,20,35,19	151	198
23	23,6,10,9	14,9,4,6	5,6,12,4	9,11,9,6	184	198
24	29,19,12,9	6,9,9,1	11,11,15,7	5,5,2,0	198	139
25	26,9,6,10	6,9,9,1	9,11,8,8	5,5,2,0	170	139
26	199,157,154,110	58,31,51,45	93,95,84,145	21,24,25,50	198	198
27	98,52,55,46	3,3,8,3	40,49,39,56	9,1,1,7	198	198
28	25,6,7,12	3,0,1,1	14,14,8,20	0,1,0,0	198	198
29	9,4,10,8	1,0,1,1	9,11,3,11	0,0,0,1	168	144
30	191,84,107,77	253,156,170,125	74,83,58,93	114,118,125,126	198	198
31	83,35,43,34	134,69,79,113	32,33,23,42	54,66,82,155	198	198
32	1599,768,931,839	134,69,79,113	875,810,692,1366	54,66,82,155	198	198
33	1599,768,931,839	83,35,43,34	875,810,692,1366	32,33,23,42	198	198
34	80,49,59,26	102,47,60,35	50,57,36,85	42,57,44,59	198	198
35	7,5,3,0	1,0,0,0	3,1,3,7	0,0,0,0	155	198
36	4,3,3,0	0,0,1,0	5,9,4,6	0,0,0,1	108	105
37	10,8,5,10	30,8,10,10	6,7,2,7	14,14,13,20	152	155
38	957,466,615,556	1305,642,775,823	562,478,410,846	696,609,576,1134	198	198
39	26,11,15,9	38,14,20,11	17,12,12,20	12,10,16,18	198	198
40	45,20,22,11	26,16,3,12	15,23,19,25	12,12,9,13	198	198
41	12,4,6,2	36,23,27,12	5,9,6,7	18,18,19,37	155	185
42	9,4,5,3	60,41,37,25	3,4,2,9	32,32,32,51	192	198
43	19,4,6,4	18,7,2,1	7,9,7,9	10,5,9,8	198	198
44	18,14,11,7	9,7,3,4	6,15,10,6	1,5,5,5	174	171
45	5,1,3,4	2,2,3,2	2,3,0,1	1,1,5,6	195	183
46	24,18,21,14	6,6,2,2	17,11,12,39	3,3,2,0	182	198
47	21,12,9,7	92,61,40,37	8,6,13,5	45,40,38,46	198	198
48	18,11,12,15	93,61,40,37	6,7,8,9	45,40,37,46	198	198
49	105,50,53,38	46,20,27,26	62,43,51,55	11,36,24,24	179	179
50	0,0,1,0	42,24,45,47	0,0,0,0	28,16,25,31	132	198
51	17,3,1,1	239,120,150,116	1,4,4,6	110,92,128,200	198	153
52	263,129,145,137	47,28,39,34	114,119,91,223	35,16,20,47	198	198
53	31,22,15,8	15,12,7,7	13,12,15,10	7,5,11,6	198	170
54	5,3,3,2	10,4,8,6	1,1,0,2	6,7,6,9	198	198
55	40,32,18,14	69,46,63,44	23,16,25,14	33,37,48,41	198	198
56	51,33,20,22	8,9,8,5	22,35,18,44	5,3,4,12	198	198
57	23,14,7,6	1,1,0,1	9,16,7,21	2,2,3,3	184	183
58	2,1,5,2	5,9,2,7	3,5,4,2	3,6,5,12	165	198
59	734,296,349,334	1254,529,581,598	335,311,363,258	523,576,653,399	198	194
60	33,11,15,8	7,0,4,1	10,14,7,9	6,2,5,2	198	161
61	33,11,15,8	20,6,8,8	10,14,7,9	7,10,5,5	198	182
62	33,3,18,11	8,1,3,1	5,13,6,9	4,0,3,2	198	161
63	47,9,23,18	12,8,1,2	13,18,13,18	2,2,4,6	198	161
64	29,13,7,12	11,7,2,2	12,9,10,18	3,3,7,8	198	161
65	32,3,19,10	8,1,3,1	5,13,6,10	4,0,3,2	198	161
66	41,4,22,11	12,8,1,2	12,15,7,9	2,2,4,6	198	161
67	7,0,4,1	20,6,8,8	6,2,5,2	7,10,5,5	161	182
68	121,58,72,63	51,15,34,18	61,67,93,46	11,17,35,13	198	198
69	267,64,101,77	12,8,12,4	132,111,292,183	5,11,13,16	171	123
70	138,77,68,46	163,111,92,49	46,72,68,36	50,73,83,80	198	198
71	49,43,51,23	6,2,4,2	39,43,42,32	2,4,2,4	198	177
72	128,61,57,34	285,144,147,99	47,60,56,34	112,112,128,149	198	198
73	912,517,601,371	975,616,647,406	597,495,363,702	659,525,408,807	166	198
74	9,4,3,9	27,6,7,6	10,3,7,12	5,13,6,10	186	186
75	12,6,4,13	27,6,7,6	12,10,14,15	5,13,6,10	189	186
76	9,4,3,9	32,10,10,7	10,3,7,12	8,15,7,8	186	189
