ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	16,0,8,3	0,0,0,2	8,10,3,8	0,0,0,1	194	99
1	14,1,6,7	0,0,0,0	4,12,5,5	0,1,0,0	192	99
2	9,2,5,6	2,0,0,0	4,6,1,6	0,0,0,0	198	99
3	19,8,15,3	39,27,27,17	6,12,8,9	14,18,34,26	184	99
7	1,3,0,0	1,0,0,1	0,0,0,0	1,1,1,2	197	99
8	1,3,0,0	1,0,1,0	0,0,0,0	0,1,0,1	180	99
9	0,0,0,1	0,0,0,0	0,0,0,0	0,0,0,1	167	99
11	100,67,62,48	3,6,8,7	45,69,69,49	7,4,5,4	198	99
12	11,4,1,4	0,0,0,0	4,9,4,12	0,0,2,0	157	99
13	20,14,11,11	4,0,0,1	9,3,13,19	0,0,1,7	198	99
14	11,8,8,4	1,0,0,2	4,5,9,16	0,0,2,1	167	99
15	19,7,8,2	3,0,0,0	4,7,9,15	1,1,2,1	164	99
16	15,4,12,6	1,2,0,0	6,11,14,17	2,2,0,0	198	99
17	11,8,8,10	1,0,0,4	7,10,6,15	0,0,1,0	185	99
18	145,82,104,73	6,3,2,4	90,88,72,113	3,3,2,4	177	99
19	4,3,0,0	0,0,0,0	3,1,0,0	1,0,0,0	188	99
20	1,2,1,1	6,0,0,0	1,3,5,2	1,0,0,0	198	99
21	4,2,1,2	1,0,0,0	0,4,3,2	1,0,0,2	198	99
22	8,3,3,2	2,0,0,0	2,2,3,1	1,1,0,0	179	99
23	21,11,10,14	2,3,1,1	8,18,10,18	1,1,0,0	150	99
24	25,15,11,15	4,6,3,10	12,19,11,22	3,5,6,1	165	99
25	181,86,139,110	21,19,15,8	118,114,102,140	16,18,13,11	176	99
26	52,13,16,9	103,46,44,21	14,15,11,11	36,39,40,26	162	99
27	69,21,31,35	1,0,0,0	30,28,24,44	0,1,0,1	198	99
28	55,26,41,19	2,0,0,2	41,31,33,50	0,0,0,1	165	99
29	21,11,13,20	0,0,0,0	15,18,6,30	1,2,0,0	191	99
30	0,1,0,0	1,0,0,0	2,1,1,0	0,1,0,2	198	99
31	12,7,2,4	4,5,4,0	3,6,18,3	0,1,3,2	175	99
32	50,25,26,26	3,2,4,2	19,25,22,28	0,1,1,2	156	99
33	24,23,20,13	0,1,0,0	18,21,20,15	0,0,0,0	162	99
34	94,41,79,72	6,3,6,2	86,54,74,116	4,3,2,6	176	99
35	91,40,73,71	9,5,6,6	83,52,73,111	8,4,3,7	166	99
36	107,56,53,50	4,1,5,1	25,28,42,50	0,1,2,1	198	99
37	10,6,5,5	1,3,4,1	5,4,5,16	2,2,2,1	183	99
38	23,7,17,8	8,2,0,3	3,15,4,25	1,2,0,9	198	99
39	2,4,0,2	2,3,1,1	1,4,7,3	0,3,1,7	198	99
40	38,26,37,26	1,0,2,1	22,20,6,32	2,1,0,0	196	99
42	66,38,42,27	0,0,0,1	26,27,23,48	0,0,0,1	180	99
43	9,3,3,9	0,0,1,0	11,5,8,8	0,0,0,0	198	99
44	72,36,35,18	9,5,4,2	24,42,85,39	2,9,9,2	198	99
45	10,10,6,5	36,20,15,11	6,5,7,8	11,15,12,14	198	99
46	108,63,60,52	6,2,5,0	64,75,25,118	0,1,3,6	163	99
47	3,3,3,2	0,1,0,0	2,4,1,1	0,0,0,0	166	99
48	40,16,35,15	1,1,1,5	21,19,17,29	3,1,1,1	198	99
49	6,4,4,0	0,0,0,0	0,5,2,1	1,0,0,1	198	99
50	12,8,15,10	579,379,414,300	6,14,18,11	300,307,288,482	171	99
51	42,30,24,17	4,1,0,2	11,23,17,17	0,0,1,0	185	99
52	25,18,24,14	2,1,2,0	14,18,21,11	0,0,0,4	198	99
53	35,19,22,12	4,3,3,2	16,12,19,13	0,4,1,0	198	99
54	4,2,2,0	0,0,1,0	3,0,3,1	0,0,0,0	189	99
56	124,50,57,54	9,7,8,3	72,70,61,139	9,6,1,11	195	99
58	84,42,28,28	5,0,1,1	35,35,22,50	0,1,0,0	168	99
59	7,1,1,1	1,1,0,0	1,1,1,0	0,0,0,0	159	99
60	11,3,5,1	2,0,0,0	7,9,8,12	1,0,1,2	198	99
63	7,4,4,3	1,1,1,0	4,9,5,9	1,0,0,1	198	99
64	5,2,4,4	1,0,0,0	6,8,9,12	0,0,1,2	172	99
69	60,43,49,40	8,6,6,1	29,22,36,31	1,3,3,0	161	99
70	224,153,187,181	4,2,0,0	149,158,139,390	0,1,3,2	198	99
71	43,23,23,15	2,2,0,5	21,17,26,17	1,5,1,2	172	99
72	51,24,24,27	9,6,2,3	25,9,18,22	1,4,2,4	198	99
73	13,9,19,2	13,1,6,3	2,3,9,5	5,6,14,12	198	99
74	5,5,11,1	5,2,3,1	5,2,8,5	0,0,1,1	198	99
75	135,78,75,64	6,3,3,1	45,61,48,55	1,2,1,1	198	99
76	3,3,0,2	8,3,8,3	5,2,4,5	7,4,2,12	170	99
77	19,14,16,14	6,0,1,2	13,6,8,4	2,1,1,2	181	99
78	23,10,16,12	4,2,0,1	10,8,9,5	1,1,3,4	198	99
79	15,4,11,3	1,1,0,0	9,2,6,3	0,0,0,1	198	99
80	6,2,1,3	2,0,0,0	0,1,1,1	1,0,1,2	198	99
81	6,1,1,1	0,0,0,1	0,1,1,1	0,0,0,0	159	99
83	11,8,8,7	19,9,14,8	5,6,6,6	4,14,6,6	198	99
84	28,12,19,14	17,5,8,3	14,20,19,15	8,8,6,4	198	99
87	16,6,3,5	1,2,0,1	9,9,4,9	1,1,0,2	195	99
88	1,2,1,0	24,10,18,11	0,3,0,1	16,7,13,16	168	99
89	2,1,3,1	2,2,0,3	0,1,1,3	1,4,1,3	198	99
90	0,0,1,1	1,3,0,1	0,1,2,2	0,0,0,0	177	99
94	39,16,33,18	0,0,0,0	21,19,21,20	1,0,0,1	198	99
95	76,25,47,38	7,1,1,2	38,45,58,39	6,4,2,1	198	99
96	69,36,54,29	3,1,1,0	24,40,30,51	0,0,0,2	174	99
97	46,31,32,30	2,0,0,0	36,28,22,26	0,0,0,1	156	99
98	46,31,32,30	2,0,0,1	36,28,22,26	1,0,0,1	159	99
99	2,3,0,1	0,0,0,0	0,1,3,4	1,0,0,0	198	99
100	3,2,1,1	0,1,0,0	2,0,2,0	0,0,0,0	180	99
101	4,4,1,2	1,0,0,0	2,0,2,0	0,0,0,0	198	99
102	9,7,2,1	5,0,1,1	1,0,2,2	0,0,0,1	198	99
103	5,0,2,5	0,0,0,0	4,1,2,3	0,1,0,0	177	99
104	3,4,3,2	8,4,7,5	0,1,2,2	4,6,2,4	173	99
105	3,1,0,2	1,1,0,0	2,1,1,0	0,0,0,0	174	99
106	83,68,49,37	4,1,1,0	31,63,37,52	0,0,1,5	198	99
107	0,0,2,0	1,1,1,0	0,0,2,4	3,0,1,1	159	99
109	64,27,34,24	27,15,12,19	28,31,37,26	11,13,12,8	198	99
111	16,11,15,5	0,0,1,0	8,12,8,9	0,0,1,0	198	99
112	2,1,1,1	0,0,0,0	3,3,2,1	0,0,0,1	198	99
113	3,4,0,1	0,0,0,0	0,3,0,4	0,0,1,1	198	99
114	2,0,0,0	0,0,1,0	1,1,0,2	1,1,0,0	148	99
115	3,4,0,1	0,0,0,0	0,3,0,4	1,0,0,0	198	99
117	0,1,2,1	1,0,1,0	0,0,1,1	1,0,0,0	198	99
119	19,6,9,10	0,0,2,0	5,7,9,7	0,2,0,0	198	99
120	4,2,2,6	0,2,0,0	1,8,7,4	0,0,1,1	161	99
121	18,22,19,11	9,1,2,4	15,9,16,16	2,4,5,7	198	99
122	30,27,32,15	4,2,0,0	16,16,19,28	0,1,0,0	198	99
123	7,0,0,2	5,0,5,2	0,1,2,3	1,2,1,9	198	99
124	5,1,1,1	25,12,9,9	4,2,1,3	5,8,7,14	183	99
126	1,0,0,0	0,0,0,0	0,3,1,0	0,0,1,0	198	99
127	2,1,3,2	1,0,0,0	2,1,1,2	0,0,0,0	198	99
129	2,0,0,1	0,1,0,0	1,0,0,0	0,0,0,0	198	99
130	6,6,9,7	0,1,1,1	3,5,5,3	0,0,1,1	198	99
131	7,6,7,7	6,3,2,5	2,4,5,4	3,5,1,3	198	99
133	79,40,37,22	2,1,0,0	35,32,33,31	0,3,3,3	184	99
134	52,33,30,19	1,1,0,1	17,18,17,29	1,0,1,0	180	99
135	48,41,26,22	13,2,4,2	19,18,23,29	1,1,2,6	198	99
136	69,21,36,20	4,2,2,2	45,20,14,42	0,2,1,3	187	99
