ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	14,12,3,5	2,0,1,0	2,11,6,9	0,0,0,0	317	99
4	52,28,24,19	26,19,17,11	17,14,23,20	13,19,16,25	213	99
5	23,9,17,7	1,0,0,0	10,10,18,14	1,0,0,2	555	99
6	7,0,3,2	1,0,0,0	3,2,0,2	0,0,0,0	134	99
7	9,0,4,2	0,0,0,0	3,1,0,2	1,3,0,0	134	99
8	57,37,63,45	6,5,3,3	33,49,54,49	6,7,2,5	192	99
9	144,50,76,63	91,40,52,37	50,58,63,61	35,31,44,45	117	99
10	13,7,8,4	2,1,0,1	3,1,2,9	1,0,1,2	167	99
11	5,4,6,3	30,11,6,10	1,5,4,4	6,7,7,19	117	99
12	1,4,5,0	0,0,0,1	1,1,2,5	1,0,0,2	168	99
13	30,16,13,14	13,1,5,9	15,23,15,42	7,3,3,12	225	99
14	64,28,34,24	1,0,1,0	43,27,30,71	0,0,0,2	204	99
15	8,6,4,2	8,0,1,4	8,0,3,4	3,7,2,5	246	99
16	2,3,5,2	1,0,0,0	2,2,1,2	1,0,0,0	138	99
17	46,15,32,25	2,0,0,0	25,17,29,18	0,0,0,0	177	99
19	33,12,18,5	0,2,1,1	14,11,12,19	3,1,2,0	124	99
20	0,1,1,1	8,1,2,2	0,0,0,2	0,3,5,4	120	99
21	0,0,0,0	16,10,2,8	0,0,1,1	1,7,13,8	106	99
22	4,1,6,1	11,2,1,11	0,1,9,5	1,1,12,1	209	99
24	8,4,6,3	2,1,1,1	5,4,6,2	6,2,4,4	168	99
25	77,35,38,21	0,0,0,0	39,29,22,27	0,0,1,0	325	99
26	12,6,12,7	6,3,6,2	11,6,4,12	4,3,2,6	109	99
27	18,7,8,9	5,2,3,6	11,4,6,12	3,4,3,0	105	99
28	8,3,1,5	3,0,1,2	0,2,3,5	1,1,1,0	105	99
29	7,2,2,2	3,0,1,0	1,3,1,0	0,1,1,3	196	99
30	6,3,3,1	3,0,2,1	2,3,1,2	0,0,1,0	196	99
31	6,0,0,1	21,12,18,10	1,0,0,1	5,11,9,11	105	99
33	2,0,1,1	153,85,103,83	1,2,1,3	79,91,88,108	103	99
34	0,0,0,0	1,1,1,1	0,0,1,0	0,2,1,1	107	99
35	5,2,2,3	84,51,50,38	3,2,2,4	35,47,23,45	108	99
36	44,35,46,33	2,1,0,0	26,27,13,39	1,0,0,0	251	99
38	32,10,13,11	0,4,1,0	11,8,9,21	1,0,0,1	231	99
39	48,26,35,26	30,15,17,26	28,21,25,39	14,15,8,15	108	99
40	10,7,0,8	4,3,1,0	4,0,0,8	2,1,0,0	135	99
41	1,0,2,0	3,0,0,0	0,0,1,0	1,0,1,2	121	99
42	1,0,2,0	2,0,0,0	0,0,1,0	0,0,1,0	125	99
43	3,0,0,0	2,0,0,0	1,0,1,2	0,0,1,0	103	99
44	54,27,35,38	0,1,0,0	25,41,17,34	0,0,0,0	334	99
45	54,28,34,30	0,0,0,0	21,38,16,28	0,1,0,0	334	99
46	9,2,0,0	50,41,40,25	1,3,2,1	25,33,21,39	106	99
47	24,11,9,5	4,3,1,0	10,9,5,7	3,4,3,1	120	99
48	65,50,49,30	4,3,1,0	34,39,24,45	3,4,3,1	113	99
49	233,128,141,118	1,1,0,0	98,103,98,95	1,2,1,0	1152	99
50	0,0,0,0	1,0,0,0	0,1,2,0	0,1,0,0	174	99
51	74,42,48,30	33,14,31,21	24,47,38,37	15,27,17,32	132	99
52	17,21,17,9	6,7,5,6	7,18,17,20	5,8,6,5	341	99
53	17,21,19,10	6,7,5,6	6,15,15,21	5,8,6,5	345	99
54	4,2,5,2	4,2,3,1	1,3,0,3	2,6,2,2	103	99
55	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,1	111	99
56	2,2,3,2	6,4,4,4	2,1,1,1	5,3,4,3	130	99
57	4,0,0,2	7,4,1,0	0,0,0,2	0,2,9,1	249	99
58	1,0,0,0	0,0,1,0	0,0,0,2	0,1,0,1	102	99
59	0,1,0,0	0,0,0,0	0,0,0,0	0,2,0,0	102	99
60	3,2,0,2	3,1,1,2	0,0,1,3	4,3,3,4	126	99
61	410,250,270,187	0,0,0,1	186,218,177,301	0,0,1,2	1365	99
62	400,244,264,179	2,0,0,0	185,214,174,294	0,0,0,1	1365	99
63	6,2,1,1	0,0,1,0	1,3,1,3	1,0,0,0	129	99
64	15,6,3,2	1,1,1,0	7,12,9,17	1,0,0,1	486	99
65	5,1,1,4	0,1,4,0	1,3,6,6	0,1,0,2	138	99
66	16,9,9,9	0,0,2,1	7,12,5,2	0,0,0,0	155	99
67	6,4,1,0	2,1,3,1	3,1,8,1	1,2,3,2	141	99
68	23,8,12,17	2,0,0,1	10,11,13,16	2,1,0,0	219	99
69	77,45,52,44	24,8,8,10	38,39,42,52	16,7,5,13	111	99
70	4,1,1,3	3,0,0,1	0,1,1,3	2,1,4,0	131	99
71	271,148,166,135	36,24,18,19	121,131,124,130	9,14,11,18	117	99
73	3,0,1,2	50,37,35,24	1,2,2,5	25,25,25,37	104	99
74	77,29,36,36	42,21,22,21	22,42,38,28	16,32,34,27	142	99
75	22,8,14,15	45,21,24,26	17,15,15,15	20,27,20,32	130	99
76	14,1,4,2	4,2,0,1	2,4,3,3	1,1,3,4	141	99
77	7,2,0,3	1,0,0,2	7,1,4,3	0,0,0,0	117	99
78	6,3,2,2	0,1,1,1	1,1,2,1	0,0,0,2	135	99
80	19,4,18,6	2,1,0,0	11,11,10,6	1,2,0,0	349	99
81	5,3,1,3	2,7,3,4	5,2,4,2	3,1,3,7	135	99
82	7,3,0,3	3,0,2,2	2,3,3,3	0,1,1,0	102	99
83	7,11,9,6	12,3,2,2	6,10,8,9	4,2,2,7	111	99
84	56,34,25,26	0,1,0,0	30,36,37,58	2,5,1,4	121	99
85	1,1,1,0	1,0,1,0	0,3,4,2	0,0,0,1	111	99
86	37,18,9,9	3,3,1,0	13,6,10,28	0,2,1,3	102	99
87	1,1,0,0	1,0,0,0	2,4,1,0	0,0,0,0	253	99
88	116,62,49,49	3,2,5,2	56,55,68,74	6,2,3,3	558	99
89	21,11,7,10	1,0,0,1	10,0,5,16	0,0,0,0	301	99
90	12,0,12,12	3,6,1,4	7,12,22,17	6,6,6,4	211	99
91	88,30,61,51	4,2,1,2	47,52,69,49	2,0,2,2	314	99
92	13,0,13,13	14,6,6,8	9,12,25,19	6,8,20,9	211	99
93	81,27,55,50	0,0,0,1	43,52,64,48	0,0,0,0	314	99
94	92,30,56,52	0,0,0,1	46,56,65,48	0,0,0,0	314	99
95	14,11,5,7	28,7,16,10	7,9,5,5	6,11,7,12	103	99
96	42,33,19,21	0,2,1,1	8,22,11,14	0,0,3,1	126	99
97	2,1,0,0	20,7,15,9	1,1,0,1	10,9,20,17	108	99
98	5,5,2,3	0,0,1,1	3,0,4,0	0,0,0,0	389	99
99	4,3,0,4	14,4,4,1	3,3,2,0	5,4,3,2	152	99
100	11,1,4,0	172,62,62,32	5,7,5,5	40,93,53,43	152	99
101	1,1,0,6	11,6,7,7	2,2,0,2	7,3,3,11	105	99
102	92,49,54,40	0,0,0,0	62,44,85,83	2,2,5,1	144	99
104	5,4,4,2	11,7,6,4	4,7,2,3	6,5,8,12	126	99
105	0,1,2,1	9,2,5,6	1,0,0,0	7,4,8,14	103	99
107	7,3,0,2	5,1,3,1	2,1,2,0	0,2,3,5	269	99
110	3,0,0,0	13,5,9,6	2,0,0,2	8,11,11,5	103	99
111	21,7,14,12	1,0,1,1	6,12,5,12	1,0,1,1	132	99
112	40,25,25,21	1,0,0,0	15,19,15,20	0,0,0,0	121	99
