ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	91,57,57,46	28,15,12,13	51,39,35,50	16,13,9,7	225	144
1	1,0,0,0	11,10,9,4	0,0,0,1	4,5,3,16	124	254
2	44,12,12,27	1,0,0,1	21,11,14,27	0,2,1,0	132	120
3	1,2,4,7	470,262,309,285	5,3,2,7	238,232,305,543	196	196
4	1,1,4,6	8,1,5,5	5,4,2,6	4,4,4,3	196	187
5	308,188,231,139	344,170,254,193	113,185,107,154	131,172,163,183	198	201
6	23,9,18,13	94,31,27,23	26,17,22,34	37,32,39,64	330	2202
7	11,6,5,3	203,75,92,100	4,4,3,9	88,93,95,181	194	194
8	11,6,5,3	120,65,65,64	4,4,3,9	67,42,78,112	194	194
9	203,75,92,100	120,65,65,64	88,93,95,181	67,42,78,112	194	194
10	6,1,2,0	60,18,33,23	2,3,0,5	30,26,18,45	279	270
11	26,21,11,15	259,145,144,203	21,14,14,25	199,188,110,487	204	999
12	631,370,423,428	1455,754,886,867	342,330,326,412	662,574,718,764	378	511
13	19,10,10,13	40,19,19,17	10,9,8,12	24,31,26,31	142	294
14	3,0,2,0	16,11,16,15	0,0,3,3	11,8,5,18	210	216
15	105,49,73,101	195,104,122,136	46,48,71,66	126,121,91,131	126	340
16	46,12,23,18	98,58,78,44	17,18,25,31	51,53,55,56	148	148
17	46,12,23,18	14,3,13,5	17,18,25,31	2,8,9,10	148	148
18	98,58,78,44	14,3,13,5	51,53,55,56	2,8,9,10	148	148
19	463,271,306,328	1271,777,938,1039	247,249,325,393	706,510,680,1034	138	324
20	62,31,44,46	31,21,22,20	47,53,59,30	13,21,38,22	322	203
21	23,6,10,9	31,21,22,20	5,6,12,4	13,21,38,22	184	203
22	9,2,4,2	31,21,20,21	8,3,5,2	13,20,36,20	151	203
23	23,6,10,9	62,31,44,46	5,6,12,4	47,53,59,30	184	322
24	33,25,14,12	6,9,9,1	13,13,19,9	5,5,2,0	234	139
25	26,9,6,10	6,9,9,1	9,11,8,8	5,5,2,0	170	139
26	245,186,185,127	72,38,66,53	105,109,96,165	29,29,29,59	219	222
27	103,52,55,47	3,5,8,3	41,53,41,57	10,2,1,7	210	204
28	32,11,9,15	3,0,1,1	17,15,12,24	1,2,0,0	230	275
29	9,4,10,8	1,0,1,1	9,11,3,11	0,0,0,1	168	144
30	292,149,165,111	814,456,473,329	111,133,105,143	379,369,369,387	230	351
31	107,55,55,57	182,85,98,135	44,45,37,61	75,87,111,217	263	263
32	2071,1013,1197,1088	182,85,98,135	1158,1008,908,1798	75,87,111,217	263	263
33	2071,1013,1197,1088	107,55,55,57	1158,1008,908,1798	44,45,37,61	263	263
34	106,64,76,35	122,61,72,38	64,74,44,103	49,66,55,81	235	235
35	7,5,3,0	12,3,0,2	3,1,3,7	1,2,8,9	155	1110
36	4,3,3,0	0,0,1,0	5,9,4,6	0,0,0,1	108	105
37	10,8,5,10	30,8,10,10	6,7,2,7	14,14,13,20	152	155
38	2254,980,1219,1153	1524,761,927,969	1238,1101,949,1648	842,734,685,1359	336	215
39	1003,513,471,401	79,30,40,26	501,542,502,784	25,25,32,39	3007	289
40	86,36,42,26	30,21,5,16	28,38,35,46	14,12,10,17	289	213
41	12,4,6,2	36,23,27,12	5,9,6,7	18,18,19,37	155	185
42	9,4,5,3	281,138,138,118	3,4,2,9	133,120,120,198	192	561
43	50,13,13,11	26,13,11,6	24,21,21,25	16,11,21,11	370	300
44	18,14,11,7	9,7,3,4	6,15,10,6	1,5,5,5	174	171
45	5,1,3,4	2,2,3,2	2,3,0,1	1,1,5,6	195	183
46	24,18,21,14	1141,702,704,570	17,11,12,39	560,607,681,699	182	733
47	267,109,125,90	190,107,87,84	78,108,135,108	97,86,72,97	522	322
48	264,108,128,98	191,107,87,84	76,109,130,112	97,86,71,97	522	322
49	105,50,53,38	46,20,27,26	62,43,51,55	11,36,24,24	179	179
50	0,0,1,0	121,55,132,110	0,0,0,0	55,48,70,79	132	505
51	19,4,5,3	239,120,150,116	3,6,5,8	110,92,128,200	246	153
52	341,180,195,195	79,49,63,63	164,153,119,301	63,32,43,85	262	325
53	97,66,46,35	15,12,7,7	38,41,51,29	7,5,11,6	427	170
54	5,4,3,2	14,6,10,11	1,1,0,2	6,9,7,10	321	237
55	50,42,22,23	98,64,77,55	29,23,33,18	35,52,63,57	261	255
56	90,48,31,48	15,13,13,10	43,58,28,75	12,6,7,27	332	332
57	23,14,7,6	1,1,0,1	9,16,7,21	2,2,3,3	184	183
58	2,1,5,2	5,11,2,7	3,5,4,2	4,6,6,14	165	377
59	1650,664,804,780	1256,529,581,598	776,730,812,540	523,576,653,399	274	194
60	53,18,20,17	7,0,4,1	16,20,12,18	6,2,5,2	238	161
61	53,18,20,17	20,6,8,8	16,20,12,18	7,10,5,5	238	182
62	61,13,28,22	8,1,3,1	10,19,13,24	4,0,3,2	269	161
63	75,19,33,29	12,8,1,2	18,24,20,33	2,2,4,6	269	161
64	57,23,17,23	11,7,2,2	17,15,17,33	3,3,7,8	269	161
65	53,12,27,20	8,1,3,1	8,19,10,22	4,0,3,2	251	161
