ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	20,4,6,15	1,0,0,0	12,11,6,15	0,0,0,0	282	99
1	31,13,13,23	1,0,0,0	18,25,7,29	0,0,0,0	360	99
2	7,5,8,5	1,0,2,0	7,7,9,6	0,0,0,1	178	99
3	203,166,161,113	1,0,1,0	98,96,120,103	0,1,0,0	233	99
4	81,42,42,24	0,1,1,0	50,48,20,41	0,0,0,0	352	99
5	1,0,3,0	2,2,3,5	2,0,0,1	1,2,0,5	219	99
6	75,34,48,30	1,0,0,0	30,50,25,30	0,0,0,0	190	99
7	115,82,77,61	38,17,17,19	42,70,70,68	10,21,9,12	220	99
10	132,77,69,59	0,0,0,0	67,97,69,88	2,0,0,0	327	99
11	72,26,39,29	0,0,0,0	45,45,22,92	1,0,0,1	339	99
12	163,79,93,71	1,0,0,0	68,99,75,160	0,0,0,0	254	99
13	167,83,88,96	0,0,0,0	83,95,64,167	0,2,1,1	261	99
14	2,2,0,1	0,1,0,0	1,2,6,0	0,0,1,0	195	99
16	0,0,2,1	0,0,0,0	2,0,0,1	0,0,0,1	166	99
17	318,156,168,104	1,0,0,0	157,197,142,165	0,0,1,0	317	99
18	240,120,96,71	0,0,1,0	66,96,79,84	0,0,0,0	222	99
20	13,6,9,8	2,0,0,0	12,15,9,12	0,1,0,0	208	99
21	15,8,10,9	43,32,30,24	13,19,10,14	26,29,25,32	208	99
22	18,7,4,17	1,0,0,0	7,7,5,16	0,0,0,0	347	99
23	19,7,2,14	3,2,1,1	6,7,4,12	1,4,1,2	347	99
25	16,8,7,3	1,0,0,0	1,4,4,5	1,0,0,0	126	99
26	5,6,2,1	10,7,2,1	2,2,1,1	1,4,2,5	237	99
27	12,9,3,1	10,7,2,1	4,4,1,1	1,4,2,5	225	99
28	2,3,1,1	8,7,5,4	0,2,4,7	4,7,6,6	243	99
29	1,1,2,0	1,2,2,1	0,2,0,0	0,0,0,3	153	99
30	2,1,0,1	0,1,0,0	1,2,0,0	0,0,0,0	153	99
31	4,5,2,1	9,8,4,3	1,1,3,6	2,4,6,0	168	99
32	2,3,0,0	9,8,4,3	1,0,2,1	2,4,6,0	147	99
33	13,9,6,4	0,1,1,0	6,8,8,3	0,1,0,1	189	99
34	10,4,3,5	5,2,3,2	6,6,9,3	4,5,3,4	162	99
35	2,0,0,0	2,1,0,0	0,1,0,0	1,0,1,2	152	99
36	17,10,9,5	2,1,0,0	3,12,6,11	1,0,1,2	206	99
37	281,140,157,127	1,2,4,0	134,145,114,155	0,0,3,0	638	99
38	268,137,145,128	1,2,4,0	130,139,116,155	0,0,3,0	632	99
39	1,0,2,0	7,6,4,3	0,0,0,3	7,4,2,8	209	99
40	0,0,0,0	7,6,4,3	1,0,0,2	7,4,2,8	144	99
41	7,7,7,2	6,3,1,1	3,6,2,10	2,0,0,3	231	99
42	17,3,8,5	0,0,1,0	7,10,5,8	0,0,0,0	166	99
43	7,4,2,4	1,0,1,0	4,3,2,5	0,0,0,2	166	99
44	14,6,9,5	0,0,1,0	5,3,3,10	0,0,0,0	234	99
45	15,6,9,5	1,0,1,0	5,3,3,10	0,0,0,2	234	99
46	38,39,32,16	1,0,0,0	30,28,30,26	0,0,0,0	397	99
47	106,45,65,35	0,0,0,1	42,43,39,41	0,0,0,0	212	99
48	1,0,0,0	0,0,0,0	1,0,0,2	1,2,0,1	110	99
49	5,3,2,4	0,0,0,0	3,2,1,7	1,2,0,1	167	99
50	8,3,3,3	0,0,0,0	6,1,4,6	1,2,0,1	170	99
51	50,21,44,22	15,9,10,12	25,25,28,14	5,7,5,3	172	99
52	282,180,160,138	0,0,0,0	97,116,122,147	0,0,0,1	692	99
53	58,29,26,15	1,0,0,0	21,22,19,26	0,0,0,0	147	99
54	58,26,19,14	10,1,4,3	13,16,17,33	1,1,7,4	147	99
56	65,33,39,20	13,5,6,5	26,26,24,26	5,2,2,9	144	99
57	28,15,12,13	0,0,0,1	16,13,9,7	2,0,2,2	144	99
58	91,57,57,46	0,0,0,1	51,39,35,50	2,0,2,2	225	99
59	122,72,82,51	7,2,4,3	62,53,50,61	6,3,2,1	225	99
60	749,364,444,348	1,1,2,1	426,357,343,551	0,0,1,1	513	99
61	92,63,67,39	4,2,1,0	60,63,48,71	1,1,0,2	180	99
62	0,0,0,0	4,2,0,4	2,0,3,0	1,1,3,1	634	99
63	24,16,21,9	1,0,0,0	11,20,15,13	0,0,0,0	194	99
64	59,33,51,28	0,0,0,0	48,36,35,85	0,1,0,0	204	99
65	16,6,5,9	0,1,0,1	4,5,5,17	0,0,0,0	133	99
66	29,6,25,15	0,0,0,0	18,10,12,33	0,1,0,0	249	99
68	0,0,0,1	0,1,0,0	1,0,0,1	0,0,0,0	153	99
70	0,1,1,0	3,3,4,4	0,0,2,0	1,3,2,7	153	99
71	0,2,1,0	1,1,0,1	0,0,0,0	0,0,0,1	153	99
73	15,5,5,3	0,0,0,0	4,12,4,16	0,0,0,1	456	99
74	19,7,3,14	1,0,0,1	10,4,2,7	0,2,1,0	132	99
75	44,12,12,27	6,3,6,7	21,11,14,27	7,7,3,11	132	99
76	1,0,0,1	6,3,6,7	0,2,1,0	7,7,3,11	120	99
77	2,2,1,3	27,7,10,16	1,1,0,2	12,8,12,22	120	99
78	73,39,54,28	0,1,0,0	23,27,29,47	0,0,0,3	760	99
79	82,48,46,33	0,1,0,0	41,30,45,89	0,0,0,1	164	99
80	280,131,177,142	2,0,0,5	139,119,146,224	0,4,1,2	289	99
82	2105,1217,1563,1454	2,0,1,0	1314,875,1619,2258	1,1,0,7	262	99
83	2,1,5,7	245,133,159,141	6,3,2,6	126,119,154,286	196	99
84	3,2,5,10	2,0,3,1	6,5,6,7	1,2,0,0	196	99
85	226,129,151,145	0,1,0,1	113,114,151,257	0,0,0,1	196	99
86	2,2,1,1	2,1,1,4	2,0,1,2	1,2,4,1	184	99
87	170,98,95,106	0,0,0,0	90,62,94,180	0,1,0,0	184	99
88	8,2,3,8	0,0,0,0	4,4,8,4	0,1,0,0	187	99
89	8,2,3,4	203,116,124,125	5,2,5,4	101,80,111,210	187	99
90	426,228,258,207	0,0,0,0	219,171,117,436	1,0,0,0	469	99
91	124,86,46,32	0,0,1,0	40,54,66,32	0,0,0,0	743	99
92	39,20,14,2	0,0,2,0	8,14,14,7	0,0,0,0	181	99
93	253,139,133,142	0,0,0,0	117,126,155,122	0,0,1,0	349	99
95	930,596,643,680	34,29,28,26	508,429,418,990	27,28,24,43	393	99
