GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0009605	response to external stimulus	174	33	30.75	0.025	0.62	0.5750000000000001	0.89125
GO:0050896	response to stimulus	202	39	35.7	0.062	0.38	0.713	0.8739999999999999
GO:0071704	organic substance metabolic process	180	32	31.81	0.213	0.17	1	0.8739999999999999
GO:0050794	regulation of cellular process	180	34	31.81	0.265	0.27	1	0.8739999999999999
GO:0044237	cellular metabolic process	173	32	30.57	0.279	0.28	1	0.8739999999999999
GO:0043170	macromolecule metabolic process	155	27	27.39	0.312	0.31	1	0.8739999999999999
GO:0006807	nitrogen compound metabolic process	154	28	27.22	0.371	0.37	1	0.8739999999999999
GO:0065007	biological regulation	194	38	34.28	0.402	0.23	1	0.8739999999999999
GO:0009987	cellular process	222	40	39.23	0.464	0.28	1	0.8739999999999999
GO:0007275	multicellular organism development	157	28	27.75	0.514	0.51	1	0.89125
GO:0050789	regulation of biological process	189	36	33.4	0.572	0.25	1	0.8739999999999999
GO:0044238	primary metabolic process	160	28	28.28	0.608	0.61	1	0.89125
GO:0008152	metabolic process	189	33	33.4	0.686	0.29	1	0.8739999999999999
GO:0006950	response to stress	164	27	28.98	0.705	0.71	1	0.9327777777777777
GO:0002376	immune system process	168	30	29.69	0.732	0.73	1	0.9327777777777777
GO:0032501	multicellular organismal process	171	29	30.22	0.741	0.49	1	0.89125
GO:0032502	developmental process	170	29	30.04	0.747	0.60	1	0.89125
GO:0051707	response to other organism	155	28	27.39	0.896	0.90	1	0.9409090909090909
GO:0048856	anatomical structure development	168	29	29.69	0.916	0.54	1	0.89125
GO:0044419	interspecies interaction between organisms	155	28	27.39	1.000	0.90	1	0.9409090909090909
GO:0043207	response to external biotic stimulus	155	28	27.39	1.000	0.90	1	0.9409090909090909
GO:0009607	response to biotic stimulus	155	28	27.39	1.000	0.90	1	0.9409090909090909
GO:0008150	biological_process	232	41	41	1.000	1.00	1	1
