GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005737	cytoplasm	30	4	2.61	0.018	0.0098	0.252	0.1372
GO:0043231	intracellular membrane-bounded organelle	21	2	1.83	0.138	0.2362	0.9660000000000001	0.712
GO:0005829	cytosol	14	3	1.22	0.322	0.3224	1	0.712
GO:0016020	membrane	15	0	1.3	0.410	0.6159	1	1
GO:0043229	intracellular organelle	22	2	1.91	0.763	0.3560	1	0.712
GO:0005634	nucleus	12	1	1.04	0.798	0.7981	1	1
GO:0016021	integral component of membrane	11	0	0.96	0.850	0.8495	1	1
GO:0005576	extracellular region	12	0	1.04	0.930	0.9305	1	1
GO:0005622	intracellular	33	4	2.87	1.000	0.0361	1	0.2527
GO:0110165	cellular anatomical entity	46	4	4	1.000	1.0000	1	1
GO:0031224	intrinsic component of membrane	11	0	0.96	1.000	0.8495	1	1
GO:0005575	cellular_component	46	4	4	1.000	1.0000	1	1
GO:0043226	organelle	22	2	1.91	1.000	0.3560	1	0.712
GO:0043227	membrane-bounded organelle	21	2	1.83	1.000	0.2362	1	0.712
