ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	8,3,2,1	27,5,11,12	15,4,3,5	25,19,21,8	108	99
1	1,0,1,0	1,0,0,1	1,2,0,1	1,0,1,2	116	99
2	31,21,13,20	2,0,4,0	50,18,23,22	4,0,1,1	102	99
3	46,30,21,14	0,0,0,0	51,22,36,20	2,1,0,1	138	99
4	111,77,73,60	0,0,0,0	128,60,56,59	0,0,1,0	198	99
5	157,83,89,88	9,7,5,7	126,92,88,120	7,5,10,17	141	99
6	22,8,21,16	8,5,3,6	29,11,28,25	6,3,8,6	102	99
7	0,2,0,0	1,0,0,1	0,0,0,0	2,0,0,0	102	99
8	0,6,1,2	5,2,0,0	3,0,2,3	0,8,0,5	151	99
9	1,4,1,3	5,2,0,0	5,0,2,3	0,8,0,5	148	99
11	28,17,16,17	0,1,0,0	26,30,20,30	0,2,0,1	198	99
12	23,14,12,14	2,0,0,0	18,18,17,23	1,0,1,0	198	99
13	1,2,1,1	2,0,0,0	1,2,1,1	1,0,1,0	141	99
14	4,0,1,1	34,20,13,16	4,5,5,2	21,22,23,18	108	99
15	6,1,3,1	34,20,13,16	4,3,5,3	21,22,23,18	166	99
16	4,1,3,1	2,0,1,1	3,1,3,3	3,3,3,2	157	99
17	9,1,0,1	1,0,0,0	5,4,5,0	0,1,0,0	198	99
18	63,40,34,23	7,3,2,0	85,28,40,47	1,1,3,0	198	99
19	6,7,2,2	4,6,3,10	3,2,1,3	3,3,1,6	114	99
20	231,147,157,119	0,0,0,0	211,131,112,156	0,1,1,0	198	99
21	88,66,46,28	46,29,38,26	54,35,44,57	55,35,17,32	166	99
22	239,156,170,114	11,10,18,3	212,135,110,162	17,3,5,7	198	99
23	246,160,165,122	112,73,67,40	217,136,118,169	127,52,58,84	198	99
24	294,172,188,131	3,4,1,3	270,159,145,203	14,12,5,4	198	99
25	269,172,200,137	11,10,18,3	261,165,121,181	17,3,5,7	198	99
26	276,176,195,145	112,73,67,40	266,166,129,188	127,52,58,84	198	99
27	324,188,218,154	3,4,1,3	319,189,156,222	14,12,5,4	198	99
28	27,21,22,15	112,73,67,40	26,8,16,17	127,52,58,84	102	99
29	118,61,81,48	3,4,1,3	125,60,68,86	14,12,5,4	127	99
30	203,113,126,73	3,4,1,3	226,104,110,153	14,12,5,4	124	99
31	28,21,14,21	22,14,8,8	41,19,23,29	13,17,9,17	111	99
32	27,21,16,7	9,4,14,8	25,7,17,20	14,11,1,10	114	99
34	107,57,53,42	1,0,3,2	102,60,57,51	1,0,0,1	198	99
35	1,0,0,0	9,7,3,3	1,0,0,0	15,8,5,6	111	99
36	0,0,0,0	7,3,1,0	1,0,0,1	1,2,5,3	111	99
37	2,3,2,1	0,1,0,0	4,0,1,1	0,0,0,0	120	99
38	1,1,2,0	1,0,0,1	3,0,3,3	1,0,1,0	120	99
39	23,12,19,7	10,9,7,8	22,9,14,16	10,9,7,13	105	99
40	27,18,19,7	0,0,1,0	35,16,19,27	0,0,0,0	168	99
41	53,36,34,21	6,8,6,5	72,30,43,39	5,5,3,3	168	99
44	15,4,6,0	4,2,1,2	10,4,5,9	5,2,1,3	111	99
47	3,1,1,1	0,1,0,2	7,2,2,3	2,1,3,2	102	99
48	16,11,10,8	30,22,14,12	18,9,12,12	37,26,10,34	102	99
49	4,2,5,5	4,0,1,0	5,5,8,16	0,0,0,1	103	99
50	131,85,96,61	1326,676,808,818	117,66,75,95	1216,644,741,926	117	99
51	2,6,4,1	16,13,17,5	12,5,3,5	40,10,8,16	144	99
52	0,1,3,0	5,9,8,5	2,5,0,1	34,13,10,6	108	99
53	3,1,0,1	2,3,2,4	2,2,3,5	6,2,2,2	111	99
54	3,1,1,0	2,3,2,4	5,2,0,3	6,2,2,2	114	99
55	2,1,1,0	2,1,0,1	5,1,0,3	2,1,3,5	102	99
56	0,0,0,0	4,1,6,4	0,0,2,2	1,3,1,1	114	99
57	61,36,45,22	72,41,38,46	65,43,32,49	61,36,39,53	102	99
58	6,3,5,6	37,18,22,29	15,4,10,8	45,28,17,32	114	99
59	7,1,8,2	3,1,1,1	10,5,22,8	3,3,7,4	102	99
60	9,4,5,5	3,6,4,0	10,3,5,6	4,1,1,3	125	99
61	6,4,4,4	4,2,1,4	6,3,3,5	1,0,2,2	125	99
62	6,4,4,3	1,0,0,0	6,4,3,5	0,0,0,0	125	99
63	12,3,6,5	4,0,2,1	5,5,8,6	3,1,0,3	102	99
64	6,2,4,3	2,0,0,0	2,3,0,1	2,2,0,5	102	99
65	8,2,4,8	3,0,1,2	4,5,2,3	3,2,1,1	102	99
66	19,7,9,11	6,3,1,5	17,19,8,11	11,6,6,9	102	99
67	80,20,35,35	9,2,1,0	83,57,40,62	6,4,3,3	105	99
68	0,0,0,1	11,6,10,9	0,0,0,1	12,1,3,3	102	99
69	3,1,0,0	1,1,1,0	2,0,3,0	0,0,0,0	147	99
70	22,10,8,17	5,4,2,3	32,7,13,10	5,2,9,4	102	99
72	3,2,5,2	20,5,9,8	3,2,1,4	20,6,5,8	108	99
73	2,0,0,0	2,0,0,0	1,1,0,0	1,0,0,0	105	99
74	15,20,12,12	1,0,1,1	18,9,17,4	2,0,0,0	198	99
75	10,5,3,4	36,12,13,7	4,8,11,5	18,9,11,20	166	99
76	31,15,9,7	2,0,1,2	11,12,18,9	2,0,2,1	198	99
77	57,22,19,10	2,0,1,2	25,14,18,25	2,0,2,1	136	99
78	13,7,4,6	73,33,26,34	7,5,6,15	49,29,32,37	102	99
81	1,1,0,1	0,1,0,1	0,0,0,0	1,1,0,1	117	99
82	60,28,40,15	1,0,1,1	54,33,17,37	1,3,3,1	103	99
83	12,9,8,4	1,0,1,1	11,6,4,7	1,3,3,1	122	99
84	7,9,7,2	55,28,39,13	7,4,3,4	50,31,16,34	118	99
85	29,17,30,10	9,3,2,2	25,16,26,28	5,1,2,3	103	99
86	88,50,44,45	5,2,1,1	93,40,38,58	2,2,0,3	102	99
87	16,5,2,9	16,14,7,11	8,5,1,9	29,8,18,22	117	99
88	29,13,26,15	367,203,209,170	31,17,18,29	302,140,146,235	111	99
89	22,13,15,14	367,203,209,170	19,13,15,21	302,140,146,235	117	99
90	16,9,10,10	23,9,21,11	12,12,8,15	24,16,11,23	105	99
91	0,1,0,1	0,0,0,0	0,0,1,0	0,0,2,0	102	99
92	6,5,7,9	6,6,6,0	9,3,8,5	7,2,3,6	102	99
93	60,30,29,23	26,11,20,14	53,21,23,42	25,9,9,13	102	99
94	21,11,12,4	0,1,0,0	13,6,7,20	0,0,0,0	198	99
95	23,10,11,3	4,3,3,2	10,3,6,7	4,3,1,6	198	99
96	4,0,2,2	22,8,11,14	3,3,2,2	20,13,20,11	111	99
97	0,1,0,1	0,0,0,0	0,2,0,0	2,1,2,0	112	99
98	7,3,7,4	0,0,0,1	9,3,9,4	2,0,0,0	198	99
99	76,33,33,29	5,4,3,1	59,30,30,42	1,2,3,2	102	99
100	9,4,4,5	0,0,0,1	11,8,5,6	0,0,0,0	103	99
101	57,29,34,27	4,2,5,4	36,26,18,46	2,4,1,3	103	99
102	5,1,2,5	0,0,0,0	3,5,2,3	0,1,0,0	103	99
103	16,10,11,7	419,243,207,203	21,10,5,7	365,190,203,261	114	99
104	11,8,4,6	0,0,0,0	12,12,4,11	0,0,1,0	135	99
105	1,1,1,1	0,0,0,0	1,0,2,0	0,1,0,0	114	99
106	56,39,47,33	2,2,0,1	67,25,40,43	1,0,1,0	102	99
107	27,7,18,15	1,3,0,0	23,13,9,14	1,0,0,0	112	99
108	10,6,13,7	25,8,13,10	8,5,6,7	13,11,7,10	198	99
