ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2,0,0,2	1,0,0,0	1,1,0,0	0,0,0,0	198	99
1	5,1,0,1	1,0,0,0	4,2,1,1	0,0,0,0	198	99
2	7,5,8,5	1,0,2,0	11,1,6,3	2,0,1,0	178	99
3	170,131,129,84	1,0,1,0	169,71,94,84	1,0,0,0	198	99
4	40,19,28,12	0,1,1,0	36,21,26,38	0,0,0,0	198	99
5	1,0,1,0	2,2,3,5	2,0,0,0	1,0,2,6	198	99
6	78,47,39,36	0,0,0,0	86,40,33,45	0,0,1,0	198	99
7	18,13,18,14	0,0,0,0	17,11,8,11	0,0,1,0	112	99
8	75,34,48,30	1,0,0,0	48,25,21,33	0,0,0,0	190	99
9	57,22,27,14	0,0,0,0	37,19,21,25	0,1,0,0	198	99
10	1302,786,739,615	0,0,0,0	1160,755,813,885	0,0,0,1	198	99
11	2,0,0,1	0,0,0,0	0,3,1,0	1,0,0,0	198	99
13	121,62,69,54	1,0,0,0	100,79,75,93	0,0,0,0	198	99
14	129,64,67,66	0,0,0,0	157,96,95,68	1,0,0,0	198	99
15	2,2,0,1	0,1,0,0	2,0,0,1	0,0,0,0	195	99
16	167,82,95,64	1,0,0,0	189,74,72,100	0,0,0,0	198	99
17	213,101,87,62	0,0,1,0	145,76,80,105	0,0,0,0	198	99
19	13,6,8,7	2,0,0,0	16,7,13,11	1,4,0,0	198	99
20	15,8,9,8	43,32,30,24	18,7,14,12	52,43,40,37	198	99
21	2,0,2,7	1,0,0,0	4,2,5,3	0,0,0,0	198	99
22	3,0,0,4	3,2,1,1	2,1,4,2	2,0,1,1	198	99
23	4,0,0,1	0,0,0,0	5,1,4,2	2,1,2,0	147	99
24	16,8,7,3	1,0,0,0	10,6,7,6	5,0,2,1	126	99
25	4,4,2,1	10,7,2,1	6,4,5,4	12,1,4,6	198	99
26	11,7,3,1	10,7,2,1	6,6,10,6	12,1,4,6	198	99
27	2,2,1,1	8,7,5,4	3,3,2,2	10,6,8,14	198	99
28	8,8,6,4	0,0,0,0	12,6,8,17	0,0,1,0	198	99
29	1,1,2,0	1,2,2,1	2,0,5,2	2,0,0,0	153	99
30	2,1,0,1	0,1,0,0	2,0,4,0	0,0,0,0	153	99
31	4,5,2,1	9,8,4,3	6,1,4,1	16,3,3,8	168	99
32	2,3,0,0	9,8,4,3	2,1,3,0	16,3,3,8	147	99
33	13,9,6,4	0,1,1,0	16,3,5,10	2,0,0,3	189	99
34	10,4,3,5	5,2,3,2	20,9,14,8	2,1,3,3	162	99
35	1,0,0,0	10,4,6,3	1,0,1,0	12,7,6,11	152	99
36	2,0,0,0	2,1,0,0	0,1,1,0	3,3,2,2	152	99
37	16,10,9,5	2,1,0,0	20,14,11,16	3,3,2,2	198	99
38	6,6,3,2	1,0,0,0	9,7,5,5	0,1,0,0	198	99
39	60,35,44,17	0,0,0,0	59,35,40,40	0,0,1,0	198	99
40	21,12,19,6	1,2,4,0	21,10,13,14	1,1,2,1	198	99
41	50,32,32,19	0,0,0,0	49,35,34,39	0,0,1,0	198	99
42	11,9,7,8	1,2,4,0	11,10,7,13	1,1,2,1	198	99
43	0,0,0,0	1,2,4,0	1,0,0,0	1,1,2,1	175	99
44	29,18,22,10	1,0,0,0	25,19,23,19	1,1,0,0	175	99
45	67,40,44,26	0,0,0,0	80,43,50,43	1,0,0,0	198	99
46	1,0,2,0	7,6,4,3	2,0,0,0	5,1,0,5	198	99
47	0,0,0,0	7,6,4,3	2,1,0,0	5,1,0,5	144	99
48	5,5,6,2	6,3,1,1	14,9,4,10	1,0,2,3	198	99
49	145,63,92,40	0,0,0,0	88,45,65,57	1,0,0,0	198	99
51	17,3,8,5	0,0,1,0	11,6,7,7	1,0,0,0	166	99
52	7,4,2,4	1,0,1,0	8,2,5,3	0,1,1,0	166	99
53	6,3,2,3	0,0,1,0	5,2,3,4	1,0,0,0	198	99
54	7,3,2,3	1,0,1,0	4,2,3,4	0,1,1,0	198	99
55	13,20,10,6	1,0,0,0	13,13,9,11	0,1,0,1	198	99
56	99,40,63,31	0,0,0,1	54,40,46,60	0,0,0,0	198	99
57	236,105,99,58	0,0,0,0	149,68,56,64	0,0,0,1	181	99
58	50,21,44,22	15,9,10,12	49,21,41,29	13,4,10,3	172	99
59	58,29,26,15	1,0,0,0	25,16,21,19	0,0,0,0	147	99
60	30,16,14,5	0,0,0,0	9,11,11,12	0,1,1,0	147	99
61	58,26,19,14	10,1,4,3	22,20,22,27	1,4,5,1	147	99
63	20,7,7,13	0,0,0,0	21,22,17,14	1,1,0,0	198	99
64	65,33,39,20	13,5,6,5	47,23,24,30	17,4,11,7	144	99
65	28,15,12,13	0,0,0,1	17,15,6,12	1,0,0,0	144	99
66	71,45,46,38	0,0,0,1	74,29,40,31	1,0,0,0	198	99
67	102,60,71,43	7,2,4,3	89,37,49,47	2,4,2,5	198	99
68	133,82,88,55	0,0,0,0	128,66,68,88	0,0,0,1	198	99
69	194,112,78,83	0,0,0,0	160,95,84,123	2,0,0,1	198	99
70	107,64,66,46	2,5,1,3	87,59,58,61	3,3,1,1	198	99
71	299,161,186,145	1,1,2,1	337,200,178,202	0,1,0,0	198	99
72	92,63,67,39	4,2,1,0	110,58,46,64	2,2,0,2	180	99
74	24,16,21,9	1,0,0,0	43,9,8,20	0,0,0,0	194	99
75	16,6,5,9	0,1,0,1	17,17,5,9	0,0,0,0	133	99
76	0,0,0,1	0,0,0,0	0,2,0,0	1,1,0,0	153	99
77	0,0,0,1	0,1,0,0	0,1,0,0	1,0,1,2	153	99
78	0,0,0,0	5,5,6,1	1,2,0,0	10,4,5,9	179	99
79	6,6,6,2	0,0,0,0	12,5,5,9	1,0,0,0	198	99
80	0,1,1,0	3,3,4,4	1,1,0,2	6,2,3,3	153	99
81	0,2,1,0	1,1,0,1	1,1,0,2	2,1,0,0	153	99
82	1,0,0,0	0,0,0,0	0,0,0,0	1,0,0,0	124	99
