ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	14,12,3,5	2,0,1,0	3,5,6,3	0,0,2,2	317	99
2	3,1,1,1	0,0,0,0	4,1,4,14	0,1,0,0	372	99
4	52,28,24,19	26,19,17,11	52,22,18,29	35,11,16,25	213	99
5	23,9,17,7	1,0,0,0	14,11,8,8	0,1,0,0	555	99
7	57,37,63,45	6,5,3,3	57,28,28,51	3,3,3,4	192	99
8	144,50,76,63	91,40,52,37	119,60,69,75	82,47,36,45	117	99
9	13,7,8,4	2,1,0,1	6,9,3,4	4,0,2,1	167	99
10	5,3,5,3	10,1,4,3	2,5,3,4	1,4,5,1	117	99
11	5,4,6,3	30,11,6,10	2,6,3,4	13,11,12,15	117	99
12	1,4,5,0	0,0,0,1	1,3,1,0	2,0,0,4	168	99
13	30,16,13,14	13,1,5,9	32,9,18,24	10,11,1,6	225	99
14	64,28,34,24	1,0,1,0	73,35,38,51	0,1,1,1	204	99
15	8,6,4,2	8,0,1,4	3,0,0,3	6,8,3,4	246	99
16	2,3,5,2	1,0,0,0	5,6,4,1	1,2,0,0	138	99
17	46,15,32,25	2,0,0,0	40,19,19,33	1,0,0,0	177	99
18	0,0,0,0	2,0,0,0	2,0,0,0	2,2,3,1	106	99
19	33,12,18,5	0,2,1,1	25,18,24,14	1,1,3,0	124	99
20	0,1,1,1	8,1,2,2	2,2,2,2	10,4,7,8	120	99
21	0,0,0,0	16,10,2,8	1,0,1,0	28,8,18,7	106	99
22	4,1,6,1	11,2,1,11	12,2,3,7	19,10,10,7	209	99
24	8,4,6,3	2,1,1,1	11,6,1,7	3,2,0,1	168	99
25	77,35,38,21	0,0,0,0	48,27,23,25	1,1,0,0	325	99
26	12,6,12,7	6,3,6,2	16,13,7,12	2,2,2,4	109	99
27	18,7,8,9	5,2,3,6	17,21,8,10	4,4,0,2	105	99
28	8,3,1,5	3,0,1,2	11,9,8,9	3,2,1,1	105	99
