ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	16,0,8,3	0,0,0,2	11,10,6,6	0,0,1,0	194	99
1	14,1,6,7	0,0,0,0	9,10,7,2	1,1,0,0	192	99
2	12,4,7,9	2,0,0,0	5,1,7,5	3,0,2,1	312	99
3	19,8,15,3	39,27,27,17	19,8,8,15	27,14,14,32	184	99
5	4,1,1,2	0,0,0,0	6,3,7,18	0,1,0,0	537	99
7	1,3,0,0	1,0,0,1	2,1,1,1	1,0,1,2	197	99
8	1,3,0,0	1,0,1,0	1,0,1,0	0,1,0,0	180	99
9	0,0,0,1	0,0,0,0	0,1,1,0	0,1,0,0	167	99
11	131,90,87,64	3,6,8,7	143,72,69,72	6,4,6,2	252	99
12	11,4,1,4	0,0,0,0	10,6,11,8	1,2,0,0	157	99
13	38,26,21,19	4,0,0,1	57,41,50,43	4,3,5,2	501	99
14	11,8,8,4	1,0,0,2	23,17,22,12	4,3,2,1	167	99
15	19,7,8,2	3,0,0,0	14,17,17,12	0,2,0,1	164	99
16	17,4,13,6	1,2,0,0	18,29,32,19	1,2,2,1	208	99
17	11,8,8,10	1,0,0,4	20,23,20,12	1,1,0,0	185	99
18	145,82,104,73	6,3,2,4	110,75,97,95	3,6,5,9	177	99
19	4,3,0,0	0,0,0,0	5,7,2,1	1,0,0,2	188	99
20	3,2,3,1	6,0,0,0	3,4,1,1	3,2,2,0	233	99
21	29,12,20,9	1,0,0,0	22,19,12,9	0,1,0,0	635	99
22	8,3,3,2	2,0,0,0	8,8,4,1	0,0,0,0	179	99
23	21,11,10,14	2,3,1,1	20,13,9,16	0,0,0,2	150	99
24	25,15,11,15	4,6,3,10	23,15,10,17	3,3,1,6	165	99
25	181,86,139,110	21,19,15,8	240,136,161,161	33,10,18,18	176	99
26	52,13,16,9	103,46,44,21	32,9,19,11	76,31,46,25	162	99
27	72,24,33,37	1,0,0,0	63,34,28,47	2,0,0,0	217	99
28	55,26,41,19	2,0,0,2	85,51,34,58	0,1,1,1	165	99
29	21,11,13,20	0,0,0,0	20,18,26,15	1,1,0,1	191	99
30	2,2,2,0	1,0,0,0	3,0,1,0	1,0,0,0	409	99
31	12,7,2,4	4,5,4,0	13,11,7,8	7,4,4,4	175	99
32	50,25,26,26	3,2,4,2	43,33,19,23	4,1,3,2	156	99
33	24,23,20,13	0,1,0,0	37,14,19,21	1,0,0,0	162	99
34	94,41,79,72	6,3,6,2	85,71,70,79	2,2,2,4	176	99
35	91,40,73,71	9,5,6,6	81,68,67,76	12,10,4,9	166	99
36	201,101,106,90	4,1,5,1	170,118,100,121	2,0,1,2	377	99
37	10,6,5,5	1,3,4,1	5,6,5,7	1,2,1,4	183	99
38	34,14,22,11	8,2,0,3	30,10,15,11	3,1,1,2	270	99
39	4,6,0,3	2,3,1,1	7,5,7,2	2,1,1,1	281	99
40	38,26,37,26	1,0,2,1	31,13,15,29	2,1,1,3	196	99
42	66,38,42,27	0,0,0,1	56,24,26,52	1,3,1,0	180	99
43	13,5,3,9	0,0,1,0	16,11,12,9	0,0,0,0	232	99
44	95,45,54,22	9,5,4,2	142,110,67,88	12,8,7,12	261	99
45	10,10,6,5	36,20,15,11	13,10,9,4	24,20,21,31	201	99
46	108,63,60,52	6,2,5,0	95,30,48,87	1,4,0,0	163	99
