ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	74,29,40,31	17,15,6,12	40,31,25,41	16,13,9,7	198	144
1	0,0,0,0	12,5,5,9	0,0,0,1	1,3,0,8	124	198
2	37,33,25,34	1,1,2,0	21,11,14,27	0,2,1,0	132	120
3	9,6,3,6	606,759,611,533	5,3,2,7	238,232,305,543	196	196
4	9,6,3,6	8,9,5,12	5,4,2,6	4,4,4,3	196	187
5	265,149,172,156	260,233,299,239	113,185,107,154	131,170,163,183	198	198
6	18,13,9,16	0,0,0,0	11,8,10,14	0,1,0,2	198	198
7	2,0,1,0	0,1,0,1	2,0,1,0	2,1,0,0	187	198
8	5,8,8,8	239,149,157,171	4,4,3,9	88,93,95,181	194	194
9	5,8,8,8	125,121,141,125	4,4,3,9	67,42,78,112	194	194
10	239,149,157,171	125,121,141,125	88,93,95,181	67,42,78,112	194	194
11	3,2,2,0	31,11,11,30	1,3,0,5	22,22,13,35	198	198
12	18,31,27,19	25,27,26,19	21,14,14,25	21,20,3,58	198	198
13	140,146,170,137	317,233,306,303	107,91,103,113	180,148,177,204	198	198
14	11,11,6,7	15,6,4,13	10,9,8,12	7,11,12,16	142	198
15	1,2,3,2	23,9,11,12	0,0,3,2	10,7,2,18	198	198
16	46,21,28,36	95,52,63,74	17,18,25,31	51,53,55,56	148	148
17	46,21,28,36	9,9,10,6	17,18,25,31	2,8,9,10	148	148
18	95,52,63,74	9,9,10,6	51,53,55,56	2,8,9,10	148	148
19	366,457,479,467	475,581,614,532	247,249,325,393	278,222,278,424	138	198
20	48,54,75,64	84,44,77,68	36,26,45,30	37,35,69,34	198	198
21	8,10,22,10	21,17,35,37	9,11,9,6	13,21,37,21	198	198
22	13,13,15,24	21,17,35,37	5,6,12,4	13,21,37,21	184	198
23	2,5,9,8	22,17,33,36	8,3,5,2	13,20,35,19	151	198
24	13,13,15,24	8,10,22,10	5,6,12,4	9,11,9,6	184	198
25	19,8,14,16	8,7,11,2	11,11,15,7	5,5,2,0	198	139
26	13,8,11,12	8,7,11,2	9,11,8,8	5,5,2,0	170	139
27	247,88,155,219	68,28,52,62	93,95,84,145	21,24,25,50	198	198
28	203,128,142,98	197,101,138,95	163,140,176,164	115,122,133,127	198	198
29	110,53,46,70	3,6,1,3	40,49,39,56	9,1,1,7	198	198
30	21,29,27,32	3,0,1,0	14,14,8,20	0,1,0,0	198	198
31	17,10,8,8	2,2,0,2	9,11,3,11	0,0,0,1	168	144
32	10,9,6,5	16,5,10,12	1,7,4,9	12,10,5,11	198	198
33	89,38,37,47	136,106,117,99	32,33,23,42	54,66,82,155	198	198
34	1844,1106,986,1213	136,106,117,99	875,810,692,1366	54,66,82,155	198	198
35	1844,1106,986,1213	89,38,37,47	875,810,692,1366	32,33,23,42	198	198
36	42,26,32,37	43,32,32,40	22,16,34,19	21,26,24,32	198	198
37	28,43,36,34	9,8,4,6	19,15,25,32	4,2,6,7	197	135
38	96,48,45,65	88,34,45,45	50,57,36,85	42,57,44,59	198	198
39	1,0,1,1	76,36,31,54	0,0,0,0	25,33,41,33	198	198
40	7,1,4,3	0,1,0,1	5,9,4,6	0,0,0,1	108	105
41	15,5,2,10	21,7,15,13	6,7,2,7	14,14,13,20	152	155
42	967,505,565,791	1281,694,745,936	562,478,410,846	696,609,576,1134	198	198
43	16,6,8,5	54,24,20,36	5,9,6,7	18,18,19,37	155	185
44	4,3,6,7	76,36,44,34	3,4,2,9	32,32,32,51	192	198
45	21,5,13,8	23,10,9,9	7,9,7,9	10,5,9,8	198	198
46	20,5,13,8	16,9,7,12	6,9,8,9	9,3,8,9	198	198
47	24,10,14,10	8,4,4,5	6,15,10,6	1,5,5,5	174	171
48	48,24,30,22	0,1,1,0	21,15,10,38	0,0,0,0	195	108
49	13,1,6,2	7,2,3,3	2,3,0,1	1,1,5,6	195	183
50	43,15,25,24	3,0,0,4	17,11,12,39	3,3,2,0	182	198
51	10,6,6,10	19,6,12,13	3,6,4,10	4,6,6,7	198	171
52	28,13,26,14	44,17,27,24	14,13,22,9	16,19,24,20	197	198
53	33,17,23,23	3,2,5,2	17,19,26,18	2,0,0,3	198	161
54	16,9,8,12	85,46,42,58	8,6,13,5	45,40,38,46	198	198
55	16,8,7,9	85,46,43,58	6,7,8,9	45,40,37,46	198	198
56	100,61,86,60	42,16,20,33	62,43,51,55	11,36,24,24	179	179
57	39,8,12,20	97,40,46,51	11,16,18,12	41,52,57,32	198	198
58	9,6,6,9	22,10,7,18	10,2,1,16	5,10,3,14	198	198
59	3,1,4,5	162,187,218,237	1,4,4,6	110,92,128,200	198	153
60	205,191,236,212	44,48,26,35	114,119,91,223	35,16,20,47	198	198
61	0,0,2,1	10,12,9,8	1,1,0,2	6,7,6,9	198	198
62	32,19,30,21	66,30,36,45	23,16,25,14	33,37,48,41	198	198
63	54,22,21,30	9,10,6,9	22,35,18,44	5,3,4,12	198	198
64	26,15,25,16	8,2,2,2	9,15,7,21	2,1,1,4	184	132
65	26,15,24,16	4,3,6,4	9,16,7,21	2,2,3,3	184	183
66	5,5,9,9	2,1,3,3	5,7,4,7	4,2,2,1	183	198
67	4,5,7,7	8,7,15,12	3,5,4,2	3,6,5,12	165	198
68	534,331,272,476	1064,617,519,867	335,311,363,258	523,576,653,399	198	194
69	27,17,16,10	7,2,5,2	10,14,7,9	6,2,5,2	198	161
70	27,17,16,10	17,7,5,4	10,14,7,9	7,10,5,5	198	182
71	20,6,7,7	4,4,3,2	5,13,6,9	4,0,3,2	198	161
72	35,14,14,14	3,6,3,4	13,18,13,18	2,2,4,6	198	161
73	20,16,12,12	4,5,5,3	12,9,10,18	3,3,7,8	198	161
74	22,6,7,7	4,4,3,2	5,13,6,10	4,0,3,2	198	161
75	26,7,11,12	3,6,3,4	12,15,7,9	2,2,4,6	198	161
76	7,2,5,2	17,7,5,4	6,2,5,2	7,10,5,5	161	182
77	108,61,84,91	51,18,31,35	61,67,93,46	11,17,35,13	198	198
78	39,32,38,33	10,13,16,13	17,21,18,33	9,8,12,13	198	198
79	369,167,176,193	6,9,15,8	132,111,292,183	5,11,13,16	171	123
80	49,29,29,44	13,7,9,11	34,21,33,60	10,5,9,19	198	163
81	0,2,1,1	5,1,0,2	0,0,0,0	0,1,0,2	198	198
82	138,58,69,68	121,75,62,63	46,72,68,36	50,73,83,80	198	198
83	3,2,0,0	223,124,131,143	0,0,1,1	102,107,118,113	198	198
84	14,10,15,8	17,14,6,11	10,3,7,12	5,13,6,10	186	186
85	23,14,24,17	17,14,6,11	12,10,14,15	5,13,6,10	189	186
86	14,10,15,8	15,11,10,7	10,3,7,12	8,15,7,8	186	189
87	23,14,24,17	15,11,10,7	12,10,14,15	8,15,7,8	189	189
88	57,26,53,63	28,18,20,24	43,52,35,49	6,18,18,16	198	198
89	11,11,8,5	82,19,42,72	11,4,6,8	51,40,26,65	120	198
90	6,0,1,1	5,7,1,6	2,0,1,2	5,5,1,1	198	198
93	5,6,5,8	19,9,10,20	2,1,1,2	2,2,4,7	155	174
94	35,18,18,22	106,51,61,67	13,22,27,21	54,45,63,66	157	198
95	41,16,20,18	12,5,4,10	13,14,15,28	5,5,2,13	198	198
97	41,16,20,18	9,3,5,9	13,14,15,28	8,8,5,20	198	198
100	1,0,0,0	0,3,3,2	0,1,0,1	1,0,0,1	147	198
101	5,8,12,4	5,6,6,7	1,1,1,6	4,2,5,4	198	198
102	2,1,0,0	5,3,2,3	0,0,0,3	3,6,1,3	189	198
103	20,16,10,8	28,22,26,33	6,1,10,18	22,28,24,21	142	198
104	113,139,149,91	424,612,448,533	76,75,83,109	213,215,298,321	178	178
105	191,85,97,118	164,76,98,107	108,83,57,98	86,89,62,100	198	198
106	1,6,1,4	0,0,0,0	1,0,2,4	1,0,0,0	198	198
107	3,4,1,3	1,2,1,1	0,2,0,5	2,0,1,0	198	198
108	11,7,5,4	5,6,6,2	0,4,2,7	4,6,4,3	198	198
109	16,4,17,4	3,3,0,2	4,1,6,3	2,3,2,2	198	153
110	5,12,2,6	8,5,4,7	2,4,1,5	1,4,1,3	198	198
111	2,0,2,0	29,24,15,13	2,2,2,2	16,17,8,24	163	163
112	24,10,9,8	7,4,6,3	9,8,3,16	1,3,4,4	198	125
113	22,9,10,14	19,11,11,18	7,17,8,21	6,6,9,21	198	198
114	4,1,2,1	22,17,17,25	0,5,3,4	14,10,13,21	145	198
115	3,1,1,2	46,47,44,55	0,0,1,1	44,33,21,67	161	198
116	8,3,2,3	8,1,1,0	3,7,2,7	2,1,3,0	198	198
117	91,59,85,88	64,44,74,79	67,60,42,102	67,46,33,99	198	198
118	215,216,250,248	206,116,95,134	131,101,225,155	90,103,111,111	198	198
119	4,8,6,5	240,109,130,176	1,2,7,5	130,146,117,153	164	181
120	0,1,1,1	215,102,116,157	0,2,0,0	112,127,97,134	164	169
121	15,5,3,12	316,131,178,220	6,11,10,10	172,207,153,182	181	183
122	200,102,123,129	316,131,178,220	115,140,106,103	172,207,153,182	169	183
123	15,16,5,11	292,126,170,208	5,5,4,12	161,184,141,168	169	183
124	3,1,2,1	5,7,11,3	0,1,0,1	1,4,2,7	123	186
125	3,6,6,4	35,43,34,51	11,6,3,9	29,16,15,49	144	138
127	16,13,3,16	8,3,1,2	2,3,1,3	3,2,3,3	195	162
128	11,24,24,18	10,4,3,5	14,9,7,22	4,3,6,6	198	162
129	14,10,13,4	7,3,1,3	9,6,5,8	3,2,4,3	156	162
130	13,5,10,3	1,4,3,0	9,10,6,10	1,1,1,0	156	198
131	43,36,20,34	8,3,12,4	22,21,17,34	4,5,2,7	189	156
132	1,0,2,0	6,2,1,0	1,1,2,1	1,0,0,0	198	198
133	3,5,1,3	0,2,1,4	0,0,3,3	2,4,4,4	198	198
134	14,22,10,15	11,8,4,10	8,9,5,11	1,6,0,4	198	198
135	13,11,8,13	5,1,1,2	7,6,2,16	0,1,1,1	198	138
136	1,0,0,0	0,2,3,0	1,0,0,0	0,0,0,0	165	189
137	209,183,189,164	10,7,7,7	132,124,99,168	4,6,3,7	198	198
138	40,38,26,38	8,8,14,6	23,24,13,48	4,5,8,12	162	198
139	7,5,7,6	5,7,5,1	7,4,4,7	1,0,4,3	198	159
140	15,6,9,12	26,9,12,18	7,5,6,13	18,18,17,9	186	198
141	13,5,8,12	23,10,12,16	7,5,5,14	19,16,17,9	186	198
142	19,6,16,12	9,11,8,7	4,11,11,12	6,7,6,3	141	165
143	19,6,16,12	1,6,3,1	4,11,11,12	0,1,3,2	141	192
144	6,3,7,5	2,1,2,1	5,1,8,2	1,1,3,1	132	138
145	2,0,2,0	2,1,2,1	0,1,1,1	1,1,3,1	102	138
146	6,3,7,5	7,4,11,7	5,1,8,2	6,6,10,7	132	183
147	2,0,2,0	7,4,11,7	0,1,1,1	6,6,10,7	102	183
148	2,0,2,0	6,3,7,5	0,1,1,1	5,1,8,2	102	132
