ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	11,1,6,3	2,0,1,0	7,7,9,6	0,0,0,1	178	99
3	169,71,94,84	1,0,0,0	78,81,103,86	0,1,0,0	198	99
4	2,0,0,0	1,0,2,6	1,0,0,1	1,2,0,5	198	99
5	86,40,33,45	0,0,1,0	32,37,35,48	0,0,0,0	198	99
6	17,11,8,11	0,0,1,0	15,11,14,12	0,0,0,0	112	99
7	37,19,21,25	0,1,0,0	17,21,25,23	0,0,0,0	198	99
8	0,0,0,0	34,19,24,24	0,0,1,0	10,21,9,12	198	99
9	1160,755,813,885	0,0,0,1	522,608,664,773	0,0,0,0	198	99
10	0,3,1,0	1,0,0,0	1,1,0,2	0,0,0,0	198	99
12	45,32,29,38	0,0,0,0	29,42,32,43	2,0,0,0	198	99
13	53,25,27,34	0,0,0,0	28,26,14,56	1,0,0,1	198	99
14	157,96,95,68	1,0,0,0	62,74,49,120	0,2,1,1	198	99
15	2,0,0,1	0,0,0,0	1,2,6,0	0,0,1,0	195	99
16	0,0,2,0	1,1,2,1	0,0,0,1	1,0,3,1	160	99
17	0,0,0,0	0,1,0,0	0,0,0,1	0,2,0,0	160	99
18	2,0,2,1	0,0,0,0	2,0,0,1	0,0,0,1	166	99
19	189,74,72,100	0,0,0,0	93,106,76,92	0,0,1,0	198	99
21	18,7,14,12	52,43,40,37	12,18,9,12	26,29,25,32	198	99
22	5,1,4,2	2,1,2,0	2,1,1,2	0,0,0,0	147	99
23	10,6,7,6	5,0,2,1	1,4,4,5	1,0,0,0	126	99
24	6,4,5,4	12,1,4,6	2,2,1,0	1,4,2,5	198	99
25	6,6,10,6	12,1,4,6	4,4,1,0	1,4,2,5	198	99
26	3,3,2,2	10,6,8,14	0,2,3,7	4,7,6,6	198	99
27	12,6,8,17	0,0,1,0	4,8,6,7	0,0,0,0	198	99
28	2,0,5,2	2,0,0,0	0,2,0,0	0,0,0,3	153	99
30	6,1,4,1	16,3,3,8	1,1,3,6	2,4,6,0	168	99
31	2,1,3,0	16,3,3,8	1,0,2,1	2,4,6,0	147	99
32	16,3,5,10	2,0,0,3	6,8,8,3	0,1,0,1	189	99
33	20,9,14,8	2,1,3,3	6,6,9,3	4,5,3,4	162	99
34	28,10,13,13	0,0,0,0	5,11,5,6	0,0,0,1	198	99
35	1,0,1,0	12,7,6,11	0,0,0,0	1,8,3,7	152	99
36	0,1,1,0	3,3,2,2	0,1,0,0	1,0,1,2	152	99
37	20,14,11,16	3,3,2,2	3,12,6,9	1,0,1,2	198	99
38	9,7,5,5	0,1,0,0	2,4,3,2	0,1,0,0	198	99
39	59,35,40,40	0,0,1,0	28,36,23,34	0,0,0,0	198	99
40	21,10,13,14	1,1,2,1	15,12,5,9	0,0,3,0	198	99
41	49,35,34,39	0,0,1,0	24,30,26,36	0,0,0,0	198	99
42	11,10,7,13	1,1,2,1	11,6,8,11	0,0,3,0	198	99
43	1,0,0,0	1,1,2,1	0,0,0,0	0,0,3,0	175	99
44	25,19,23,19	1,1,0,0	6,22,16,22	0,0,1,0	175	99
45	80,43,50,43	1,0,0,0	27,33,43,56	0,0,0,0	198	99
46	2,0,0,0	5,1,0,5	0,0,0,3	7,4,2,8	198	99
47	2,1,0,0	5,1,0,5	1,0,0,2	7,4,2,8	144	99
48	14,9,4,10	1,0,2,3	3,5,2,9	2,0,0,3	198	99
49	88,45,65,57	1,0,0,0	63,59,64,83	0,0,0,0	198	99
50	0,1,4,0	0,0,1,0	0,0,0,4	0,0,0,0	198	99
51	11,6,7,7	1,0,0,0	7,10,5,8	0,0,0,0	166	99
52	8,2,5,3	0,1,1,0	4,3,2,5	0,0,0,2	166	99
53	5,2,3,4	1,0,0,0	3,3,1,3	0,0,0,0	198	99
54	13,13,9,11	0,1,0,1	7,15,17,6	0,0,0,0	198	99
55	0,1,0,1	0,0,0,0	1,0,0,2	1,2,0,1	110	99
56	5,3,7,4	0,0,0,0	3,2,1,7	1,2,0,1	167	99
57	10,4,6,5	0,0,0,0	6,1,4,6	1,2,0,1	170	99
58	149,68,56,64	0,0,0,1	54,80,71,42	0,0,0,0	181	99
59	49,21,41,29	13,4,10,3	25,25,28,14	5,7,5,3	172	99
60	82,33,50,47	0,0,0,0	37,38,37,48	0,0,0,1	198	99
61	9,11,11,12	0,1,1,0	7,9,10,17	0,0,0,0	147	99
62	22,20,22,27	1,4,5,1	13,16,17,33	1,1,7,4	147	99
64	21,22,17,14	1,1,0,0	12,15,12,20	0,0,0,0	198	99
65	47,23,24,30	17,4,11,7	26,26,24,26	5,2,2,9	144	99
66	17,15,6,12	1,0,0,0	16,13,9,7	2,0,2,2	144	99
67	74,29,40,31	1,0,0,0	40,31,25,41	2,0,2,2	198	99
68	89,37,49,47	2,4,2,5	51,45,40,52	6,3,2,1	198	99
69	128,66,68,88	0,0,0,1	48,62,67,78	0,0,0,0	198	99
70	160,95,84,123	2,0,0,1	104,107,93,103	0,0,0,0	198	99
71	87,59,58,61	3,3,1,1	65,61,64,65	2,7,1,0	198	99
72	337,200,178,202	0,1,0,0	190,157,136,236	0,0,1,1	198	99
73	110,58,46,64	2,2,0,2	60,63,48,71	1,1,0,2	180	99
75	101,51,46,41	0,0,0,0	47,36,33,83	0,1,0,0	198	99
76	24,19,17,24	0,0,0,0	14,9,9,27	0,1,0,0	198	99
77	0,2,0,0	1,1,0,0	1,0,0,1	0,0,0,0	153	99
78	0,1,0,0	1,0,1,2	1,0,0,1	0,0,0,0	153	99
79	1,2,0,0	10,4,5,9	0,0,0,0	1,3,0,7	179	99
80	12,5,5,9	1,0,0,0	1,3,0,8	0,0,0,0	198	99
81	1,1,0,2	6,2,3,3	0,0,2,0	1,3,2,7	153	99
82	1,1,0,2	2,1,0,0	0,0,0,0	0,0,0,1	153	99
83	0,0,0,0	1,0,0,0	0,0,0,1	0,0,0,0	124	99
84	8,10,5,2	0,0,1,0	1,0,0,3	0,0,0,0	198	99
85	12,11,9,3	0,0,1,0	2,1,0,5	0,0,0,0	198	99
86	5,3,4,6	0,0,0,0	2,4,2,7	0,0,0,1	198	99
87	14,12,15,12	1,1,0,0	10,4,2,7	0,2,1,0	132	99
88	37,33,25,34	9,4,6,6	21,11,14,27	7,7,3,11	132	99
89	1,1,2,0	9,4,6,6	0,2,1,0	7,7,3,11	120	99
90	3,2,6,2	26,23,14,24	1,1,0,2	12,8,12,22	120	99
91	10,12,11,10	2,0,1,0	4,1,4,9	0,0,0,3	198	99
92	77,66,62,70	0,0,1,0	41,30,45,89	0,0,0,1	164	99
93	176,161,149,173	1,0,4,1	98,77,106,140	0,4,1,2	198	99
94	1,0,0,0	15,10,5,12	0,0,0,0	7,12,6,14	120	99
95	1583,2343,1682,1787	3,3,2,0	873,586,1100,1500	1,1,0,7	198	99
96	3,4,2,0	0,0,0,0	1,1,0,7	0,0,0,1	198	99
97	9,7,4,9	293,383,302,286	6,3,2,6	126,119,154,286	196	99
98	14,10,5,11	3,0,1,1	6,5,6,7	1,2,0,0	196	99
99	9,6,3,6	0,1,0,0	5,4,2,6	0,0,0,0	196	99
100	313,377,310,250	0,0,0,0	113,114,151,257	0,0,0,1	196	99
101	2,1,1,3	5,4,2,5	2,0,1,2	1,2,4,1	184	99
102	185,237,212,211	0,0,0,0	90,62,94,180	0,1,0,0	184	99
103	8,9,5,12	0,1,0,0	4,4,4,3	0,0,0,0	187	99
104	10,13,6,16	0,0,0,0	4,4,8,4	0,1,0,0	187	99
105	8,10,5,14	228,275,249,256	5,2,5,4	101,80,111,210	187	99
106	774,935,801,747	0,1,0,0	353,284,364,723	0,0,0,0	198	99
107	156,127,101,139	0,0,0,0	99,77,47,188	1,0,0,0	198	99
108	88,37,43,43	0,0,0,1	30,42,45,39	0,0,0,0	198	99
109	143,70,73,75	0,0,0,0	63,67,81,61	0,0,1,0	198	99
110	56,26,22,20	0,0,1,0	28,33,33,27	0,0,0,0	198	99
111	473,448,530,414	33,41,36,27	258,208,203,495	27,28,24,43	198	99
112	15,6,10,9	14,10,10,10	6,7,4,7	5,14,13,16	198	99
113	1,1,0,0	111,57,52,88	1,2,0,0	46,43,41,62	132	99
115	31,29,19,15	1,1,0,0	6,7,13,14	0,0,0,0	198	99
116	20,10,10,7	0,0,0,1	1,1,12,1	0,0,2,0	198	99
117	47,18,28,14	0,0,0,1	2,8,25,9	0,0,2,0	198	99
118	65,49,43,65	4,0,0,2	37,50,35,53	2,0,1,0	169	99
