ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	91,33,45,41	17,15,6,12	51,39,35,50	16,13,9,7	225	144
1	0,0,0,0	15,8,10,12	0,0,0,1	4,5,3,16	124	254
2	37,33,25,34	1,1,2,0	21,11,14,27	0,2,1,0	132	120
3	9,6,3,6	606,759,611,533	5,3,2,7	238,232,305,543	196	196
4	9,6,3,6	8,9,5,12	5,4,2,6	4,4,4,3	196	187
5	265,149,172,156	260,234,299,241	113,185,107,154	131,172,163,183	198	201
6	39,23,22,27	102,75,59,67	26,17,22,34	37,32,39,64	330	2202
7	2,0,1,0	37,20,23,36	2,0,1,0	33,31,28,24	187	421
8	5,8,8,8	239,149,157,171	4,4,3,9	88,93,95,181	194	194
9	5,8,8,8	125,121,141,125	4,4,3,9	67,42,78,112	194	194
10	239,149,157,171	125,121,141,125	88,93,95,181	67,42,78,112	194	194
11	4,2,4,0	42,13,18,42	2,3,0,5	30,26,18,45	279	270
12	19,31,27,20	228,323,227,192	21,14,14,25	199,188,110,487	204	999
13	560,507,570,535	1216,953,1160,1144	342,330,326,412	662,574,718,764	378	511
14	11,11,6,7	42,16,21,28	10,9,8,12	24,31,26,31	142	294
15	1,2,3,3	25,9,12,13	0,0,3,3	11,8,5,18	210	216
16	46,21,28,36	95,52,63,74	17,18,25,31	51,53,55,56	148	148
17	46,21,28,36	9,9,10,6	17,18,25,31	2,8,9,10	148	148
18	95,52,63,74	9,9,10,6	51,53,55,56	2,8,9,10	148	148
19	366,457,479,467	1151,1383,1406,1264	247,249,325,393	706,510,680,1034	138	324
20	87,96,115,119	176,100,158,156	64,47,80,53	73,81,162,68	257	330
21	72,56,75,78	25,18,38,40	47,53,59,30	13,21,38,22	322	203
22	13,13,15,24	25,18,38,40	5,6,12,4	13,21,38,22	184	203
23	2,5,9,8	26,18,36,39	8,3,5,2	13,20,36,20	151	203
24	13,13,15,24	72,56,75,78	5,6,12,4	47,53,59,30	184	322
25	28,16,16,26	8,7,11,2	13,13,19,9	5,5,2,0	234	139
26	13,8,11,12	8,7,11,2	9,11,8,8	5,5,2,0	170	139
27	287,109,167,255	78,39,59,73	105,109,96,165	29,29,29,59	219	222
28	481,295,320,227	570,292,382,245	342,321,385,371	324,384,416,395	321	351
29	114,54,48,73	3,6,1,3	41,53,41,57	10,2,1,7	210	204
30	28,31,32,35	3,2,3,0	17,15,12,24	1,2,0,0	230	275
31	17,10,8,8	2,2,0,2	9,11,3,11	0,0,0,1	168	144
32	20,19,18,11	42,24,33,26	4,12,8,18	27,21,21,33	309	414
33	115,55,56,62	190,147,149,139	44,45,37,61	75,87,111,217	263	263
34	2397,1476,1305,1577	190,147,149,139	1158,1008,908,1798	75,87,111,217	263	263
35	2397,1476,1305,1577	115,55,56,62	1158,1008,908,1798	44,45,37,61	263	263
36	161,79,80,109	99,57,72,93	73,59,110,60	46,50,60,70	369	322
37	28,43,36,34	9,8,4,6	19,15,25,32	4,2,6,7	197	135
38	120,68,65,83	108,44,61,66	64,74,44,103	49,66,55,81	235	235
39	104,49,58,70	163,87,85,115	33,42,52,46	65,79,91,81	387	345
40	7,1,4,3	0,1,0,1	5,9,4,6	0,0,0,1	108	105
41	15,5,2,10	21,7,15,13	6,7,2,7	14,14,13,20	152	155
42	1966,1187,1167,1718	1532,841,887,1133	1238,1101,949,1648	842,734,685,1359	336	215
43	16,6,8,5	54,24,20,36	5,9,6,7	18,18,19,37	155	185
44	4,3,6,7	265,172,158,181	3,4,2,9	133,120,120,198	192	561
45	47,14,30,24	39,17,18,20	24,21,21,25	16,11,21,11	370	300
46	46,14,30,24	19,12,11,15	23,21,22,25	10,5,9,12	370	223
47	24,10,14,10	8,4,4,5	6,15,10,6	1,5,5,5	174	171
48	48,24,30,22	0,1,1,0	21,15,10,38	0,0,0,0	195	108
49	13,1,6,2	7,2,3,3	2,3,0,1	1,1,5,6	195	183
50	43,15,25,24	1168,573,609,700	17,11,12,39	560,607,681,699	182	733
51	62,29,22,50	19,6,12,13	20,23,19,44	4,6,6,7	432	171
52	28,13,26,14	64,25,40,39	14,13,22,9	30,29,36,33	197	241
53	53,25,36,38	3,2,5,2	31,29,38,31	2,0,0,3	241	161
54	184,108,93,144	184,95,98,124	78,108,135,108	97,86,72,97	522	322
55	184,107,92,141	184,95,99,124	76,109,130,112	97,86,71,97	522	322
56	100,61,86,60	42,16,20,33	62,43,51,55	11,36,24,24	179	179
57	129,45,53,68	180,75,80,98	43,49,73,54	70,78,87,66	274	253
58	45,27,36,37	51,21,27,51	28,23,13,52	24,26,12,45	471	412
59	8,2,5,8	162,187,218,237	3,6,5,8	110,92,128,200	246	153
60	269,253,328,288	88,92,59,69	164,153,119,301	63,32,43,85	262	325
61	0,0,2,1	11,13,12,10	1,1,0,2	6,9,7,10	321	237
62	45,25,36,25	91,46,57,53	29,23,33,18	35,52,63,57	261	255
63	92,37,35,60	23,16,15,18	43,58,28,75	12,6,7,27	332	332
64	26,15,25,16	8,2,2,2	9,15,7,21	2,1,1,4	184	132
65	26,15,24,16	4,3,6,4	9,16,7,21	2,2,3,3	184	183
66	5,5,9,9	2,1,3,3	5,7,4,7	4,2,2,1	183	204
67	4,5,7,7	9,14,19,14	3,5,4,2	4,6,6,14	165	377
68	1272,752,678,1117	1066,617,519,867	776,730,812,540	523,576,653,399	274	194
69	49,23,26,18	7,2,5,2	16,20,12,18	6,2,5,2	238	161
70	49,23,26,18	17,7,5,4	16,20,12,18	7,10,5,5	238	182
71	33,19,16,20	4,4,3,2	10,19,13,24	4,0,3,2	269	161
72	48,27,23,27	3,6,3,4	18,24,20,33	2,2,4,6	269	161
73	33,29,21,25	4,5,5,3	17,15,17,33	3,3,7,8	269	161
74	31,15,16,16	4,4,3,2	8,19,10,22	4,0,3,2	251	161
75	35,16,20,21	3,6,3,4	15,21,11,21	2,2,4,6	251	161
76	7,2,5,2	17,7,5,4	6,2,5,2	7,10,5,5	161	182
77	209,113,148,167	104,36,49,68	108,123,151,79	24,39,67,24	320	320
78	61,48,52,48	22,22,29,30	30,31,31,46	19,18,22,29	266	276
79	369,167,176,193	6,9,15,8	134,111,292,183	5,11,13,16	171	123
80	107,69,67,105	13,7,9,11	71,55,77,122	10,5,9,19	326	163
81	3,3,3,2	47,18,24,15	1,0,0,0	37,25,32,18	335	1644
82	231,98,137,113	167,96,81,78	77,130,128,67	66,91,115,94	269	229
83	41,20,16,21	595,360,379,426	18,19,13,17	279,284,329,308	233	354
84	14,10,15,8	17,14,6,11	10,3,7,12	5,13,6,10	186	186
85	23,14,24,17	17,14,6,11	12,10,14,15	5,13,6,10	189	186
86	14,10,15,8	15,11,10,7	10,3,7,12	8,15,7,8	186	189
87	23,14,24,17	15,11,10,7	12,10,14,15	8,15,7,8	189	189
88	60,27,54,63	30,19,20,26	44,56,37,49	6,19,18,16	203	203
89	11,11,8,5	86,21,43,75	11,4,6,8	53,43,26,66	120	203
90	6,0,1,2	5,7,1,6	2,0,1,2	5,5,1,1	216	201
91	6,0,1,2	2,5,3,3	2,0,1,2	2,3,0,2	216	246
92	5,7,1,6	2,5,3,3	5,5,1,1	2,3,0,2	201	246
93	5,6,5,8	19,9,10,20	2,1,1,2	2,2,4,7	155	174
94	35,18,18,22	131,60,73,85	13,22,27,21	62,62,77,80	157	217
95	54,22,28,29	25,13,12,26	24,22,26,47	14,13,8,28	251	308
96	1,0,0,1	25,13,12,26	5,3,3,4	14,13,8,28	257	308
97	54,22,28,29	21,11,11,24	24,22,26,47	15,13,11,31	251	269
98	1,0,0,1	21,11,11,24	5,3,3,4	15,13,11,31	257	269
99	1,0,0,1	54,22,28,29	5,3,3,4	24,22,26,47	257	251
100	1,0,0,0	2,7,11,10	0,1,0,1	2,2,3,3	147	426
101	6,9,12,4	5,6,6,8	1,1,1,6	4,2,5,6	206	206
102	2,1,0,0	5,3,2,4	0,0,0,3	3,6,1,3	189	219
103	20,16,10,8	155,70,98,136	6,1,10,18	87,115,83,105	142	488
104	113,139,149,91	424,612,448,533	76,75,83,109	213,217,299,321	178	178
105	209,90,108,132	182,84,108,117	115,88,66,105	93,98,75,106	212	212
106	1,6,1,4	7,2,1,7	1,0,2,4	2,1,0,3	201	303
107	10,6,2,10	1,2,3,2	1,3,0,8	2,0,2,1	303	303
108	12,9,6,5	9,7,10,5	1,6,3,8	5,7,7,5	226	243
109	18,6,24,7	3,3,0,2	4,2,8,7	2,3,2,2	252	153
110	11,32,4,24	10,8,4,8	7,13,10,17	1,5,3,4	433	240
111	2,0,2,0	29,24,15,13	2,2,2,2	16,17,8,24	163	163
112	57,40,22,21	7,4,6,3	28,23,8,47	1,3,4,4	382	125
113	36,22,15,31	27,14,17,26	13,31,17,38	10,8,13,24	268	233
114	4,1,2,1	33,22,24,30	0,5,3,4	17,11,18,28	145	238
115	3,1,1,2	66,60,65,75	0,0,1,1	59,42,30,95	161	238
116	12,6,4,4	23,6,10,9	7,7,7,10	7,4,5,3	255	470
117	165,106,173,167	138,84,141,132	133,114,81,188	135,93,72,184	297	285
118	233,226,264,265	215,123,102,145	141,107,241,167	94,110,121,115	208	208
119	4,8,6,5	240,109,130,176	1,2,7,5	130,146,117,153	164	181
120	0,1,1,1	215,102,116,157	0,2,0,0	112,127,97,134	164	169
121	15,5,3,12	316,131,178,220	6,11,10,10	172,207,153,182	181	183
122	200,102,123,129	316,131,178,220	115,140,106,103	172,207,153,182	169	183
123	15,16,5,11	292,126,170,208	5,5,4,12	161,184,141,168	169	183
124	3,1,2,1	5,7,11,3	0,1,0,1	1,4,2,7	123	186
125	3,6,6,4	35,43,34,51	11,6,3,9	29,16,15,49	144	138
127	16,13,3,16	8,3,1,2	2,3,1,3	3,2,3,3	195	162
128	18,29,34,26	10,4,3,5	19,11,10,33	4,3,6,6	249	162
129	14,10,13,4	7,3,1,3	9,6,5,8	3,2,4,3	156	162
130	13,5,10,3	8,9,13,8	9,10,6,10	6,3,4,11	156	249
131	43,36,20,34	8,3,12,4	22,21,17,34	4,5,2,7	189	156
132	7,5,9,4	14,7,7,3	5,3,5,4	3,6,5,2	384	399
133	5,7,3,7	2,8,1,5	3,4,5,5	3,8,7,11	325	325
134	20,26,13,21	27,16,12,20	13,12,8,11	11,20,6,12	241	342
135	21,16,9,17	5,1,1,2	8,10,4,18	0,1,1,1	251	138
136	1,0,0,0	0,2,3,0	1,0,0,0	0,0,0,0	165	189
137	262,242,254,226	10,7,7,7	171,165,133,236	4,6,3,8	251	206
138	40,38,26,38	14,10,14,9	23,24,13,48	4,5,10,14	162	219
139	13,7,7,9	5,7,5,1	7,4,6,9	1,0,4,3	219	159
140	15,6,9,12	75,34,38,52	7,5,6,13	49,41,40,36	186	330
141	13,5,8,12	72,35,38,50	7,5,5,14	50,39,40,36	186	330
142	19,6,16,12	9,11,8,7	4,11,11,12	6,7,6,3	141	165
143	19,6,16,12	1,6,3,1	4,11,11,12	0,1,3,2	141	192
144	6,3,7,5	2,1,2,1	5,1,8,2	1,1,3,1	132	138
145	2,0,2,0	2,1,2,1	0,1,1,1	1,1,3,1	102	138
146	6,3,7,5	7,4,11,7	5,1,8,2	6,6,10,7	132	183
147	2,0,2,0	7,4,11,7	0,1,1,1	6,6,10,7	102	183
148	2,0,2,0	6,3,7,5	0,1,1,1	5,1,8,2	102	132
149	6,4,3,7	53,22,23,24	5,3,5,3	24,15,22,41	148	352
150	100,62,73,75	67,43,45,47	44,35,29,91	40,40,23,48	251	232
151	101,61,74,75	36,20,26,23	44,35,29,91	14,9,13,22	251	232
152	101,63,76,77	32,15,20,22	45,36,29,92	16,9,14,22	251	232
153	100,45,53,64	1337,893,750,822	57,36,40,79	672,637,532,985	232	3067
154	101,46,54,63	6,1,2,2	59,37,43,83	0,0,0,4	232	168
155	6,5,6,5	0,0,1,0	2,4,4,4	0,0,0,0	168	184
156	8,5,5,5	11,8,7,3	2,4,4,4	0,1,2,8	168	168
157	95,73,64,76	145,110,79,141	54,90,47,97	112,113,71,177	181	240
158	9,9,1,8	2,1,2,1	3,4,5,9	1,3,2,1	241	227
159	9,9,1,8	4,2,4,5	3,4,5,9	3,4,4,2	241	233
160	3,1,0,1	2,1,2,1	1,0,4,4	1,3,2,1	238	227
161	3,1,0,1	4,2,4,5	1,0,4,4	3,4,4,2	238	233
162	58,30,51,34	56,38,38,49	17,24,27,35	22,24,36,27	348	245
163	50,33,42,45	182,93,131,126	23,33,39,41	101,96,62,122	261	292
164	96,73,59,67	219,115,168,174	40,50,48,69	109,144,107,157	305	353
165	169,75,102,121	151,97,116,100	80,92,59,119	71,77,65,130	490	368
166	268,138,167,199	154,97,117,100	117,134,109,201	72,77,65,130	619	368
167	1,3,2,1	154,97,117,100	0,0,3,4	72,77,65,130	109	368
168	256,136,158,169	151,97,116,99	118,123,88,184	72,76,65,130	619	368
169	2,0,1,0	151,97,116,99	1,0,0,2	72,76,65,130	109	368
170	2,3,4,0	12,6,7,7	3,1,2,2	4,6,6,6	229	236
171	2,3,4,0	13,8,10,10	3,1,2,2	6,6,5,3	229	229
172	1,0,0,2	1,2,3,0	2,0,2,1	2,1,0,3	261	261
173	1,0,0,2	1,2,4,5	2,0,2,1	0,1,2,0	261	261
174	1,0,0,2	1,0,1,5	2,0,2,1	0,2,2,1	261	270
175	1,0,0,2	0,3,3,2	2,0,2,1	0,0,1,2	261	261
176	1,0,0,2	0,0,2,0	2,0,2,1	0,2,1,6	261	270
177	1,0,0,2	0,0,0,0	2,0,2,1	1,0,1,0	261	264
178	1,0,0,2	4,0,0,2	2,0,2,1	0,0,0,1	261	261
179	1,2,3,0	1,2,4,5	2,1,0,3	0,1,2,0	261	261
180	1,2,3,0	1,0,1,5	2,1,0,3	0,2,2,1	261	270
181	1,2,3,0	0,3,3,2	2,1,0,3	0,0,1,2	261	261
182	1,2,3,0	0,0,2,0	2,1,0,3	0,2,1,6	261	270
183	1,2,3,0	0,0,0,0	2,1,0,3	1,0,1,0	261	264
184	1,2,3,0	4,0,0,2	2,1,0,3	0,0,0,1	261	261
185	1,2,4,5	1,0,1,5	0,1,2,0	0,2,2,1	261	270
186	1,2,4,5	0,3,3,2	0,1,2,0	0,0,1,2	261	261
187	1,2,4,5	0,0,2,0	0,1,2,0	0,2,1,6	261	270
188	1,2,4,5	0,0,0,0	0,1,2,0	1,0,1,0	261	264
189	1,2,4,5	4,0,0,2	0,1,2,0	0,0,0,1	261	261
190	1,0,1,5	0,3,3,2	0,2,2,1	0,0,1,2	270	261
191	1,0,1,5	0,0,2,0	0,2,2,1	0,2,1,6	270	270
192	1,0,1,5	0,0,0,0	0,2,2,1	1,0,1,0	270	264
193	1,0,1,5	4,0,0,2	0,2,2,1	0,0,0,1	270	261
194	0,3,3,2	0,0,2,0	0,0,1,2	0,2,1,6	261	270
195	0,3,3,2	0,0,0,0	0,0,1,2	1,0,1,0	261	264
196	0,3,3,2	4,0,0,2	0,0,1,2	0,0,0,1	261	261
197	0,0,2,0	0,0,0,0	0,2,1,6	1,0,1,0	270	264
198	0,0,2,0	4,0,0,2	0,2,1,6	0,0,0,1	270	261
199	0,0,0,0	4,0,0,2	1,0,1,0	0,0,0,1	264	261
200	1,0,0,1	1,0,2,0	0,0,0,0	0,1,1,0	223	223
201	1,0,0,1	2,0,0,0	0,0,0,0	0,0,1,0	223	223
202	1,0,2,0	2,0,0,0	0,1,1,0	0,0,1,0	223	223
203	3,1,7,9	9,6,11,11	2,3,4,6	6,1,3,2	393	393
204	3,1,7,9	2,0,4,6	2,3,4,6	0,0,1,3	393	417
205	3,1,7,9	3,3,4,2	2,3,4,6	1,1,4,1	393	384
206	3,1,7,9	3,3,1,2	2,3,4,6	1,0,3,6	393	390
207	3,1,7,9	2,2,1,2	2,3,4,6	0,0,3,2	393	390
208	3,1,7,9	4,1,3,2	2,3,4,6	0,1,2,2	393	393
209	3,1,7,9	1,2,2,2	2,3,4,6	1,2,0,0	393	393
210	3,1,7,9	6,3,3,0	2,3,4,6	0,1,3,0	393	390
211	3,1,7,9	0,1,3,0	2,3,4,6	2,1,3,1	393	387
212	9,6,11,11	2,0,4,6	6,1,3,2	0,0,1,3	393	417
213	9,6,11,11	3,3,4,2	6,1,3,2	1,1,4,1	393	384
214	9,6,11,11	3,3,1,2	6,1,3,2	1,0,3,6	393	390
215	9,6,11,11	2,2,1,2	6,1,3,2	0,0,3,2	393	390
216	9,6,11,11	4,1,3,2	6,1,3,2	0,1,2,2	393	393
217	9,6,11,11	1,2,2,2	6,1,3,2	1,2,0,0	393	393
218	9,6,11,11	6,3,3,0	6,1,3,2	0,1,3,0	393	390
219	9,6,11,11	0,1,3,0	6,1,3,2	2,1,3,1	393	387
220	2,0,4,6	3,3,4,2	0,0,1,3	1,1,4,1	417	384
221	2,0,4,6	3,3,1,2	0,0,1,3	1,0,3,6	417	390
222	2,0,4,6	2,2,1,2	0,0,1,3	0,0,3,2	417	390
223	2,0,4,6	4,1,3,2	0,0,1,3	0,1,2,2	417	393
224	2,0,4,6	1,2,2,2	0,0,1,3	1,2,0,0	417	393
225	2,0,4,6	6,3,3,0	0,0,1,3	0,1,3,0	417	390
226	2,0,4,6	0,1,3,0	0,0,1,3	2,1,3,1	417	387
227	3,3,4,2	3,3,1,2	1,1,4,1	1,0,3,6	384	390
228	3,3,4,2	2,2,1,2	1,1,4,1	0,0,3,2	384	390
229	3,3,4,2	4,1,3,2	1,1,4,1	0,1,2,2	384	393
230	3,3,4,2	1,2,2,2	1,1,4,1	1,2,0,0	384	393
231	3,3,4,2	6,3,3,0	1,1,4,1	0,1,3,0	384	390
232	3,3,4,2	0,1,3,0	1,1,4,1	2,1,3,1	384	387
233	3,3,1,2	2,2,1,2	1,0,3,6	0,0,3,2	390	390
234	3,3,1,2	4,1,3,2	1,0,3,6	0,1,2,2	390	393
235	3,3,1,2	1,2,2,2	1,0,3,6	1,2,0,0	390	393
236	3,3,1,2	6,3,3,0	1,0,3,6	0,1,3,0	390	390
237	3,3,1,2	0,1,3,0	1,0,3,6	2,1,3,1	390	387
238	2,2,1,2	4,1,3,2	0,0,3,2	0,1,2,2	390	393
239	2,2,1,2	1,2,2,2	0,0,3,2	1,2,0,0	390	393
240	2,2,1,2	6,3,3,0	0,0,3,2	0,1,3,0	390	390
241	2,2,1,2	0,1,3,0	0,0,3,2	2,1,3,1	390	387
242	4,1,3,2	1,2,2,2	0,1,2,2	1,2,0,0	393	393
243	4,1,3,2	6,3,3,0	0,1,2,2	0,1,3,0	393	390
244	4,1,3,2	0,1,3,0	0,1,2,2	2,1,3,1	393	387
245	1,2,2,2	6,3,3,0	1,2,0,0	0,1,3,0	393	390
246	1,2,2,2	0,1,3,0	1,2,0,0	2,1,3,1	393	387
247	6,3,3,0	0,1,3,0	0,1,3,0	2,1,3,1	390	387
248	17,7,9,13	9,4,3,1	6,9,5,25	0,7,3,9	282	300
249	17,7,9,13	11,6,3,2	6,9,5,25	0,5,4,8	282	339
250	49,24,42,36	36,24,25,27	24,23,28,21	8,29,19,39	392	243
251	50,53,40,52	22,18,20,26	24,20,30,34	9,8,15,14	317	314
252	53,29,30,53	230,131,106,129	30,35,24,19	61,91,82,80	345	287
253	55,30,44,43	105,63,68,64	33,21,35,31	50,59,64,55	240	217
254	64,36,39,41	107,65,68,64	32,34,33,34	49,59,65,55	240	217
255	44,19,34,30	106,65,68,64	30,18,30,28	49,59,64,56	240	217
256	22,12,14,11	18,8,11,17	9,11,7,16	19,17,13,10	275	185
257	0,0,0,1	267,102,133,147	0,0,0,1	119,129,123,132	160	299
258	24,25,32,38	649,503,722,721	26,8,14,33	387,376,438,430	200	241
259	640,638,723,678	649,503,722,721	324,301,426,460	387,376,438,430	200	241
260	175,141,237,199	240,208,250,276	81,120,144,118	157,120,136,144	200	200
261	46,47,72,72	240,208,250,276	62,22,26,49	157,120,136,144	200	200
262	1272,1266,1525,1419	240,208,250,276	681,675,883,914	157,120,136,144	200	200
263	46,47,72,72	175,141,237,199	62,22,26,49	81,120,144,118	200	200
264	1272,1266,1525,1419	175,141,237,199	681,675,883,914	81,120,144,118	200	200
265	640,638,723,678	24,25,32,38	324,301,426,460	26,8,14,33	200	200
266	1272,1266,1525,1419	46,47,72,72	681,675,883,914	62,22,26,49	200	200
267	8,4,11,10	6,5,6,8	1,2,2,4	0,6,4,3	280	310
268	8,5,12,9	6,5,6,8	1,2,2,3	0,6,4,3	256	310
269	22,17,24,23	60,40,39,36	4,8,8,19	31,25,21,43	268	268
270	39,21,21,27	0,0,1,0	18,19,3,44	0,0,0,0	469	159
271	317,222,448,274	891,1226,1056,1117	172,268,233,303	637,531,598,1368	178	178
272	476,324,603,388	877,1286,1004,936	273,319,333,446	639,501,544,1439	217	220
273	1003,1244,1026,1057	97,87,57,96	630,507,676,1548	51,60,40,174	270	270
274	326,597,521,350	97,87,57,96	261,262,232,552	51,60,40,174	270	270
275	547,361,707,405	97,87,57,96	308,442,390,485	51,60,40,174	270	270
276	326,597,521,350	1003,1244,1026,1057	261,262,232,552	630,507,676,1548	270	270
277	547,361,707,405	1003,1244,1026,1057	308,442,390,485	630,507,676,1548	270	270
278	547,361,707,405	326,597,521,350	308,442,390,485	261,262,232,552	270	270
279	122,172,160,144	335,212,450,300	116,129,81,288	179,254,289,361	203	203
280	929,1223,1021,1062	335,212,450,300	584,489,628,1500	179,254,289,361	203	203
281	929,1223,1021,1062	122,172,160,144	584,489,628,1500	116,129,81,288	203	203
282	659,771,800,664	451,586,464,495	442,389,436,977	277,226,299,688	198	203
283	18,4,7,7	378,168,284,242	3,7,5,8	154,225,201,221	162	642
284	1315,974,1694,1698	111,60,60,91	1088,1019,1084,1371	67,77,69,93	220	202
