ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	11,10,6,6	0,0,1,0	8,10,3,8	0,0,0,1	194	99
1	9,10,7,2	1,1,0,0	4,12,5,5	0,1,0,0	192	99
2	5,1,7,5	3,0,2,1	7,9,4,7	0,0,0,0	312	99
3	19,8,8,15	27,14,14,32	6,12,8,9	14,18,34,26	184	99
5	6,3,7,18	0,1,0,0	1,7,7,12	0,0,0,0	537	99
7	2,1,1,1	1,0,1,2	0,0,0,0	1,1,1,2	197	99
8	1,0,1,0	0,1,0,0	0,0,0,0	0,1,0,1	180	99
9	0,1,1,0	0,1,0,0	0,0,0,0	0,0,0,1	167	99
11	143,72,69,72	6,4,6,2	60,91,95,66	7,4,5,4	252	99
12	10,6,11,8	1,2,0,0	4,9,4,12	0,0,2,0	157	99
13	57,41,50,43	4,3,5,2	21,9,34,48	0,0,1,7	501	99
14	23,17,22,12	4,3,2,1	4,5,9,16	0,0,2,1	167	99
15	14,17,17,12	0,2,0,1	4,7,9,15	1,1,2,1	164	99
16	18,29,32,19	1,2,2,1	7,12,14,19	2,2,0,0	208	99
17	20,23,20,12	1,1,0,0	7,10,6,15	0,0,1,0	185	99
18	110,75,97,95	3,6,5,9	90,88,72,113	3,3,2,4	177	99
19	5,7,2,1	1,0,0,2	3,1,0,0	1,0,0,0	188	99
20	3,4,1,1	3,2,2,0	1,3,6,2	1,0,0,0	233	99
21	22,19,12,9	0,1,0,0	11,11,21,15	1,0,0,2	635	99
22	8,8,4,1	0,0,0,0	2,2,3,1	1,1,0,0	179	99
23	20,13,9,16	0,0,0,2	8,18,10,18	1,1,0,0	150	99
24	23,15,10,17	3,3,1,6	12,19,11,22	3,5,6,1	165	99
25	240,136,161,161	33,10,18,18	118,114,102,140	16,18,13,11	176	99
26	32,9,19,11	76,31,46,25	14,15,11,11	36,39,40,26	162	99
27	63,34,28,47	2,0,0,0	31,30,25,45	0,1,0,1	217	99
28	85,51,34,58	0,1,1,1	41,31,33,50	0,0,0,1	165	99
29	20,18,26,15	1,1,0,1	15,18,6,30	1,2,0,0	191	99
30	3,0,1,0	1,0,0,0	4,1,6,0	0,1,0,2	409	99
31	13,11,7,8	7,4,4,4	3,6,18,3	0,1,3,2	175	99
32	43,33,19,23	4,1,3,2	19,25,22,28	0,1,1,2	156	99
33	37,14,19,21	1,0,0,0	18,21,20,15	0,0,0,0	162	99
34	85,71,70,79	2,2,2,4	86,54,74,116	4,3,2,6	176	99
35	81,68,67,76	12,10,4,9	83,52,73,111	8,4,3,7	166	99
36	170,118,100,121	2,0,1,2	52,60,76,102	0,1,2,1	377	99
37	5,6,5,7	1,2,1,4	5,4,5,16	2,2,2,1	183	99
38	30,10,15,11	3,1,1,2	6,25,11,31	1,2,0,9	270	99
39	7,5,7,2	2,1,1,1	1,5,8,4	0,3,1,7	281	99
40	31,13,15,29	2,1,1,3	22,20,6,32	2,1,0,0	196	99
42	56,24,26,52	1,3,1,0	26,27,23,48	0,0,0,1	180	99
44	142,110,67,88	12,8,7,12	29,59,100,51	2,9,9,2	261	99
45	13,10,9,4	24,20,21,31	6,5,8,8	11,15,12,14	201	99
46	95,30,48,87	1,4,0,0	64,75,25,118	0,1,3,6	163	99
48	55,39,45,55	6,2,0,3	29,30,22,34	3,1,1,1	268	99
49	9,5,4,1	1,1,2,0	1,8,7,3	1,0,0,1	400	99
50	21,4,11,9	625,318,303,317	6,14,18,11	300,307,288,482	171	99
51	25,22,16,29	2,0,1,1	11,23,17,17	0,0,1,0	185	99
52	32,13,19,27	3,0,1,1	14,19,24,12	0,0,0,4	219	99
53	52,23,32,49	4,3,1,6	27,26,44,31	0,4,1,0	483	99
54	1,0,2,0	0,0,0,1	3,0,3,1	0,0,0,0	189	99
56	146,111,69,64	13,6,10,10	72,70,61,139	9,6,1,11	195	99
58	60,28,27,62	0,1,0,3	35,35,22,50	0,1,0,0	168	99
59	2,1,4,0	1,1,0,0	1,1,1,0	0,0,0,0	159	99
60	20,4,29,22	3,3,1,3	13,12,16,19	1,0,1,2	340	99
62	0,0,1,0	3,1,5,3	0,0,0,0	2,0,2,3	168	99
63	21,15,21,27	1,3,3,1	13,20,17,27	1,0,0,1	559	99
64	8,5,5,12	0,0,0,0	6,8,9,12	0,0,1,2	172	99
67	2,2,1,2	0,1,0,0	0,3,1,2	0,0,0,0	348	99
69	54,25,38,42	10,5,7,5	29,22,36,31	1,3,3,0	161	99
70	328,440,455,300	1,4,3,4	199,206,200,511	0,1,3,2	279	99
71	34,28,30,31	5,0,2,1	21,17,26,17	1,5,1,2	172	99
72	101,68,66,54	6,3,7,3	51,25,32,55	1,4,2,4	654	99
73	19,14,21,14	15,21,12,9	6,4,17,10	5,6,14,12	441	99
74	13,9,12,10	1,0,2,0	6,2,13,7	0,0,1,1	335	99
75	339,227,208,258	5,2,1,7	130,192,126,173	1,2,1,1	511	99
76	11,0,5,3	13,7,4,5	5,2,4,5	7,4,2,12	170	99
77	24,12,13,19	7,0,4,2	13,6,8,4	2,1,1,2	181	99
78	27,14,18,23	2,4,2,1	13,9,10,5	1,1,3,4	223	99
79	50,17,23,32	2,0,0,1	31,20,21,16	0,0,0,1	801	99
80	7,6,4,1	0,0,1,0	0,1,1,1	1,0,1,2	237	99
81	5,4,4,0	3,0,0,0	0,1,1,1	0,0,0,0	159	99
83	18,9,7,10	15,7,15,3	5,6,7,6	4,14,6,6	204	99
84	37,19,22,23	10,4,6,6	17,22,20,16	8,8,6,4	219	99
87	15,7,11,7	5,0,0,2	9,9,4,9	1,1,0,2	195	99
88	3,0,2,1	22,10,16,16	0,3,0,1	16,7,13,16	168	99
89	0,9,3,4	4,4,1,2	0,1,3,4	1,4,1,3	264	99
93	41,23,29,36	2,2,0,1	16,31,15,30	0,0,0,0	153	99
94	63,26,20,28	0,1,0,1	29,20,31,25	1,0,0,1	261	99
95	74,83,103,105	0,0,7,3	48,64,76,52	6,4,2,1	262	99
96	60,46,46,37	7,1,0,2	24,40,30,51	0,0,0,2	174	99
97	53,50,41,30	2,1,0,0	36,28,22,26	0,0,0,1	156	99
98	53,51,41,30	2,0,3,0	36,28,22,26	1,0,0,1	159	99
99	3,1,4,3	1,0,0,0	0,2,6,4	1,0,0,0	330	99
102	8,2,7,7	7,0,1,1	1,0,3,4	0,0,0,1	258	99
103	12,7,2,5	0,0,0,0	4,1,2,3	0,1,0,0	177	99
104	4,1,1,8	5,1,4,5	0,1,2,2	4,6,2,4	173	99
105	4,3,3,3	1,0,0,0	2,1,1,0	0,0,0,0	174	99
106	99,43,56,91	1,0,4,1	32,63,39,53	0,0,1,5	202	99
107	2,0,2,1	3,2,2,0	0,0,2,4	3,0,1,1	159	99
109	70,52,36,74	27,14,7,23	39,45,55,40	11,13,12,8	402	99
111	22,4,11,13	0,0,0,0	8,13,11,10	0,0,1,0	270	99
112	49,40,24,40	0,0,0,0	15,32,18,31	0,0,0,1	3185	99
113	7,0,1,0	0,0,1,0	1,3,0,4	0,0,1,1	213	99
114	3,0,1,0	1,0,0,0	1,1,0,2	1,1,0,0	148	99
115	7,0,1,0	1,1,0,0	1,3,0,4	1,0,0,0	224	99
117	10,6,1,6	1,3,1,0	0,0,1,3	1,0,0,0	713	99
119	18,13,27,17	1,0,0,0	16,15,19,22	0,2,0,0	786	99
120	6,4,3,8	4,0,0,0	1,8,7,4	0,0,1,1	161	99
121	32,28,26,26	4,6,6,3	15,11,17,16	2,4,5,7	213	99
122	50,36,36,40	1,0,0,0	23,22,26,36	0,1,0,0	277	99
123	22,12,30,15	5,2,5,0	9,13,18,25	1,2,1,9	1621	99
124	4,1,3,7	14,11,18,10	4,2,1,3	5,8,7,14	183	99
126	0,2,0,2	0,0,0,2	0,3,1,1	0,0,1,0	239	99
127	12,4,11,9	1,0,0,0	5,7,3,5	0,0,0,0	654	99
128	2,1,5,4	0,0,1,0	0,0,2,2	0,0,0,0	340	99
130	11,10,13,5	0,0,2,0	3,6,8,5	0,0,1,1	275	99
131	8,8,12,4	4,4,4,3	2,5,7,4	3,5,1,3	260	99
133	62,57,32,32	4,6,5,0	35,32,33,31	0,3,3,3	184	99
134	41,27,27,34	3,0,0,0	17,18,17,29	1,0,1,0	180	99
135	51,36,35,43	11,7,6,4	23,23,27,35	1,1,2,6	234	99
136	57,27,29,48	2,5,0,1	45,20,14,42	0,2,1,3	187	99
137	375,202,193,275	1,0,0,0	194,194,159,243	0,1,0,0	605	99
138	43,19,7,16	0,1,0,1	11,15,10,27	2,0,0,0	159	99
139	5,1,3,4	115,68,53,76	3,4,3,3	54,46,52,65	183	99
140	0,0,0,1	0,0,0,0	0,0,0,0	0,0,0,1	161	99
141	4,4,2,3	1,1,1,0	4,6,6,5	1,0,1,0	172	99
142	40,18,22,19	3,0,0,1	22,28,17,24	1,2,1,3	174	99
143	1,4,2,3	0,1,0,0	2,2,2,1	0,0,0,0	181	99
145	7,11,4,6	6,0,0,2	3,2,8,9	1,0,1,2	194	99
146	3,3,3,1	0,0,0,1	6,5,0,11	0,0,1,0	177	99
147	75,46,106,105	6,4,4,4	71,73,65,69	7,4,3,6	738	99
148	51,28,16,25	3,1,2,0	13,26,23,21	0,1,6,2	162	99
149	32,9,9,27	4,1,3,2	21,5,13,10	0,0,2,1	169	99
150	3,10,3,6	2,1,0,0	4,2,5,2	1,1,3,0	579	99
152	24,29,29,22	17,8,9,9	18,11,16,23	5,1,7,3	174	99
153	48,45,32,56	1,0,1,0	41,37,43,29	0,0,1,1	969	99
154	18,7,6,7	3,0,0,1	7,8,14,8	0,1,1,0	199	99
155	147,96,73,103	2,1,0,0	89,73,112,59	0,1,0,0	1610	99
156	88,42,38,42	3,4,3,5	42,31,62,28	3,3,2,1	538	99
157	35,18,11,20	4,3,0,0	21,15,21,10	0,0,3,2	185	99
163	13,6,1,3	4,2,1,2	1,1,8,14	0,2,3,4	221	99
164	9,2,0,2	1,2,2,0	1,1,6,9	0,2,2,3	179	99
165	62,33,44,38	1,0,1,0	34,24,30,30	2,3,0,1	391	99
166	4,0,0,0	0,0,0,0	1,0,0,0	1,0,0,0	183	99
167	0,0,1,0	0,0,0,0	3,1,0,0	1,0,0,0	166	99
168	13,5,13,7	1,1,0,1	2,7,4,2	0,0,0,0	229	99
169	40,18,28,29	2,1,3,1	9,31,13,14	2,1,3,2	313	99
170	32,27,38,22	6,0,2,2	20,35,20,19	0,0,1,1	173	99
171	33,27,38,22	3,1,2,3	20,35,20,19	0,0,0,1	180	99
172	90,42,33,45	6,1,0,0	33,28,38,51	0,0,1,1	165	99
174	4,5,10,12	0,1,0,1	0,7,7,8	0,0,0,1	180	99
175	8,7,7,5	11,7,8,5	7,4,6,8	2,7,5,6	171	99
176	65,35,48,21	0,0,0,1	22,37,39,34	0,0,0,0	891	99
178	67,51,34,65	6,5,3,2	18,34,29,40	0,1,0,1	366	99
179	45,33,41,22	2,2,0,1	12,21,18,26	3,2,0,5	750	99
180	32,19,33,15	2,1,4,1	7,15,13,16	1,2,1,2	615	99
182	200,134,83,126	1,1,0,0	82,127,87,129	1,1,2,1	792	99
183	142,93,60,98	2,0,0,0	57,91,67,83	1,2,0,0	620	99
184	89,63,43,73	3,9,3,7	38,64,50,56	2,2,1,8	491	99
185	33,19,17,23	4,1,1,3	14,19,23,27	0,3,1,4	192	99
186	301,182,131,172	1,1,0,0	116,169,126,181	0,0,0,1	1019	99
187	190,111,91,119	7,1,3,1	72,106,89,108	4,1,0,5	718	99
188	134,67,65,69	4,0,2,0	48,61,62,79	0,0,1,1	419	99
190	40,26,34,35	43,20,24,30	19,23,51,27	18,17,21,20	185	99
191	115,70,90,87	5,1,0,0	53,76,91,131	1,1,4,1	415	99
192	102,62,81,78	1,0,0,0	49,70,84,118	0,2,1,2	386	99
193	1,0,0,1	0,0,1,0	0,0,0,1	0,0,0,0	185	99
194	367,194,241,279	5,0,5,4	167,184,191,218	3,4,1,3	255	99
195	140,48,59,93	7,1,5,7	77,51,79,61	0,4,3,2	669	99
196	160,53,66,98	21,11,13,9	81,60,85,66	9,7,6,9	708	99
197	2,0,2,2	0,0,2,1	0,2,1,2	2,0,1,2	217	99
198	50,32,25,34	0,0,1,0	17,9,20,31	0,0,0,0	3349	99
199	2,12,4,3	0,2,0,1	0,4,3,2	0,0,0,1	219	99
200	0,3,2,1	0,0,1,0	0,0,0,3	0,0,0,1	179	99
202	11,10,5,9	4,3,1,0	7,3,2,10	0,0,1,0	519	99
203	3,0,0,1	20,6,6,4	1,0,2,0	7,14,5,7	174	99
204	86,86,106,78	0,1,4,0	71,49,67,104	0,0,1,1	351	99
205	2,3,0,1	76,50,25,49	2,2,0,3	39,38,40,48	177	99
206	29,29,24,19	0,0,0,0	14,25,20,10	1,0,0,1	215	99
207	899,528,674,647	1,0,0,0	513,560,389,612	0,0,0,0	1015	99
209	3,3,2,2	1,0,0,0	2,3,5,5	0,0,0,0	383	99
210	1,4,4,3	2,0,2,0	3,1,0,2	2,0,1,0	201	99
211	5,2,2,4	0,0,1,0	0,1,6,10	0,0,0,2	376	99
215	15,11,5,13	1,0,0,1	7,11,18,12	0,0,0,0	262	99
216	26,13,9,19	0,1,0,2	13,11,10,10	0,1,0,1	217	99
217	12,3,1,7	2,0,1,0	7,1,5,6	0,1,0,1	194	99
218	8,6,5,3	1,0,0,1	2,8,8,10	0,0,0,3	183	99
220	1,1,1,4	1,4,1,0	0,0,0,0	1,1,0,0	184	99
221	8,7,0,7	0,0,1,0	4,2,1,5	0,0,1,3	167	99
222	35,26,26,15	0,0,1,2	15,19,34,15	0,1,2,1	419	99
224	23,13,11,11	6,2,1,4	17,12,9,13	2,3,4,5	213	99
225	7,7,2,8	9,2,2,5	1,1,0,5	4,9,2,4	169	99
226	1,4,4,4	30,14,4,8	0,2,5,0	13,8,10,6	171	99
227	152,57,81,94	7,3,3,4	77,73,64,65	3,2,1,3	300	99
228	5,1,3,6	1,0,0,0	2,4,1,2	0,0,0,0	157	99
229	6,4,0,6	1,0,1,1	4,7,1,3	1,3,0,0	190	99
230	16,6,7,4	0,0,1,0	0,3,7,8	0,0,0,0	184	99
231	0,2,2,4	2,0,0,0	0,0,0,1	1,0,1,1	162	99
232	8,2,2,9	3,2,2,2	2,1,5,2	1,2,1,1	238	99
235	12,2,5,3	1,1,0,0	6,6,5,2	0,0,1,0	168	99
236	12,2,2,7	0,0,0,1	2,4,2,2	0,0,0,0	209	99
237	3,4,5,2	3,0,0,0	2,3,2,1	1,1,0,0	163	99
239	3,1,5,4	9,12,1,3	2,1,1,4	2,0,1,9	186	99
240	8,1,9,5	4,0,0,0	1,5,2,4	1,0,0,0	176	99
241	46,21,28,22	5,1,2,3	25,31,18,18	8,0,0,0	198	99
242	4,1,0,1	0,0,0,1	0,0,1,0	0,0,0,0	177	99
244	279,174,168,161	4,3,2,3	96,129,135,141	3,0,2,1	184	99
245	329,201,209,191	47,28,28,24	112,158,171,177	16,27,26,20	230	99
246	5,3,2,5	0,0,0,0	1,1,2,3	0,0,1,0	181	99
247	0,1,0,1	2,0,3,0	0,0,0,0	1,0,0,0	179	99
248	6,4,6,6	3,0,0,1	3,7,6,3	3,0,1,3	162	99
249	1,1,2,0	10,1,6,4	1,0,0,1	3,3,4,1	177	99
250	45,17,28,32	0,0,0,0	25,22,15,33	1,1,3,1	183	99
252	51,37,29,28	3,2,3,1	35,27,13,29	0,2,1,3	178	99
253	72,54,44,56	4,4,4,3	42,26,25,61	1,3,0,8	171	99
254	36,20,16,23	0,0,1,0	12,15,9,20	0,0,0,0	193	99
255	65,45,34,45	0,0,0,0	24,30,24,48	0,1,0,0	523	99
256	20,8,3,8	1,0,0,0	10,2,6,6	0,1,0,1	173	99
259	48,30,28,37	0,1,0,0	25,44,42,15	0,0,0,0	255	99
260	5,6,3,0	30,19,27,23	0,5,4,5	15,23,10,21	186	99
261	50,34,25,44	3,0,3,3	23,23,24,20	0,0,1,1	168	99
262	94,70,71,83	11,6,1,2	54,57,39,43	4,2,3,5	330	99
