ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	11,1,6,3	2,0,1,0	7,7,9,6	0,0,0,1	178	99
3	210,83,113,110	1,0,0,0	98,96,120,103	0,1,0,0	233	99
4	2,0,0,0	1,0,2,6	2,0,0,1	1,2,0,5	219	99
5	96,42,39,51	0,0,1,0	37,41,36,55	0,0,0,0	224	99
6	17,11,8,11	0,0,1,0	15,11,14,12	0,0,0,0	112	99
7	61,27,27,34	0,1,0,0	28,37,29,36	0,0,0,0	236	99
8	114,81,58,114	34,19,24,24	42,70,70,68	10,21,9,12	220	99
9	1671,1052,1133,1274	0,0,0,1	757,851,931,1099	0,0,0,0	266	99
10	0,3,2,0	1,0,0,0	1,1,1,4	0,0,0,0	280	99
12	102,71,57,76	0,0,0,0	67,97,69,88	2,0,0,0	327	99
13	78,39,38,49	0,0,0,0	45,45,22,92	1,0,0,1	339	99
14	204,123,127,102	1,0,0,0	83,95,64,167	0,2,1,1	261	99
15	2,0,0,1	0,0,0,0	1,2,6,0	0,0,1,0	195	99
16	0,0,2,0	1,1,2,1	0,0,0,1	1,0,3,1	160	99
17	0,0,0,0	0,1,0,0	0,0,0,1	0,2,0,0	160	99
18	2,0,2,1	0,0,0,0	2,0,0,1	0,0,0,1	166	99
19	323,127,131,185	0,0,0,0	157,197,142,165	0,0,1,0	317	99
21	18,7,15,12	52,43,40,37	13,19,10,14	26,29,25,32	208	99
22	5,1,4,2	2,1,2,0	2,1,1,2	0,0,0,0	147	99
23	10,6,7,6	5,0,2,1	1,4,4,5	1,0,0,0	126	99
24	8,6,6,5	12,1,4,6	2,2,1,1	1,4,2,5	237	99
25	8,8,11,7	12,1,4,6	4,4,1,1	1,4,2,5	225	99
26	3,4,2,2	10,6,8,14	0,2,4,7	4,7,6,6	243	99
27	21,11,11,24	0,0,1,0	9,15,9,14	0,0,0,0	245	99
28	2,0,5,2	2,0,0,0	0,2,0,0	0,0,0,3	153	99
30	6,1,4,1	16,3,3,8	1,1,3,6	2,4,6,0	168	99
31	2,1,3,0	16,3,3,8	1,0,2,1	2,4,6,0	147	99
32	16,3,5,10	2,0,0,3	6,8,8,3	0,1,0,1	189	99
33	20,9,14,8	2,1,3,3	6,6,9,3	4,5,3,4	162	99
34	55,21,26,25	0,0,0,0	9,21,7,14	0,0,0,1	325	99
35	1,0,1,0	12,7,6,11	0,0,0,0	1,8,3,7	152	99
36	0,1,1,0	3,3,2,2	0,1,0,0	1,0,1,2	152	99
37	21,14,11,17	3,3,2,2	3,12,6,11	1,0,1,2	206	99
38	10,7,5,6	0,1,0,0	2,4,3,4	0,1,0,0	206	99
39	292,169,201,208	0,0,1,0	147,169,132,180	0,0,0,0	638	99
40	254,144,174,182	1,1,2,1	134,145,114,155	0,0,3,0	638	99
41	280,169,194,205	0,0,1,0	143,163,134,180	0,0,0,0	632	99
42	242,144,167,179	1,1,2,1	130,139,116,155	0,0,3,0	632	99
43	1,0,0,0	1,1,2,1	0,0,0,0	0,0,3,0	175	99
44	25,19,23,19	1,1,0,0	6,22,16,22	0,0,1,0	175	99
45	105,56,78,60	1,0,0,0	44,49,60,83	0,0,0,0	285	99
46	2,1,0,0	5,1,0,5	0,0,0,3	7,4,2,8	209	99
47	2,1,0,0	5,1,0,5	1,0,0,2	7,4,2,8	144	99
48	15,11,4,11	1,0,2,3	3,6,2,10	2,0,0,3	231	99
49	120,60,86,73	1,0,0,0	89,84,92,97	0,0,0,0	264	99
50	0,1,4,0	0,0,1,0	0,0,0,4	0,0,0,0	201	99
51	11,6,7,7	1,0,0,0	7,10,5,8	0,0,0,0	166	99
52	8,2,5,3	0,1,1,0	4,3,2,5	0,0,0,2	166	99
53	9,8,6,5	1,0,0,0	5,3,3,10	0,0,0,0	234	99
54	27,21,22,33	0,1,0,1	30,28,30,26	0,0,0,0	397	99
55	0,1,0,1	0,0,0,0	1,0,0,2	1,2,0,1	110	99
56	5,3,7,4	0,0,0,0	3,2,1,7	1,2,0,1	167	99
57	10,4,6,5	0,0,0,0	6,1,4,6	1,2,0,1	170	99
58	149,68,56,64	0,0,0,1	54,80,71,42	0,0,0,0	181	99
