"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114882409",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114882197",90.7013337683542,-0.940998357747867,1.18753839810587,0.600163093765261,NA,NA
"LOC114882400",0.418823431726945,-1.69074347707499,3.77708564943727,0.383190699713754,0.535900555225658,0.672180701777612
"LOC114882450",0,NA,NA,NA,NA,NA
"LOC114882529",0,NA,NA,NA,NA,NA
"LOC114881840",0.385051331315735,1.74723095177756,3.75144406189812,0.384376423965607,0.535270304707523,0.671918317118436
"LOC114881926",0.404946892039002,-1.72861970978039,3.77487545846686,0.408963443635969,0.522496089789679,0.66221589695082
"LOC114881508",0.379212730644501,-0.229102618851479,3.7884763230667,-0.00313775557524032,1,1
"LOC114882196",0,NA,NA,NA,NA,NA
"LOC114882174",0,NA,NA,NA,NA,NA
"LOC114881430",0,NA,NA,NA,NA,NA
"LOC114882340",0,NA,NA,NA,NA,NA
"LOC114882205",0,NA,NA,NA,NA,NA
"LOC114881943",0,NA,NA,NA,NA,NA
"LOC114882170",0,NA,NA,NA,NA,NA
"LOC114881685",0.210301590764734,0.831329646968738,3.79924475815992,0.0591491175886816,0.807845884111657,0.878881837258226
"LOC114881598",1.19844524647251,-2.02785700785188,1.87985689599434,1.15695730615166,0.28209746329632,0.428044523880579
"LOC114882330",0,NA,NA,NA,NA,NA
"LOC114881776",0,NA,NA,NA,NA,NA
"LOC114881563",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114882349",0.930778996060449,-2.85247554016652,3.52087459641366,0.886918209612158,0.346313812441094,0.497848535035137
"LOC114882280",0,NA,NA,NA,NA,NA
"LOC114882315",0,NA,NA,NA,NA,NA
"LOC114882510",7.34953511763861,0.379386540487959,1.08094011579429,0.124108976186911,0.724620007754865,0.819591606814461
"LOC114881989",0,NA,NA,NA,NA,NA
"LOC114882517",0,NA,NA,NA,NA,NA
"LOC114881965",0,NA,NA,NA,NA,NA
"LOC114881918",0,NA,NA,NA,NA,NA
"LOC114881864",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114881514",0,NA,NA,NA,NA,NA
"LOC114881513",0,NA,NA,NA,NA,NA
"LOC114881437",0.175507957291628,1.3483877421589,3.80757800704809,0.204489937982926,0.651120847765108,NA
"LOC114881438",0,NA,NA,NA,NA,NA
"LOC114881569",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114882249",0.435127216709248,-1.79970415597094,3.77039263020827,0.427065313923922,0.5134324786239,0.654274158659782
"LOC114882592",22.1853753705905,0.507686671369213,0.600235756129294,0.718342552660204,0.396688120631902,0.547499659591201
"LOC114881156",0,NA,NA,NA,NA,NA
"LOC114881157",0,NA,NA,NA,NA,NA
"LOC114882432",0,NA,NA,NA,NA,NA
"LOC114882149",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114882343",0,NA,NA,NA,NA,NA
"LOC114881762",0,NA,NA,NA,NA,NA
"LOC114882246",0,NA,NA,NA,NA,NA
"LOC114882404",0.0711037004274653,-0.456663196882932,3.79515400640186,-0.168876392275856,1,NA
"LOC114882547",0,NA,NA,NA,NA,NA
"LOC114882472",6.81076680635741,0.0761993660372243,1.21302786637711,0.00491433142646258,0.944112241970403,0.96603069988178
"LOC114882165",0.0711037004274653,-0.456663196882932,3.79515400640186,-0.168876392275856,1,NA
"LOC114882337",5.45832361346593,-0.257223185456462,0.808596782534477,0.102968215545296,0.748296322566487,0.836650472279153
"LOC114882604",0.949229173323072,-1.70374780028076,2.17022887296822,0.635676627656593,0.425280702799164,0.575300492401892
"LOC114881623",1.11266814801843,-0.622505595152158,2.00100773300601,0.0984300588402931,0.753721821126944,0.840584794628633
"LOC114881239",0.270891383675223,-1.28817190970002,3.7878031390227,0.222339392467696,0.637263170842611,0.754061911718871
"LOC114882020",0.798553617590567,0.149795217944338,2.88515026655482,0.00396155676984833,0.949813566679355,0.968254728457474
"LOC114882302",0,NA,NA,NA,NA,NA
"LOC114881601",0.355871623790631,-1.46263504473711,3.78482707109441,0.301355336179123,0.583033991732766,0.709019421460688
"LOC114882188",0,NA,NA,NA,NA,NA
"LOC114882240",0,NA,NA,NA,NA,NA
"LOC114882051",0.142207400854931,-0.891131123796066,3.79083577528955,0.058597638527667,0.808726317822419,NA
"LOC114882052",1.06774234567083,-3.13022293242417,2.46722468943409,1.94568488417248,0.163052605415955,0.282743408579104
"LOC114882538",0,NA,NA,NA,NA,NA
"LOC114882047",0,NA,NA,NA,NA,NA
"LOC114881939",0,NA,NA,NA,NA,NA
"LOC114882054",0.541893488599235,1.36526720825503,3.06033938792623,0.203768205307316,0.651696298479977,0.76527281307679
"LOC114881715",0,NA,NA,NA,NA,NA
"LOC114882451",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114882462",0.164235833034025,-0.542580666890163,3.79420509051428,-0.0378284967724571,1,NA
"LOC114882009",0,NA,NA,NA,NA,NA
"LOC114882091",0,NA,NA,NA,NA,NA
"LOC114882558",86.6173113102224,-0.935520571464064,0.751764519218536,1.48575746715959,0.222875881263423,0.357800742117962
"LOC114882147",0,NA,NA,NA,NA,NA
