GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005840	ribosome	108	75	51.4	1.3e-05	6.8e-07	0.001027	1.3429999999999998e-5
GO:0044391	ribosomal subunit	26	19	12.38	0.0026	0.00258	0.1027	0.020382
GO:0044815	DNA packaging complex	29	10	13.8	0.0050	0.28794	0.1027	0.6960997222222223
GO:0005634	nucleus	424	224	201.81	0.0052	0.00894	0.1027	0.054327692307692306
GO:0005739	mitochondrion	97	58	46.17	0.0097	0.00024	0.15326	0.002106666666666667
GO:0098798	mitochondrial protein complex	30	20	14.28	0.0186	0.01864	0.24489999999999998	0.09817066666666667
GO:0000228	nuclear chromosome	31	16	14.75	0.0314	0.20329	0.345625	0.5948114814814816
GO:0016469	proton-transporting two-sector ATPase complex	22	14	10.47	0.0350	0.03495	0.345625	0.15339166666666668
GO:0005743	mitochondrial inner membrane	34	19	16.18	0.0441	0.04407	0.38710000000000006	0.18323842105263158
GO:0031226	intrinsic component of plasma membrane	27	12	12.85	0.0817	0.88715	0.5168857142857143	1
GO:0005694	chromosome	83	40	39.5	0.0821	0.49546	0.5168857142857143	0.9319366666666666
GO:0032993	protein-DNA complex	28	9	13.33	0.0869	0.57290	0.5168857142857143	1
GO:0005740	mitochondrial envelope	54	33	25.7	0.0902	0.01337	0.5168857142857143	0.075445
GO:0043231	intracellular membrane-bounded organelle	610	332	290.34	0.0916	1.8e-06	0.5168857142857143	2.844e-5
GO:0000151	ubiquitin ligase complex	24	14	11.42	0.1189	0.11894	0.6262066666666667	0.4271027272727273
GO:0110165	cellular anatomical entity	1981	944	942.88	0.1331	0.30111	0.6571812499999999	0.6960997222222223
GO:0031248	protein acetyltransferase complex	23	11	10.95	0.1429	0.75414	0.664064705882353	1
GO:0005875	microtubule associated complex	23	12	10.95	0.1833	0.18327	0.6698541666666666	0.5791332
GO:0031966	mitochondrial membrane	48	28	22.85	0.1907	0.04694	0.6698541666666666	0.18541300000000002
GO:0098588	bounding membrane of organelle	61	35	29.03	0.1981	0.19809	0.6698541666666666	0.5948114814814816
GO:0070013	intracellular organelle lumen	134	68	63.78	0.1988	0.25949	0.6698541666666666	0.6612809677419355
GO:0043232	intracellular non-membrane-bounded organelle	306	174	145.64	0.2016	0.00018	0.6698541666666666	0.0017775000000000002
GO:0015630	microtubule cytoskeleton	55	29	26.18	0.2028	0.13761	0.6698541666666666	0.4726604347826088
GO:0032991	protein-containing complex	642	323	305.57	0.2035	0.15983	0.6698541666666666	0.5261070833333333
GO:0031090	organelle membrane	128	65	60.92	0.2148	0.35441	0.678768	0.7367997368421053
GO:0031981	nuclear lumen	117	58	55.69	0.2305	0.47902	0.7003653846153847	0.922989756097561
GO:0031967	organelle envelope	69	42	32.84	0.2402	0.00583	0.7028074074074074	0.03838083333333333
GO:0005794	Golgi apparatus	42	23	19.99	0.3007	0.30071	0.8352933333333332	0.6960997222222223
GO:0099080	supramolecular complex	22	12	10.47	0.3164	0.31638	0.8352933333333332	0.6960997222222223
GO:0005783	endoplasmic reticulum	25	13	11.9	0.3172	0.31721	0.8352933333333332	0.6960997222222223
GO:0015629	actin cytoskeleton	32	17	15.23	0.3505	0.35051	0.8932096774193548	0.7367997368421053
GO:1990904	ribonucleoprotein complex	67	41	31.89	0.4126	0.02052	0.9906121212121213	0.1013175
GO:0005737	cytoplasm	400	202	190.39	0.4138	0.03342	0.9906121212121213	0.15339166666666668
GO:0098805	whole membrane	45	25	21.42	0.4338	0.43376	0.9915628571428572	0.8786420512820512
GO:0098796	membrane protein complex	121	65	57.59	0.4393	0.22440	0.9915628571428572	0.6331285714285715
GO:0019866	organelle inner membrane	36	20	17.13	0.4944	0.06545	1	0.24621666666666664
GO:0005622	intracellular	1132	589	538.79	0.5059	5.6e-08	1	1.4746666666666666e-6
GO:0005829	cytosol	20	10	9.52	0.5454	0.54545	1	1
GO:1902494	catalytic complex	185	84	88.05	0.5724	0.82928	1	1
GO:0030117	membrane coat	23	11	10.95	0.5962	0.59617	1	1
GO:0005654	nucleoplasm	86	40	40.93	0.6121	0.77057	1	1
GO:0000786	nucleosome	26	7	12.38	0.6259	0.62592	1	1
GO:0031982	vesicle	41	17	19.51	0.6610	0.65655	1	1
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	32	11	15.23	0.6764	0.97256	1	1
GO:0031410	cytoplasmic vesicle	39	17	18.56	0.7079	0.70792	1	1
GO:0030880	RNA polymerase complex	23	10	10.95	0.7253	0.85543	1	1
GO:1990234	transferase complex	102	48	48.55	0.7286	0.76348	1	1
GO:1905368	peptidase complex	29	9	13.8	0.7704	0.99103	1	1
GO:0005576	extracellular region	88	36	41.88	0.7845	0.78447	1	1
GO:0061695	transferase complex, transferring phosphorus-containing groups	32	14	15.23	0.7847	0.92725	1	1
GO:0012505	endomembrane system	131	58	62.35	0.7912	0.89777	1	1
GO:0000123	histone acetyltransferase complex	21	9	10	0.7939	0.79393	1	1
GO:0055029	nuclear DNA-directed RNA polymerase complex	22	10	10.47	0.8150	0.81501	1	1
GO:0098797	plasma membrane protein complex	33	15	15.71	0.8395	0.83946	1	1
GO:0005886	plasma membrane	78	35	37.13	0.8493	0.94279	1	1
GO:0043229	intracellular organelle	884	480	420.75	0.8524	2.2e-09	1	1.7379999999999998e-7
GO:0000790	nuclear chromatin	21	8	10	0.8620	0.86204	1	1
GO:0005856	cytoskeleton	106	53	50.45	0.8741	0.44729	1	0.8833977500000001
GO:0043226	organelle	911	485	433.6	0.8741	3.5e-08	1	1.3825e-6
GO:0016592	mediator complex	21	10	10	0.8852	0.88515	1	1
GO:0071944	cell periphery	87	38	41.41	0.8972	0.98572	1	1
GO:0005667	transcription regulator complex	35	17	16.66	0.9287	0.92872	1	1
GO:0005887	integral component of plasma membrane	25	10	11.9	0.9663	0.96626	1	1
GO:0016021	integral component of membrane	499	216	237.51	0.9914	0.99307	1	1
GO:1905369	endopeptidase complex	20	6	9.52	0.9938	0.99383	1	1
GO:0005789	endoplasmic reticulum membrane	31	11	14.75	0.9964	0.99639	1	1
GO:0016020	membrane	978	433	465.49	0.9975	0.98935	1	1
GO:0043228	non-membrane-bounded organelle	306	174	145.64	1.0000	0.00018	1	0.0017775000000000002
GO:0097708	intracellular vesicle	39	17	18.56	1.0000	0.70792	1	1
GO:1902493	acetyltransferase complex	23	11	10.95	1.0000	0.75414	1	1
GO:0000785	chromatin	47	15	22.37	1.0000	0.80360	1	1
GO:0048475	coated membrane	23	11	10.95	1.0000	0.59617	1	1
GO:0043233	organelle lumen	134	68	63.78	1.0000	0.25949	1	0.6612809677419355
GO:0005575	cellular_component	2101	1000	1000	1.0000	1.00000	1	1
GO:0031224	intrinsic component of membrane	501	218	238.46	1.0000	0.99314	1	1
GO:0000428	DNA-directed RNA polymerase complex	22	10	10.47	1.0000	0.81501	1	1
GO:0031974	membrane-enclosed lumen	134	68	63.78	1.0000	0.25949	1	0.6612809677419355
GO:0031975	envelope	69	42	32.84	1.0000	0.00583	1	0.03838083333333333
GO:0043227	membrane-bounded organelle	657	346	312.71	1.0000	0.00016	1	0.0017775000000000002
