GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0031981	nuclear lumen	84	51	41.45	0.0048	0.0048	0.144	0.02742857142857143
GO:0032991	protein-containing complex	143	86	70.56	0.0169	0.0020	0.234	0.02742857142857143
GO:0005694	chromosome	61	37	30.1	0.0234	0.0234	0.234	0.0625
GO:1902494	catalytic complex	63	39	31.09	0.0616	0.0616	0.462	0.1232
GO:0043232	intracellular non-membrane-bounded organelle	101	60	49.84	0.1176	0.0052	0.6835714285714286	0.02742857142857143
GO:0043231	intracellular membrane-bounded organelle	249	129	122.87	0.1389	0.0078	0.6835714285714286	0.029249999999999998
GO:0016020	membrane	177	78	87.34	0.1595	0.9973	0.6835714285714286	1
GO:0071944	cell periphery	120	55	59.21	0.1994	0.9797	0.74775	1
GO:0070013	intracellular organelle lumen	89	53	43.92	0.2884	0.0064	0.8757272727272727	0.02742857142857143
GO:0005737	cytoplasm	269	134	132.74	0.2936	0.4441	0.8757272727272727	0.7012105263157895
GO:0005634	nucleus	179	96	88.33	0.3211	0.0133	0.8757272727272727	0.044333333333333336
GO:0005829	cytosol	109	53	53.79	0.3625	0.3625	0.90625	0.6397058823529411
GO:0030054	cell junction	54	31	26.65	0.3944	0.3944	0.910153846153846	0.6573333333333333
GO:0043229	intracellular organelle	280	147	138.17	0.4847	0.0173	1	0.0519
GO:0005622	intracellular	351	177	173.2	0.5689	0.0401	1	0.08592857142857142
GO:0012505	endomembrane system	62	30	30.59	0.5742	0.5742	1	0.8613000000000001
GO:0043227	membrane-bounded organelle	268	139	132.24	0.6293	0.0389	1	0.08592857142857142
GO:0042995	cell projection	60	32	29.61	0.7006	0.7425	1	1
GO:0120025	plasma membrane bounded cell projection	58	31	28.62	0.7403	0.7403	1	1
GO:0005576	extracellular region	72	30	35.53	0.8123	0.9283	1	1
GO:0043226	organelle	286	149	141.13	0.8405	0.0250	1	0.0625
GO:0005615	extracellular space	58	24	28.62	0.9222	0.9222	1	1
GO:0005886	plasma membrane	114	51	56.25	0.9986	0.9986	1	1
GO:0016021	integral component of membrane	106	48	52.31	0.9987	0.9987	1	1
GO:0031224	intrinsic component of membrane	108	48	53.29	0.9995	0.9987	1	1
GO:0043228	non-membrane-bounded organelle	101	60	49.84	1.0000	0.0052	1	0.02742857142857143
GO:0043233	organelle lumen	89	53	43.92	1.0000	0.0064	1	0.02742857142857143
GO:0005575	cellular_component	458	226	226	1.0000	1.0000	1	1
GO:0031974	membrane-enclosed lumen	89	53	43.92	1.0000	0.0064	1	0.02742857142857143
GO:0110165	cellular anatomical entity	448	221	221.07	1.0000	0.2015	1	0.3778125
