GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0034703	cation channel complex	10	6	1.88	0.0043	0.00433	0.3002	0.06581599999999999
GO:0005634	nucleus	183	29	34.41	0.0079	0.00392	0.3002	0.06581599999999999
GO:0098797	plasma membrane protein complex	21	9	3.95	0.0132	0.01317	0.3344	0.10685599999999999
GO:0005737	cytoplasm	162	30	30.46	0.0206	0.13521	0.3914	0.3568775757575757
GO:0015630	microtubule cytoskeleton	22	6	4.14	0.0297	0.48702	0.45144	0.6403367741935484
GO:0043231	intracellular membrane-bounded organelle	258	44	48.51	0.0519	0.00303	0.5252444444444444	0.06581599999999999
GO:0005654	nucleoplasm	43	8	8.09	0.0568	0.09541	0.5252444444444444	0.3022583333333333
GO:0016459	myosin complex	14	4	2.63	0.0587	0.05875	0.5252444444444444	0.26629555555555556
GO:0098796	membrane protein complex	51	17	9.59	0.0622	0.02670	0.5252444444444444	0.1844727272727273
GO:0005887	integral component of plasma membrane	17	5	3.2	0.0766	0.07661	0.58216	0.2772552380952381
GO:0030054	cell junction	13	5	2.44	0.0929	0.09289	0.62	0.3022583333333333
GO:0000151	ubiquitin ligase complex	15	3	2.82	0.1317	0.36491	0.62	0.5361377777777778
GO:0098588	bounding membrane of organelle	24	5	4.51	0.1342	0.13418	0.62	0.3568775757575757
GO:0031967	organelle envelope	25	6	4.7	0.1390	0.07084	0.62	0.269192
GO:0070603	SWI/SNF superfamily-type complex	11	2	2.07	0.1445	0.14452	0.62	0.3568775757575757
GO:0012505	endomembrane system	52	8	9.78	0.1481	0.42068	0.62	0.5813032727272728
GO:0005856	cytoskeleton	63	14	11.85	0.1490	0.09545	0.62	0.3022583333333333
GO:0005743	mitochondrial inner membrane	11	5	2.07	0.1538	0.15375	0.62	0.3568775757575757
GO:0098805	whole membrane	16	3	3.01	0.1550	0.15496	0.62	0.3568775757575757
GO:0031966	mitochondrial membrane	17	5	3.2	0.1691	0.03457	0.6425799999999999	0.18766571428571427
GO:0005789	endoplasmic reticulum membrane	13	2	2.44	0.1925	0.19246	0.6770909090909091	0.4063044444444444
GO:0005667	transcription regulator complex	27	7	5.08	0.1960	0.06307	0.6770909090909091	0.26629555555555556
GO:0031410	cytoplasmic vesicle	16	4	3.01	0.2228	0.22283	0.736208695652174	0.423377
GO:0000790	nuclear chromatin	14	3	2.63	0.2823	0.06038	0.8939499999999999	0.26629555555555556
GO:1990904	ribonucleoprotein complex	21	1	3.95	0.2966	0.29659	0.9016639999999999	0.5009075555555556
GO:0090575	RNA polymerase II transcription regulator complex	11	2	2.07	0.3096	0.30956	0.9049846153846153	0.5114469565217391
GO:0000123	histone acetyltransferase complex	13	0	2.44	0.3690	0.36903	1	0.5361377777777778
GO:0005886	plasma membrane	47	14	8.84	0.3883	0.04864	1	0.24644266666666667
GO:0071944	cell periphery	49	15	9.21	0.4069	0.03395	1	0.18766571428571427
GO:0030117	membrane coat	10	2	1.88	0.5222	0.52219	1	0.6403367741935484
GO:1902495	transmembrane transporter complex	12	6	2.26	0.5456	0.01406	1	0.10685599999999999
GO:0061695	transferase complex, transferring phosphorus-containing groups	14	1	2.63	0.5571	0.55706	1	0.66150875
GO:0043229	intracellular organelle	364	63	68.44	0.6092	0.00635	1	0.07762857142857144
GO:1990234	transferase complex	52	5	9.78	0.6151	0.62644	1	0.7324529230769231
GO:0016020	membrane	470	100	88.38	0.6649	0.24448	1	0.45318243902439026
GO:0043226	organelle	377	65	70.89	0.6822	0.00715	1	0.07762857142857144
