GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005737	cytoplasm	138	22	23.92	0.067	0.1392	0.7200000000000001	0.32508000000000004
GO:0043232	intracellular non-membrane-bounded organelle	55	10	9.53	0.082	0.0825	0.7200000000000001	0.32508000000000004
GO:0005634	nucleus	92	17	15.95	0.131	0.1306	0.7200000000000001	0.32508000000000004
GO:0005886	plasma membrane	65	16	11.27	0.181	0.1806	0.7200000000000001	0.32508000000000004
GO:0032991	protein-containing complex	77	16	13.35	0.237	0.2373	0.7200000000000001	0.35595
GO:0005622	intracellular	179	31	31.03	0.266	0.0037	0.7200000000000001	0.0666
GO:0071944	cell periphery	68	17	11.79	0.280	0.1506	0.7200000000000001	0.32508000000000004
GO:0016020	membrane	100	20	17.33	0.568	0.4911	1	0.6799846153846153
GO:0043231	intracellular membrane-bounded organelle	123	20	21.32	0.594	0.1656	1	0.32508000000000004
GO:0043227	membrane-bounded organelle	136	22	23.57	0.693	0.2104	1	0.3442909090909091
GO:0016021	integral component of membrane	53	10	9.19	0.730	0.7301	1	0.841725
GO:0043229	intracellular organelle	141	23	24.44	0.829	0.1193	1	0.32508000000000004
GO:0043226	organelle	143	23	24.79	0.832	0.1715	1	0.32508000000000004
GO:0005829	cytosol	58	8	10.05	0.906	0.9060	1	0.9592941176470589
GO:0031224	intrinsic component of membrane	54	10	9.36	0.958	0.7482	1	0.841725
GO:0110165	cellular anatomical entity	221	38	38.31	0.992	0.6418	1	0.8251714285714287
GO:0005575	cellular_component	225	39	39	1.000	1.0000	1	1
GO:0043228	non-membrane-bounded organelle	55	10	9.53	1.000	0.0825	1	0.32508000000000004
