ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1,4,3	0,1,0	14,19,8,4	2,3,1,1	198	99
2	6,2,5	0,0,1	17,6,5,5	1,0,0,0	198	99
3	4,2,1	1,1,0	24,4,10,6	0,0,0,0	151	99
4	49,76,53	60,91,70	171,30,32,32	221,38,47,60	198	99
5	4,4,3	1,0,0	24,3,0,3	1,1,0,2	198	99
6	10,19,8	0,0,0	32,10,2,6	9,1,0,3	134	99
7	66,104,84	9,7,11	359,87,63,75	42,5,6,8	192	99
8	137,143,151	70,87,91	744,150,167,149	399,66,67,103	117	99
9	9,16,17	5,13,14	46,7,14,9	17,3,4,5	117	99
10	16,19,18	53,47,66	50,7,15,11	151,24,33,23	117	99
11	6,3,2	0,0,0	10,5,2,5	5,1,0,1	168	99
12	39,51,59	16,9,14	145,22,21,32	75,15,6,26	198	99
13	82,106,83	9,17,8	378,62,70,102	17,0,3,2	198	99
14	23,48,29	45,48,0	85,14,17,23	88,22,19,20	198	99
15	11,20,33	2,5,14	53,4,13,12	51,5,6,10	138	99
16	50,68,47	6,13,2	338,63,83,72	19,2,3,8	177	99
17	1,1,0	1,0,2	2,0,1,2	3,1,3,1	106	99
18	468,316,686	30,10,31	135,35,26,36	4,3,1,0	124	99
19	7,7,14	18,15,28	18,1,3,4	73,10,9,16	120	99
20	3,1,2	1,7,9	1,2,0,0	22,5,7,9	106	99
21	2,0,0	3,6,7	21,5,1,5	25,4,5,8	198	99
22	2,0,1	1,3,0	6,1,4,2	11,1,4,1	110	99
23	25,11,8	3,6,1	59,7,10,11	12,2,2,2	168	99
24	48,48,35	3,0,0	147,38,40,43	6,0,0,1	198	99
25	15,23,20	3,3,4	76,5,15,11	50,8,4,3	109	99
26	26,32,35	4,6,9	142,19,36,35	27,2,8,12	105	99
27	7,8,10	7,7,5	52,8,11,8	24,2,5,3	105	99
28	12,12,4	0,2,0	38,6,7,8	8,0,2,1	196	99
29	6,12,5	0,1,2	33,7,5,9	2,1,0,2	196	99
30	0,1,2	18,13,9	9,2,1,2	102,16,24,28	105	99
31	0,0,3	0,0,0	9,3,2,2	2,0,0,0	102	99
32	14,10,10	375,283,305	17,5,4,1	1169,176,192,213	103	99
33	5,6,3	2,0,0	2,2,0,0	0,0,0,0	103	99
34	5,4,4	4,0,7	12,2,5,1	9,2,1,2	107	99
35	5,14,6	99,124,113	20,3,3,5	483,84,105,103	108	99
36	17,43,40	0,0,1	180,32,38,39	2,0,0,0	198	99
37	1,0,0	0,1,0	0,0,0,0	0,0,0,1	102	99
38	24,21,7	2,0,4	124,26,30,27	18,2,2,8	198	99
39	74,49,47	21,21,25	390,62,74,92	149,27,27,28	108	99
40	1,8,13	1,0,1	35,6,8,0	4,0,0,0	135	99
41	2,4,2	1,1,0	15,3,2,3	8,0,1,2	121	99
42	2,4,2	0,1,0	15,3,2,3	3,0,0,1	125	99
43	1,1,0	0,1,0	8,0,1,2	3,0,0,1	103	99
44	54,56,53	0,2,0	111,24,38,26	1,0,0,0	198	99
45	63,88,56	1,4,0	259,41,56,56	3,0,0,0	198	99
46	53,76,48	1,1,3	237,35,44,49	5,1,1,0	198	99
47	37,27,20	57,58,45	38,9,7,12	224,60,53,52	106	99
48	57,46,42	4,5,5	118,40,29,36	9,1,4,5	120	99
49	77,77,67	4,5,5	304,91,75,76	9,1,4,5	113	99
50	52,80,55	23,18,20	358,70,51,81	61,10,5,9	198	99
52	92,142,89	59,55,61	513,100,86,125	351,49,44,54	132	99
53	9,11,65	0,1,0	12,1,3,3	1,0,1,0	198	99
54	7,8,12	33,23,19	98,16,20,17	147,15,20,30	198	99
55	7,9,10	33,23,19	99,14,18,17	147,15,20,30	198	99
56	0,6,4	0,3,6	41,5,9,5	38,7,10,5	103	99
57	0,0,0	0,2,3	1,0,3,0	0,0,0,0	111	99
58	1,5,24	10,8,35	12,2,11,2	29,8,20,4	130	99
59	2,0,3	5,4,7	17,5,0,4	35,3,2,7	198	99
60	1,1,3	3,1,4	4,0,1,2	7,1,1,5	102	99
61	2,0,0	0,3,0	12,0,0,2	7,3,1,3	102	99
62	12,19,11	8,15,28	30,4,0,17	33,7,5,13	126	99
63	41,74,55	0,3,0	256,39,51,50	2,1,1,2	198	99
64	6,4,6	1,0,2	25,2,3,6	2,0,1,1	129	99
65	4,15,5	9,7,3	37,14,3,17	7,0,0,2	198	99
