ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1408,1344,1440	1354,1321,1041	6295,1220,1061,1267	5376,1134,986,1102	198	198
1	0,4,1	5,7,2	1,0,0,0	23,2,1,0	160	166
2	13,7,8	2,2,4	56,8,5,13	11,1,2,2	198	147
3	12,7,9	11,9,4	59,11,13,9	65,4,14,11	198	198
4	12,7,9	2,2,0	60,10,13,9	12,0,2,3	198	198
5	12,7,9	5,6,4	60,10,13,9	18,1,4,6	198	189
6	2,2,0	5,6,4	12,0,2,3	18,1,4,6	198	189
7	25,21,20	27,27,25	113,15,30,15	122,19,24,26	198	198
8	10,8,4	28,29,25	58,4,13,10	129,19,26,28	189	198
9	9,11,10	27,27,25	30,8,9,9	121,20,24,27	189	198
10	44,58,68	18,21,16	301,54,63,73	76,14,17,25	198	144
11	3145,2984,4767	1645,1518,1970	21225,4279,4773,4608	11164,2158,2204,2422	198	155
12	0,0,0	4,2,3	0,2,0,0	38,7,13,7	153	198
14	0,2,0	0,0,2	2,1,1,1	21,2,10,4	124	198
16	23,3,28	1,2,5	89,15,28,19	10,1,4,3	198	132
17	114,100,178	0,3,6	518,58,128,111	6,1,2,6	132	120
18	5783,5335,5812	1173,866,1395	71428,12788,14610,16163	14535,2370,2730,3261	198	198
19	4990,4139,4498	1065,856,1100	57565,9605,11388,12999	11582,2082,2219,2763	198	198
20	1172,866,1395	1123,927,1197	14536,2370,2730,3260	11819,2029,2146,2679	198	196
21	30,30,37	2173,1761,2284	230,28,32,52	23264,4102,4345,5423	196	196
22	32,35,47	1050,839,1094	294,31,38,65	11462,2079,2201,2751	196	196
23	32,35,47	26,23,54	294,31,38,65	149,33,12,24	196	184
24	29,31,37	1050,834,1088	240,30,33,53	11448,2073,2199,2744	196	196
25	29,31,37	523,404,527	240,30,33,53	5506,985,1150,1369	196	184
26	29,31,37	21,20,36	240,30,33,53	178,27,26,44	196	187
27	1050,839,1094	26,23,54	11462,2079,2201,2751	149,33,12,24	196	184
28	1050,834,1088	523,404,527	11448,2073,2199,2744	5506,985,1150,1369	196	184
29	1050,834,1088	21,20,36	11448,2073,2199,2744	178,27,26,44	196	187
30	523,404,527	21,20,36	5506,985,1150,1369	178,27,26,44	184	187
31	1003,931,1154	866,772,1309	3956,724,943,836	4896,745,1095,912	179	198
32	484,470,631	836,729,1249	472,98,85,151	4282,819,1048,899	198	179
33	2,0,1	26,25,23	6,1,2,2	78,11,22,16	198	198
34	16,9,17	27,29,39	59,8,9,7	83,15,20,28	198	192
35	25,25,23	18,21,25	77,10,21,14	62,15,19,20	192	198
36	57,80,53	98,80,69	510,109,70,84	717,117,88,132	198	198
37	60,49,28	45,50,35	333,48,41,54	308,39,42,56	198	198
38	2,1,1	31,36,23	3,0,0,1	143,16,18,25	153	198
39	2,1,2	31,36,23	10,1,1,1	143,16,18,25	156	198
40	76,95,115	84,95,103	308,43,86,47	221,30,57,37	198	198
41	38,59,64	52,56,100	148,19,22,36	179,35,42,39	183	198
42	132,148,152	7,13,3	385,45,106,81	9,1,1,2	198	120
43	350,370,591	926,1077,1310	1729,369,453,444	5065,1045,1273,1639	198	198
44	12,28,28	0,0,2	117,19,26,34	0,0,0,0	198	198
45	153,190,146	144,166,181	510,76,113,123	567,88,115,127	160	198
46	1,3,4	34,40,36	3,0,0,0	267,47,51,54	198	198
47	0,0,0	25,26,18	5,3,0,2	138,35,40,40	187	198
48	0,0,0	26,26,19	5,3,0,2	141,35,40,40	187	198
49	131,127,169	165,198,185	535,73,85,123	686,110,128,185	198	198
50	19,25,25	20,44,32	151,42,35,43	212,44,56,67	198	198
51	51,48,58	65,51,47	345,39,64,84	364,67,71,118	197	198
52	51,51,60	64,74,65	349,39,64,85	399,86,95,140	197	198
53	110,99,79	88,93,57	300,68,46,59	268,53,36,77	198	169
54	16,8,33	331,397,318	38,10,20,12	1438,228,252,379	194	194
