ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	88,101,131	0,0,0	393,66,77,97	0,1,0,0	198	99
1	76,57,78	1,1,0	243,49,41,73	0,0,0,0	198	99
2	56,58,82	1,0,1	217,39,55,62	0,0,0,0	198	99
3	58,58,88	1,0,1	232,42,54,65	0,0,0,0	198	99
4	1,1,3	1,0,0	2,0,2,0	0,0,0,0	198	99
5	0,1,9	0,0,1	3,1,6,2	0,0,0,0	198	99
6	7,6,6	1,0,0	12,3,4,3	0,0,0,0	198	99
7	6,6,12	0,0,1	13,4,8,5	0,0,0,0	198	99
8	217,142,115	0,2,0	788,134,150,186	2,0,0,0	198	99
9	0,2,0	0,2,0	6,4,1,0	0,0,0,0	198	99
10	0,9,5	0,1,0	13,9,6,5	2,3,1,0	178	99
11	28,30,37	0,0,0	214,36,29,41	3,0,0,1	198	99
12	24,28,22	0,0,0	197,25,28,37	1,1,1,0	198	99
13	15,15,24	0,0,0	97,26,25,22	3,0,0,1	198	99
14	190,181,190	2,4,5	1012,171,209,262	5,1,1,4	198	99
15	0,2,2	2,0,0	235,34,45,45	8,1,1,1	198	99
16	1,2,3	3,8,5	5,0,1,1	21,8,3,5	198	99
17	83,68,59	0,0,0	344,68,56,86	0,0,1,0	198	99
18	22,33,36	2,0,0	136,32,27,23	8,0,2,0	112	99
19	60,62,49	0,1,0	214,35,62,56	0,0,0,0	198	99
20	162,151,115	0,1,0	421,101,105,102	0,0,0,0	190	99
21	64,56,49	0,1,3	282,62,46,54	1,0,1,1	190	99
22	166,138,116	0,0,0	622,115,130,125	2,0,0,0	198	99
23	32,20,34	0,0,1	139,21,17,18	0,0,0,0	180	99
24	1430,1593,1579	0,0,1	6723,1213,1316,1461	0,0,0,0	198	99
25	85,85,161	1,0,0	449,68,81,122	0,0,0,0	198	99
26	119,193,217	0,1,1	872,136,145,190	0,0,0,0	198	99
27	191,262,290	0,1,1	1101,176,196,246	0,0,0,0	198	99
28	83,134,84	0,0,0	351,59,70,71	2,0,0,0	198	99
29	114,183,130	0,0,0	489,84,98,113	2,0,0,0	198	99
30	183,120,147	0,0,0	416,87,112,121	1,0,0,0	198	99
31	316,166,309	1,1,1	726,133,147,238	0,0,0,0	198	99
32	7,10,6	0,0,0	32,5,9,6	1,0,0,0	164	99
33	338,148,434	0,0,0	1038,209,222,424	2,0,0,0	198	99
34	252,130,279	0,0,0	637,153,135,272	2,0,0,0	198	99
35	234,125,268	0,0,0	609,147,124,254	2,0,0,0	198	99
36	139,127,138	1,0,0	775,150,159,152	1,0,0,1	198	99
37	2,6,2	186,177,176	3,0,2,0	452,100,109,100	198	99
38	1569,1457,1491	0,1,0	6830,1194,1265,1335	0,0,0,0	198	99
39	2380,2194,2244	0,1,0	10525,1827,1932,2028	0,0,0,0	198	99
