ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	17,10,9	7,15,23	75,14,9,10	98,12,25,40	108	99
1	6,12,5	0,0,0	31,10,11,8	0,0,1,0	108	99
2	6,3,1	3,4,3	11,1,1,4	5,4,3,3	116	99
3	57,58,39	3,1,1	227,44,44,37	11,3,1,5	102	99
4	46,43,39	5,4,1	229,42,34,38	13,1,2,3	138	99
5	178,197,166	2,0,0	825,144,173,188	8,0,2,0	265	99
6	958,843,1504	1,0,0	4725,686,845,1128	0,0,0,0	853	99
7	139,158,158	12,17,23	647,105,124,147	138,22,21,34	141	99
8	145,74,119	35,29,42	299,55,73,103	81,14,16,18	102	99
9	1,1,1	3,2,2	3,0,0,2	5,0,1,1	102	99
10	4,8,4	3,10,5	12,2,0,5	23,3,6,3	151	99
11	6,9,5	3,10,5	14,2,1,4	23,3,6,3	148	99
12	66,113,68	1,2,0	171,33,41,54	2,1,0,0	295	99
13	58,82,56	0,0,0	125,26,33,44	3,0,0,0	263	99
14	66,113,68	0,5,2	171,33,43,54	5,0,0,3	295	99
15	8,31,12	0,5,2	49,7,10,10	5,0,0,3	131	99
16	67,148,63	0,0,0	308,47,56,79	8,1,4,1	304	99
17	67,148,64	0,3,0	312,48,58,83	4,1,2,3	346	99
18	0,0,1	0,3,0	12,2,6,5	4,1,2,3	141	99
19	42,22,28	119,30,174	61,16,18,32	443,66,100,176	108	99
20	44,58,33	119,30,174	89,32,22,55	443,66,100,176	166	99
21	35,48,24	33,12,19	70,26,17,47	42,10,13,24	157	99
22	24,31,36	1,0,0	155,34,28,28	1,1,0,2	501	99
23	318,520,229	24,31,11	1282,248,307,335	78,10,9,17	831	99
24	15,27,15	6,4,4	57,16,9,11	29,5,6,9	114	99
25	207,183,143	0,0,0	407,90,63,106	3,1,1,0	166	99
26	1130,1110,899	0,0,0	3149,612,678,764	2,0,0,1	339	99
27	923,927,756	0,0,0	2745,523,616,658	2,0,0,1	272	99
28	206,183,143	0,0,0	406,90,63,106	0,0,0,2	166	99
29	255,219,197	94,120,113	523,119,83,135	431,60,77,83	166	99
30	953,924,778	9,19,26	2573,523,541,629	77,17,25,17	311	99
31	1026,995,806	172,132,179	2733,558,578,665	954,141,233,170	314	99
32	1178,1146,953	21,12,18	3265,641,698,793	90,19,17,24	339	99
33	792,825,694	9,19,26	2481,464,535,577	77,17,25,17	244	99
34	865,896,722	172,132,179	2641,499,572,613	954,141,233,170	247	99
35	1017,1047,869	21,12,18	3173,582,692,741	90,19,17,24	272	99
36	82,90,54	172,132,179	237,52,62,53	954,141,233,170	102	99
37	234,241,201	21,12,18	769,135,182,181	90,19,17,24	127	99
38	324,283,326	21,12,18	1486,224,353,298	90,19,17,24	124	99
39	273,248,237	813,743,755	1110,214,259,269	3699,633,669,693	127	99
40	72,63,51	17,15,17	382,50,73,78	148,18,25,30	111	99
41	39,38,34	4,2,14	194,30,32,37	58,13,9,12	114	99
42	2,0,1	0,0,1	13,3,3,3	0,0,0,0	104	99
43	697,752,795	5,9,11	3410,763,701,733	7,1,4,3	889	99
44	0,11,2	18,18,15	12,0,2,7	73,16,7,15	111	99
45	0,1,0	4,2,4	9,0,1,2	16,3,2,3	111	99
46	5,4,4	0,4,3	22,3,4,7	2,0,1,0	120	99
47	4,5,3	2,1,3	17,3,4,5	2,1,1,0	120	99
48	36,42,31	18,25,23	186,36,44,39	72,19,14,22	105	99
49	54,61,28	0,0,3	229,42,36,52	1,1,0,0	168	99
50	58,63,29	0,1,0	225,40,32,48	0,0,0,0	168	99
51	106,107,67	4,5,7	465,67,78,105	35,4,7,7	168	99
52	6,12,23	2,3,1	39,4,6,12	5,0,0,2	123	99
53	4,4,9	0,0,0	14,3,6,5	1,0,0,1	108	99
54	1,3,9	0,4,1	22,3,2,5	11,2,2,3	111	99
55	6,3,6	0,0,0	24,6,8,10	1,0,0,0	156	99
56	15,5,8	0,0,0	34,6,9,11	1,0,0,0	159	99
57	11,3,6	2,1,4	18,3,6,4	8,3,5,3	102	99
58	8,12,11	19,16,18	88,10,15,16	186,38,33,34	102	99
59	15,6,10	2,2,1	54,12,14,10	4,1,1,1	103	99
60	355,449,287	4215,4490,3074	866,192,187,234	11563,2229,2418,3161	117	99
61	8,9,6	16,24,23	100,19,25,30	179,27,24,34	144	99
62	7,12,4	53,45,44	16,3,5,2	201,34,63,31	108	99
63	1,0,0	3,1,2	9,2,4,2	17,4,4,3	111	99
64	2,1,1	3,1,2	7,0,2,2	17,4,4,3	114	99
65	1,1,1	0,0,0	6,0,1,2	8,2,3,2	102	99
66	0,3,0	7,7,13	7,0,1,0	16,3,4,4	114	99
67	141,152,103	107,102,100	521,68,103,128	480,89,100,125	102	99
68	14,15,11	32,49,56	150,15,17,21	301,46,61,53	114	99
69	1,2,8	3,0,1	13,6,3,2	10,1,1,6	102	99
70	8,8,11	9,5,0	51,6,11,16	35,0,2,10	125	99
71	1,1,1	0,0,1	39,7,7,8	11,0,2,1	102	99
72	7,1,2	3,2,2	32,3,5,4	5,0,1,3	102	99
73	7,10,12	7,7,5	36,2,10,12	24,2,5,3	102	99
74	29,35,35	7,7,7	145,17,37,35	46,6,10,8	102	99
75	215,200,213	28,15,28	591,111,142,167	65,16,16,23	105	99
76	0,1,0	2,1,2	5,0,2,1	26,3,3,11	102	99
77	0,1,1	1,0,0	6,1,2,0	2,0,0,1	125	99
78	18,33,34	1,0,0	145,22,32,34	1,0,0,0	388	99
79	40,30,1	9,4,1	33,2,2,5	1,0,1,1	147	99
80	37,39,22	3,8,7	100,17,21,18	26,3,7,5	102	99
81	0,0,2	2,1,1	0,0,0,0	2,3,0,2	114	99
82	5,11,3	9,17,13	48,5,3,4	62,8,18,12	108	99
83	3,1,1	0,1,0	7,1,0,0	4,1,1,0	105	99
84	35,51,37	0,0,0	184,31,39,33	4,1,0,1	273	99
85	22,12,19	20,28,17	28,13,5,13	97,17,9,34	166	99
86	38,32,28	1,1,5	67,22,16,26	8,0,2,0	203	99
87	36,48,26	1,1,5	136,26,20,47	8,0,2,0	136	99
88	20,24,7	71,63,84	93,21,18,19	442,80,93,104	102	99
89	10,8,3	0,2,0	12,3,1,4	0,0,2,1	102	99
90	3,3,3	0,2,0	10,0,0,1	0,0,2,1	120	99
91	3,2,3	10,7,3	10,0,0,1	12,3,1,4	117	99
92	25,37,31	2,1,1	217,40,37,48	20,2,2,4	103	99
93	7,13,13	2,1,1	46,9,16,6	20,2,2,4	122	99
94	7,13,11	25,37,29	39,5,14,6	210,36,35,48	118	99
95	25,26,22	2,3,3	147,37,41,40	21,3,4,7	103	99
96	12,32,39	0,0,0	134,26,33,16	2,0,0,0	271	99
97	13,28,32	0,0,0	113,25,27,16	1,0,0,0	271	99
98	80,57,81	2,3,2	328,63,93,98	16,1,5,4	102	99
99	30,25,42	51,55,61	66,10,6,13	193,34,22,41	117	99
100	109,41,58	385,280,294	327,59,59,79	1940,366,313,448	111	99
101	108,58,65	385,280,294	344,51,58,84	1940,366,313,448	117	99
102	64,58,40	65,41,33	226,28,37,48	209,36,38,43	105	99
103	1,4,0	1,1,3	3,0,0,0	5,1,1,0	102	99
104	18,24,16	8,12,8	53,10,16,10	31,4,4,3	102	99
105	147,129,89	37,41,28	417,74,88,108	113,27,35,23	102	99
106	40,40,28	0,0,0	275,45,38,48	6,0,0,1	333	99
107	39,40,28	1,1,1	275,45,38,49	3,0,0,1	333	99
108	40,40,29	0,0,0	284,47,39,48	2,0,0,0	333	99
109	32,64,33	3,6,4	300,46,46,75	47,17,9,9	363	99
110	3,1,2	37,31,28	16,3,2,2	146,23,28,29	111	99
111	1,0,0	3,6,0	3,1,2,0	6,3,2,2	112	99
112	111,201,90	2,1,3	288,71,66,98	5,1,1,0	1855	99
113	20,31,26	0,0,2	97,16,19,30	2,0,0,0	355	99
114	40,41,43	0,0,1	219,24,33,55	0,0,0,0	355	99
115	43,79,65	3,9,12	233,42,48,53	11,2,6,5	102	99
116	2,6,4	0,0,0	26,5,7,8	2,0,0,0	103	99
117	25,38,37	9,3,6	186,35,46,34	33,5,4,7	103	99
118	7,16,9	0,1,2	46,7,6,7	0,0,1,0	103	99
119	32,38,41	710,703,794	115,29,24,29	3161,600,544,724	114	99
120	14,10,11	0,0,0	50,11,15,16	7,1,0,1	135	99
121	0,0,1	0,1,0	3,1,3,0	0,0,0,0	114	99
122	70,72,73	2,0,2	273,57,64,78	15,3,4,3	102	99
123	4,3,1	0,0,0	103,15,22,25	4,0,1,0	112	99
124	23,33,97	25,37,17	125,31,26,14	125,21,30,35	222	99
125	25,21,25	0,0,1	99,10,7,16	3,0,0,2	327	99
126	11,4,11	1,2,1	28,4,5,8	8,1,3,4	318	99
127	6,4,9	0,0,0	18,4,9,4	3,0,1,0	174	99
128	401,406,361	56,48,37	1253,228,230,368	107,23,25,47	117	99
129	7,2,10	6,4,5	40,4,13,11	25,1,2,10	120	99
130	14,13,9	3,3,4	60,8,8,16	26,10,5,9	102	99
131	7,2,1	0,1,0	29,4,5,5	0,0,0,1	102	99
132	18,18,13	11,11,15	126,20,24,28	127,16,24,19	102	99
133	6,3,1	0,3,1	32,4,4,5	11,1,1,0	102	99
134	0,8,20	18,38,15	5,23,10,10	90,16,10,36	152	99
135	57,55,51	5,12,18	294,45,78,55	77,7,23,12	195	99
136	0,1,1	4,4,6	2,0,0,2	11,2,3,5	111	99
137	5,4,6	0,1,1	21,4,3,7	2,0,0,0	102	99
138	41,33,44	1,1,1	103,14,13,30	6,0,0,2	102	99
139	23,21,31	4,5,1	55,3,5,13	8,0,1,1	120	99
140	7,6,9	0,0,0	49,4,20,15	4,0,1,0	102	99
141	2,0,1	6,13,13	4,1,0,2	21,4,15,8	123	99
142	0,0,5	3,1,8	2,3,0,1	22,0,3,9	102	99
143	0,0,0	2,3,0	1,0,0,0	6,1,0,2	119	99
144	7,10,3	5,8,5	27,5,3,7	23,3,7,4	120	99
145	4,3,7	2,4,9	23,5,7,5	39,8,8,16	110	99
146	4,4,6	0,0,0	12,1,0,3	1,0,0,0	225	99
147	5,6,6	0,0,0	12,1,0,4	1,0,0,0	235	99
148	1,2,0	0,0,0	2,0,0,1	2,0,0,0	109	99
149	19,19,14	4,3,2	85,16,19,10	2,1,4,4	121	99
150	15,26,32	41,76,54	83,14,30,22	245,25,55,56	111	99
151	1,1,1	3,1,3	2,1,0,0	4,1,4,1	114	99
152	1,2,3	0,0,1	12,1,1,3	0,0,0,0	105	99
153	35,20,41	1,1,7	70,14,15,21	8,1,0,1	105	99
155	0,0,1	18,17,14	8,3,1,1	73,26,18,18	116	99
156	0,1,1	1,0,0	0,0,0,0	11,0,2,1	116	99
157	1,6,2	11,11,12	20,3,5,1	60,8,11,15	174	99
158	0,0,3	2,4,6	7,0,0,0	6,0,1,0	112	99
159	0,2,3	6,8,13	5,1,2,0	35,7,6,13	117	99
160	3,0,1	5,14,7	10,1,3,0	28,8,0,4	114	99
161	33,13,17	4,5,12	121,17,29,23	45,7,12,9	115	99
162	17,14,21	11,9,18	23,10,10,6	44,23,11,36	205	99
163	197,150,219	0,2,2	300,117,130,141	0,0,0,0	686	99
164	121,102,143	1,7,0	207,80,97,87	0,0,0,0	686	99
165	1,4,1	1,0,0	21,1,3,2	1,0,0,0	102	99
166	2,2,4	19,31,16	134,21,21,14	234,57,57,46	109	99
167	2,3,1	1,4,3	2,0,0,1	4,0,0,1	111	99
168	3,1,1	2,1,1	2,0,0,0	8,2,1,1	138	99
169	2,5,4	4,1,0	8,2,1,2	2,2,0,0	114	99
170	11,5,2	0,1,3	11,2,5,7	7,0,0,1	177	99
171	9,5,11	2,2,0	40,9,9,10	9,1,1,4	102	99
172	21,29,33	2,11,10	89,19,10,27	17,4,1,2	102	99
173	220,157,164	11,4,9	538,91,107,140	14,7,2,7	102	99
174	2,2,1	1,3,1	4,3,1,6	8,2,3,0	186	99
175	1,4,0	1,1,2	6,2,5,8	4,0,0,1	103	99
176	0,2,4	2,4,2	5,2,3,2	9,2,0,0	105	99
177	31,28,19	0,0,2	185,29,23,33	1,0,0,0	390	99
178	16,14,19	3,1,0	86,7,10,20	6,0,2,1	165	99
179	235,225,322	63,49,46	870,157,230,201	111,17,19,28	120	99
180	30,27,9	1,0,1	64,13,17,13	0,0,0,0	114	99
181	4,4,1	3,3,1	9,2,2,0	10,2,1,1	102	99
182	9,15,9	2,0,0	121,15,20,23	32,11,8,4	163	99
183	5,6,6	3,5,13	29,3,7,12	17,4,8,7	109	99
184	1,3,0	1,1,0	2,1,1,0	3,0,0,2	107	99
185	8,16,13	11,15,29	26,5,4,8	46,8,7,10	107	99
186	13,13,11	6,3,9	17,4,6,6	7,1,1,2	107	99
187	52,43,43	6,10,21	84,10,28,34	10,3,3,5	183	99
188	40,38,35	6,10,21	60,9,23,27	10,3,3,5	188	99
189	53,62,47	6,10,21	89,13,32,54	10,3,3,5	409	99
190	0,2,3	12,7,11	8,3,3,1	32,4,8,8	104	99
191	13,26,15	12,7,11	37,7,12,28	32,4,8,8	325	99
192	13,25,15	0,1,3	36,7,12,27	7,3,3,0	320	99
193	25,33,11	0,0,0	50,9,18,6	0,0,1,0	535	99
