ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	5,22,0	0,2,0	25,20,12,13	0,0,0,0	194	99
1	5,15,2	0,0,1	24,19,18,19	1,1,1,1	192	99
2	0,8,8	0,1,0	19,12,8,12	1,5,2,3	312	99
3	18,19,25	24,33,29	122,31,19,38	197,35,41,49	184	99
4	2,1,3	3,0,0	19,4,5,4	0,0,0,0	264	99
5	5,5,10	0,0,1	44,18,15,15	1,0,0,0	537	99
6	15,30,40	4,4,11	124,32,22,40	35,1,1,4	181	99
7	5,4,3	3,4,3	35,3,3,11	5,4,3,3	197	99
8	2,3,3	3,2,1	32,3,3,8	8,1,1,1	180	99
9	1,0,1	0,1,2	4,0,0,0	2,0,0,0	167	99
10	6,0,2	0,1,0	4,5,1,1	0,0,0,1	307	99
11	159,166,136	7,15,19	703,114,146,166	66,17,12,7	252	99
12	67,78,70	1,1,1	151,28,26,83	9,1,1,1	157	99
13	276,330,331	1,5,4	736,162,109,299	18,5,1,4	501	99
14	119,163,157	7,8,6	326,64,45,130	25,1,2,7	167	99
15	110,185,173	5,2,4	367,106,59,170	29,2,1,3	164	99
16	174,226,184	7,4,2	448,114,59,183	12,5,3,2	208	99
17	75,118,114	0,1,3	222,65,25,90	8,0,1,3	185	99
18	239,167,353	11,8,28	1007,173,169,261	61,6,9,7	177	99
19	6,6,1	0,0,0	11,3,2,8	3,1,1,0	188	99
20	8,11,5	3,2,1	42,6,3,6	11,3,4,2	233	99
21	30,40,40	1,0,0	187,37,29,33	1,1,0,2	635	99
22	5,3,6	0,0,0	30,6,8,8	2,0,0,0	179	99
23	86,105,46	2,0,3	193,46,32,64	8,1,2,1	150	99
24	99,132,58	6,4,4	242,61,39,74	29,5,6,9	165	99
25	988,1175,1040	18,33,52	2888,684,450,891	196,39,27,49	176	99
26	29,36,18	93,123,63	133,21,35,32	412,94,91,91	162	99
27	38,29,42	3,0,2	436,65,74,74	14,2,1,2	217	99
28	49,51,45	2,4,0	522,113,112,120	11,1,2,5	165	99
29	66,52,33	6,4,2	228,42,53,64	14,1,3,1	191	99
30	6,9,12	1,4,1	8,2,3,1	1,0,0,1	409	99
31	1,5,1	1,1,0	75,29,6,22	26,15,2,5	175	99
32	41,57,48	0,4,2	196,37,28,48	8,4,4,5	156	99
33	23,31,28	1,1,1	81,16,25,22	0,2,0,1	162	99
34	81,88,47	3,3,4	519,60,54,87	50,8,4,3	176	99
35	81,86,45	15,21,18	508,60,52,85	65,5,13,9	166	99
36	636,533,405	23,9,12	1842,305,411,422	34,4,2,10	377	99
38	12,24,22	6,1,4	92,15,25,25	15,0,2,3	270	99
39	203,88,21	85,39,6	125,3,12,3	35,4,5,3	281	99
40	19,32,54	5,12,5	158,31,32,37	25,3,5,2	196	99
41	17,10,26	0,0,1	53,11,24,20	2,0,0,0	250	99
42	77,107,144	3,5,4	379,55,74,73	8,2,0,3	180	99
43	78,102,84	32,10,3	255,63,48,54	5,4,2,2	232	99
44	40,111,261	1,1,4	1143,209,47,404	79,10,6,26	261	99
45	18,30,47	48,51,61	55,18,25,22	192,28,45,58	201	99
46	13,24,23	0,0,0	83,30,45,10	14,0,0,0	163	99
47	3,3,6	0,0,0	22,2,2,2	3,0,0,0	166	99
48	179,195,181	6,7,6	729,112,130,174	13,1,7,5	268	99
49	21,25,20	11,3,0	68,14,14,27	8,4,1,4	400	99
50	85,83,64	1605,2161,1578	232,50,39,55	4901,1058,1135,1139	171	99
51	74,79,72	2,7,3	158,39,52,36	11,2,1,1	185	99
52	44,60,40	1,5,3	254,62,49,58	12,2,0,2	219	99
53	75,119,70	3,6,4	542,106,95,131	47,17,9,9	483	99
54	6,3,6	1,1,0	36,3,8,7	0,0,2,0	189	99
55	19,17,172	1,0,2	24,5,5,4	6,5,0,1	269	99
56	142,176,134	24,26,30	849,140,203,221	55,13,10,18	195	99
57	1,1,0	32,32,29	0,1,1,1	163,27,23,31	177	99
58	63,79,60	2,3,1	314,40,68,97	5,1,4,3	168	99
59	0,6,6	0,1,0	34,28,6,1	3,0,0,0	159	99
60	19,23,28	5,6,7	79,25,17,23	10,1,1,2	340	99
61	0,1,0	17,20,15	1,0,0,0	108,18,16,22	177	99
62	1,1,0	10,6,12	1,0,0,1	18,4,3,9	168	99
63	25,42,39	9,7,3	175,38,20,79	7,0,0,2	559	99
64	13,13,23	0,0,1	83,11,7,28	0,1,0,0	172	99
65	9,12,7	0,0,0	37,5,5,8	1,0,0,0	484	99
66	5,8,1	0,0,0	27,4,5,5	2,0,0,0	358	99
67	4,7,1	0,1,0	25,4,5,4	0,0,0,0	348	99
68	4,5,3	0,0,0	10,2,0,5	4,0,0,0	153	99
