GeneID,minPval,minFDR
LOC114870850,0.621234491326,1
LOC114870851,0.945413219271,1
LOC114870853,1,1
LOC114870856,0.923959031505,1
LOC114870857,0.00925977493697,0.17858137378442143
LOC114870858,0.244988026811,1
LOC114870860,0.709076393598,1
LOC114870861,1,1
LOC114870862,0.507538357088,1
LOC114870863,0.635114339978,1
LOC114870872,0.0230484751276,0.29477786610562107
LOC114870875,0.973544120273,1
LOC114870877,0.00543869852711,0.1859286997442324
LOC114870879,0.121890504712,0.731640597949064
LOC114870889,0.105562504037,1
LOC114870890,0.415595784506,1
LOC114870891,0.0207162713449,0.3855560697908571
LOC114870892,0.155950670622,1
LOC114870893,0.329431525024,1
LOC114870897,0.753460769702,1
LOC114870902,0.841063744494,1
LOC114870903,1,1
LOC114870904,0.888490289226,1
LOC114870906,1,1
LOC114870913,1,1
LOC114870914,0.637372303218,1
LOC114870915,0.0589235067802,0.7222775682686112
LOC114870916,0.1348580663,1
LOC114870917,1,1
LOC114870919,0.709219685361,1
LOC114870921,0.566289800093,1
LOC114870923,1,1
LOC114870925,0.0274871655166,0.4551571492936747
LOC114870929,0.0192791123162,0.36955382339613624
LOC114870930,0.00760168179789,0.1810213825470872
LOC114870931,0.0134906903249,0.3084186538983194
LOC114870940,0.453189340635,1
LOC114870943,0.779287185377,1
LOC114870944,1,1
LOC114870945,1,1
LOC114870949,0.440235402065,1
LOC114870951,1,1
LOC114870954,0.171658424452,1
LOC114870956,0.696519021002,1
LOC114870957,1,1
LOC114870959,6.68841571968e-4,0.03873145769744267
LOC114870961,0.174061909637,1
LOC114870963,1,1
LOC114870965,0.600458307666,1
LOC114870966,1,1
LOC114870969,0.0440157391888,0.4597199426385778
LOC114870970,0.297961364788,1
LOC114870979,1,1
LOC114870982,0.130967386623,0.6605727310692919
LOC114870986,0.0475373858442,0.635788478284675
LOC114870991,1,1
LOC114870992,1,1
LOC114870996,0.0544392837643,0.6910508836327552
LOC114870997,1,1
LOC114870998,0.0322289507005,0.431554131033458
LOC114871000,0.572673843752,1
LOC114871001,0.0702769677948,0.5508807475527872
LOC114871003,0.108129890902,1
LOC114871004,1,1
LOC114871005,0.114695622111,0.7034468356485688
LOC114871006,1,1
LOC114871007,0.557097740983,1
LOC114871009,1,1
LOC114871011,1,1
LOC114871012,1,1
LOC114871014,1,1
LOC114871015,0.325756824819,1
LOC114871020,0.0761124208673,0.6721771442869003
LOC114871022,1,1
LOC114871024,0.0031123608318,0.1029384526962
LOC114871034,0.0886022387035,0.7100791514600783
LOC114871037,1,1
LOC114871038,0.00351429724026,0.14511851166498638
LOC114871039,0.0209497928498,0.38663486413024745
LOC114871040,0.293558169133,1
LOC114871041,0.0500398331926,0.5443947070035516
LOC114871042,0.0184355923656,0.3643951789442792
LOC114871044,0.0147735737789,0.2512914549439562
LOC114871048,0.557444337925,1
LOC114871052,1,1
LOC114871053,1,1
LOC114871056,0.33821436864,1
LOC114871057,1,1
LOC114871058,1,1
LOC114871059,1,1
LOC114871060,0.00205561628935,0.08343933392679771
LOC114871063,1,1
LOC114871064,1,1
LOC114871065,0.501684721118,1
LOC114871067,0.382737227431,1
LOC114871070,1,1
LOC114871072,0.427981186374,1
LOC114871073,0.00141960861736,0.08861980005788453
LOC114871075,1,1
LOC114871077,0.179480827667,0.7426422270532754
LOC114871080,0.836705054593,1
LOC114871081,0.00326643159197,0.13861774456142045
LOC114871083,6.34077003061e-4,0.06110861087027015
LOC114871085,1,1
LOC114871093,0.534954911419,1
LOC114871094,1,1
