Orthogroup	Apis_mellifera	Dufourea_novaeangliae
OG0000001	NP_001352128.1, NP_001352129.1, XP_026300534.1	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1
OG0000001	XP_397347.4, XP_006565062.2	XP_015434778.1, XP_015434773.1, XP_015434772.1
OG0000001	XP_026300531.1, XP_006565077.1, XP_006565076.1, XP_026300601.1, NP_001352069.1, XP_026300602.1, NP_001352068.1, XP_623595.1, XP_026300530.1	XP_015438122.1
OG0000002	XP_016771095.2	XP_015431885.1, XP_015430410.1, XP_015434271.1
OG0000003	XP_026294993.1, XP_026295496.1	XP_015433590.1
OG0000006	XP_006563134.1	XP_015434157.1
OG0000006	XP_006570899.1	XP_015435345.1
OG0000006	XP_003251619.1	XP_015440404.1
OG0000007	XP_026298536.1, NP_001314879.1, XP_016766488.1, XP_026294949.1, XP_026294950.1, XP_016766484.1, XP_026300513.1, XP_026294837.1, XP_026301740.1, XP_006557709.2, XP_016766491.1, XP_026297763.1	XP_015439489.1
OG0000008	NP_001172074.1, NP_001172075.1	XP_015433852.1
OG0000008	XP_016767697.1	XP_015434651.1
OG0000008	XP_003251464.1	XP_015434661.1
OG0000009	XP_006559344.1, XP_396662.2, XP_026300992.1, XP_026300993.1, XP_026300994.1	XP_015437448.1, XP_015437450.1, XP_015437451.1
OG0000010	XP_006563549.2	XP_015437926.1
OG0000010	XP_016772004.2, XP_026301357.1, XP_016772002.2, XP_394081.6, NP_001229913.1, XP_026301413.1	XP_015437927.1
OG0000011	XP_026300138.1, XP_026300139.1, XP_026300136.1, XP_026300137.1	XP_015432705.1, XP_015432704.1
OG0000012	XP_006565262.1, XP_006565261.1, XP_006565259.1	XP_015432146.1
OG0000014	XP_003251221.1	XP_015435403.1
OG0000014	XP_016773376.1	XP_015435405.1, XP_015440405.1
OG0000015	XP_016771361.2	XP_015432301.1
OG0000016	XP_026295370.1	XP_015438494.1
OG0000017	XP_003251626.1	XP_015435373.1, XP_015435410.1, XP_015438105.1
OG0000018	XP_026300511.1, XP_006568159.1, XP_006568157.1, XP_396912.1	XP_015429717.1
OG0000019	XP_026297157.1, XP_026297158.1, XP_026297159.1, XP_026297160.1	XP_015437181.1
OG0000022	XP_016768964.1, XP_006564638.1, XP_006564637.1, XP_006564640.1, XP_006564639.1, XP_006564641.1	XP_015433494.1
OG0000025	XP_016772382.1, NP_001011571.1	XP_015428496.1
OG0000026	XP_006561279.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1
OG0000027	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571986.1, XP_006571984.1	XP_015436027.1
OG0000028	XP_026295481.1, XP_026295482.1, XP_026295478.1, XP_026295477.1, XP_026295483.1, XP_026295480.1, XP_026295479.1	XP_015429673.1, XP_015429675.1, XP_015429674.1
OG0000029	XP_026296924.1, XP_026296926.1, XP_026296925.1, XP_026296928.1, XP_026296927.1, XP_026296930.1, XP_026296929.1	XP_015435655.1, XP_015435654.1
OG0000031	XP_006565210.1, NP_001180219.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000032	XP_016768850.2, XP_003249883.2	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1
OG0000033	XP_006560073.1, XP_623977.2, XP_026300817.1, XP_026300816.1, XP_026300815.1, XP_006560074.1	XP_015437422.1, XP_015437423.1
OG0000034	XP_026301958.1	XP_015435295.1, XP_015435294.1
OG0000035	XP_006560019.1, XP_006560020.1	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1
OG0000036	XP_006562293.2, XP_006562291.2, XP_016770836.2, XP_006562294.2	XP_015438705.1
OG0000037	XP_006570154.1, XP_016768502.1, XP_016768503.1, XP_016768504.1	XP_015429868.1
OG0000038	NP_001011628.1, XP_006566906.1	XP_015428850.1, XP_015428848.1, XP_015428851.1
OG0000038	NP_001014993.1	XP_015439294.1, XP_015439293.1
OG0000039	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1	XP_015428729.1
OG0000040	XP_016769473.1, XP_016769470.1, XP_016769471.1, XP_016769475.1, XP_016769474.1, XP_016769476.1, XP_016769472.1	XP_015436163.1
OG0000042	XP_006567591.1	XP_015436228.1, XP_015436225.1
OG0000043	XP_006571072.1, XP_016769192.1, XP_026295623.1, XP_006571068.1, XP_006571070.1, XP_006571069.1, XP_006571071.1, XP_006571074.1, XP_006571073.1	XP_015430085.1
OG0000044	XP_623312.2	XP_015434933.1, XP_015434934.1
OG0000046	NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_001121864.2, XP_016773531.1, XP_016773532.1	XP_015431116.1, XP_015431127.1
OG0000047	XP_001119899.1	XP_015436673.1
OG0000047	XP_001120346.1	XP_015435346.1
OG0000047	XP_003251613.1	XP_015435342.1
OG0000049	XP_016773440.1, XP_003251779.1	XP_015435659.1
OG0000050	XP_006559502.1, XP_006559501.1, XP_016769006.1, XP_393573.1, XP_016769007.1	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1
OG0000051	XP_016770937.2, XP_016770938.2, XP_026300076.1, XP_026300077.1, XP_006565270.3, XP_006565271.2	XP_015438716.1
OG0000052	XP_003251584.1	XP_015440372.1
OG0000054	XP_016768147.1	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1
OG0000055	XP_016769442.2	XP_015436316.1
OG0000056	XP_394018.2	XP_015438965.1
OG0000058	XP_016773454.2, NP_001229896.1, NP_001229899.1	XP_015431081.1
OG0000059	XP_003251627.1	XP_015435357.1
OG0000060	XP_006572088.1	XP_015439981.1
OG0000063	XP_001121077.2	XP_015435591.1
OG0000063	XP_003250085.1	XP_015434749.1, XP_015434704.1
OG0000063	XP_006563422.1	XP_015435639.1
OG0000064	XP_396338.2	XP_015439422.1
OG0000064	XP_623220.1	XP_015436794.1
OG0000064	XP_006567025.1	XP_015438692.1
OG0000065	XP_393751.2, XP_016770282.2, XP_006570397.2	XP_015440531.1
OG0000066	XP_016766794.1	XP_015429769.1
OG0000068	NP_001229905.1, XP_026302143.1, NP_001229907.1, NP_001229906.1	XP_015431173.1, XP_015431151.1
OG0000069	XP_006557622.1	XP_015439140.1
OG0000070	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_015433091.1
OG0000071	XP_006561713.1, XP_006561715.1, XP_006561714.1, XP_006561716.1, XP_016769650.1	XP_015436200.1
OG0000072	XP_006563970.2, XP_392277.4	XP_015434855.1, XP_015434863.1
OG0000073	XP_393853.1, XP_006565288.1, XP_006565289.1, XP_006565286.1, XP_006565287.1, XP_006565285.1	XP_015432205.1
