ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
21	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7678109	7679021
69	"LOC114878496"	NA	chrOU015518.1	-	4443288	4444170	4443288	4443421	4443990	4444170
117	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895696	7895154	7895389	7895449	7895696
188	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14337744	14338664	14338709
309	"LOC114871121"	NA	chrOU015508.1	+	1914024	1915419	1914024	1914148	1914779	1915419
313	"LOC114871121"	NA	chrOU015508.1	+	1914024	1915419	1914024	1914148	1915181	1915419
318	"LOC114871121"	NA	chrOU015508.1	+	1914508	1915419	1914508	1914567	1915267	1915419
339	"LOC114880527"	NA	chrOU015509.1	-	8907418	8907730	8907418	8907441	8907680	8907730
459	"LOC114880748"	NA	chrOU015510.1	+	21571	22211	21571	21621	21965	22211
499	"LOC114871209"	NA	chrOU015508.1	-	1827142	1829883	1827142	1827277	1827590	1829883
530	"LOC114875389"	NA	chrOU015508.1	+	5841967	5842402	5841967	5841984	5842090	5842402
705	"LOC114880859"	NA	chrOU015511.1	-	5534563	5535267	5534563	5534688	5535110	5535267
753	"LOC114877984"	NA	chrOU015506.1	-	3279437	3280743	3279437	3280040	3280564	3280743
810	"LOC114871475"	NA	chrOU015505.1	+	11661454	11662433	11661454	11661628	11662036	11662433
857	"LOC114876929"	NA	chrOU015504.1	-	5242039	5245379	5242039	5243848	5245269	5245379
866	"LOC114877833"	NA	chrOU015506.1	+	2444488	2448069	2444488	2444599	2446705	2448069
868	"LOC114877833"	NA	chrOU015506.1	+	2444488	2448069	2444488	2444599	2447097	2448069
870	"LOC114877833"	NA	chrOU015506.1	+	2444488	2448069	2444488	2444624	2447459	2448069
873	"LOC114874540"	NA	chrOU015509.1	+	4246879	4248200	4246879	4246953	4248057	4248200
931	"LOC114877302"	NA	chrOU015518.1	-	6801318	6801500	6801318	6801351	6801403	6801500
1041	"LOC114880544"	NA	chrOU015512.1	+	116675	117370	116675	116797	117181	117370
1042	"LOC114880544"	NA	chrOU015512.1	+	116675	117370	116675	116773	117253	117370
1047	"LOC114877472"	NA	chrOU015512.1	-	278129	279181	278129	278335	279020	279181
1127	"LOC114871197"	NA	chrOU015514.1	-	9652767	9653436	9652767	9653043	9653087	9653436
1150	"LOC114871111"	NA	chrOU015508.1	+	1957275	1957917	1957275	1957713	1957831	1957917
1317	"LOC114871701"	NA	chrOU015515.1	-	6020183	6022023	6020183	6020360	6021815	6022023
1354	"LOC114873257"	NA	chrOU015515.1	+	2261685	2262668	2261685	2261837	2262012	2262668
1466	"LOC114879792"	NA	chrOU015516.1	+	8340559	8341027	8340559	8340879	8340927	8341027
