Orthogroup	Drosophila_melanogaster	Dufourea_novaeangliae
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1, XP_015437062.1, XP_015431466.1, XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1
OG0000006	NP_523647.2, NP_523721.1	XP_015437631.1
OG0000008	NP_572981.1	XP_015431031.1
OG0000008	NP_572985.1	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1
OG0000008	NP_651466.1	XP_015435962.1
OG0000008	NP_572978.1, NP_572977.1	XP_015431211.1
OG0000008	NP_001285251.1	XP_015431032.1
OG0000008	NP_001285249.1	XP_015431033.1
OG0000008	NP_572987.1	XP_015431233.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1
OG0000011	NP_523520.2	XP_015439317.1, XP_015434578.1, XP_015434576.1, XP_015432783.1, XP_015434577.1, XP_015429492.1
OG0000012	NP_729270.1, NP_729271.1, NP_648134.1	XP_015429534.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_015431215.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_015431007.1
OG0000012	NP_722915.1, NP_001285772.1	XP_015431006.1
OG0000012	NP_001036717.1	XP_015432417.1, XP_015432474.1, XP_015432475.1
OG0000013	NP_724345.1, NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_015435345.1
OG0000013	NP_001027343.1, NP_001027289.1, NP_001027285.1	XP_015435409.1, XP_015440404.1
OG0000013	NP_001259374.1	XP_015434157.1, XP_015434156.1
OG0000014	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1	XP_015438106.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1
OG0000017	NP_001138040.1	XP_015436976.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_015440533.1, XP_015440532.1
OG0000018	NP_001247286.1	XP_015437285.1, XP_015437283.1, XP_015433210.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_015431150.1
OG0000020	NP_723103.1	XP_015431107.1
